"examCode","Category","Term","Definition"
"SAO-C02","Monitoring and Logging","Amazon CloudWatch","A monitoring and observability service — collecting metrics, logs, and events from AWS resources and applications. Provides dashboards, alarms, anomaly detection, and composite alarms for comprehensive operational visibility across your environment."
"SAO-C02","Monitoring and Logging","CloudWatch Metrics","Numerical data points published to CloudWatch — default metrics (CPU, network, disk) at 5-minute intervals for free, detailed monitoring at 1-minute intervals (paid). Custom metrics via PutMetricData API with standard (60s) or high-resolution (1s) granularity."
"SAO-C02","Monitoring and Logging","CloudWatch Alarms","Automated actions triggered by metric thresholds — states: OK, ALARM, INSUFFICIENT_DATA. Actions: SNS notification, Auto Scaling, EC2 actions (stop/terminate/reboot/recover). Composite alarms combine multiple alarms with AND/OR logic to reduce alarm noise."
"SAO-C02","Monitoring and Logging","CloudWatch Logs","A centralized log management service — collecting logs from EC2 (via CloudWatch Agent), Lambda, ECS, Route 53, VPC Flow Logs, CloudTrail, and custom sources. Features: log groups, log streams, metric filters, subscription filters, Logs Insights for querying, and cross-account log sharing."
"SAO-C02","Monitoring and Logging","CloudWatch Logs Insights","An interactive query language for analyzing log data — running queries across log groups with fields, filter, stats, sort, and parse commands. Automatically discovers fields in JSON logs. Used for troubleshooting, pattern analysis, and operational intelligence."
"SAO-C02","Monitoring and Logging","CloudWatch Agent","A unified agent installed on EC2/on-premises servers — collecting system-level metrics (memory, disk, swap, processes) not available by default, plus custom application logs. Configured via JSON config file, supports both metrics and logs collection simultaneously."
"SAO-C02","Monitoring and Logging","CloudWatch Dashboards","Customizable visualization pages — displaying metrics, logs, and alarms from multiple AWS accounts and regions in a single view. Supports automatic dashboards, cross-account dashboards, and sharing via public URLs or within Organizations."
"SAO-C02","Monitoring and Logging","CloudWatch Anomaly Detection","ML-powered feature that creates a model of expected metric behavior — establishing a band of normal values and alerting when metrics fall outside. Useful for metrics with seasonal patterns or trends where static thresholds are impractical."
"SAO-C02","Monitoring and Logging","CloudWatch Synthetics (Canaries)","Configurable scripts that run on a schedule to monitor endpoints and APIs — simulating user behavior, checking availability, latency, and UI screenshots. Detects issues before customers do by proactively testing application health."
"SAO-C02","Monitoring and Logging","CloudWatch ServiceLens","An observability feature integrating CloudWatch with X-Ray traces and service maps — providing a unified view of application health, performance bottlenecks, and impacted users by correlating metrics, logs, and traces."
"SAO-C02","Monitoring and Logging","AWS X-Ray","A distributed tracing service — analyzing and debugging microservices architectures by tracing requests as they travel through application components. Provides service maps, trace analysis, latency histograms, and error/fault identification across services."
"SAO-C02","Monitoring and Logging","X-Ray Concepts","Segments (data about work done by a service), Subsegments (granular timing for downstream calls), Traces (end-to-end request path), Annotations (indexed key-value pairs for filtering), Metadata (non-indexed additional data), and Sampling rules (controlling trace volume)."
"SAO-C02","Monitoring and Logging","AWS CloudTrail","A governance and audit service logging all API calls — Management events (control plane, free), Data events (S3 object/Lambda, paid), and Insights events (unusual API activity detection). Trails deliver logs to S3 with optional CloudWatch Logs integration."
"SAO-C02","Monitoring and Logging","CloudTrail Insights","An automated anomaly detection feature — identifying unusual API call volumes, error rates, and patterns by establishing baselines and alerting on deviations. Helps detect operational issues like accidental resource deletion or unauthorized access attempts."
"SAO-C02","Monitoring and Logging","VPC Flow Logs","Capturing IP traffic information for VPC network interfaces — at VPC, subnet, or ENI level. Records source/destination IPs, ports, protocol, packets, bytes, and action (ACCEPT/REJECT). Published to CloudWatch Logs, S3, or Kinesis Data Firehose for analysis."
"SAO-C02","Monitoring and Logging","Amazon EventBridge","A serverless event bus for event-driven architectures — routing events from AWS services, SaaS apps, and custom sources to targets based on rules. Features: schema registry, archive/replay, cross-account delivery, scheduled rules, and input transformation."
"SAO-C02","Monitoring and Logging","AWS Health Dashboard","Provides personalized alerts about AWS service events affecting your resources — Personal Health Dashboard (your account-specific events) and Service Health Dashboard (general AWS service status). Integrates with EventBridge for automated remediation."
"SAO-C02","Monitoring and Logging","Amazon Managed Grafana","A fully managed Grafana service for operational dashboards — querying, visualizing, and alerting on metrics from CloudWatch, Prometheus, X-Ray, and other data sources. Supports SAML/SSO authentication and workspace-level access control."
"SAO-C02","Monitoring and Logging","Amazon Managed Service for Prometheus","A serverless Prometheus-compatible monitoring service — collecting, storing, and querying container metrics at scale using PromQL. Integrates with EKS, ECS, and self-managed Kubernetes for container workload monitoring."
"SAO-C02","Reliability and Business Continuity","AWS Well-Architected Framework - Reliability Pillar","Design principles for reliable systems — automatically recover from failure, test recovery procedures, scale horizontally, stop guessing capacity, and manage change through automation. Covers foundations, workload architecture, change management, and failure management."
"SAO-C02","Reliability and Business Continuity","Multi-AZ Architecture","Deploying resources across multiple Availability Zones for high availability — each AZ is one or more data centers with independent power, cooling, and networking. Services like RDS Multi-AZ, ELB, and Auto Scaling natively support multi-AZ deployment."
"SAO-C02","Reliability and Business Continuity","Multi-Region Architecture","Deploying across multiple AWS Regions for disaster recovery and global performance — using Route 53 for DNS failover, S3 Cross-Region Replication, DynamoDB Global Tables, Aurora Global Database, and CloudFront for content delivery."
"SAO-C02","Reliability and Business Continuity","Disaster Recovery Strategies","Four strategies with increasing cost and decreasing RTO/RPO — Backup & Restore (hours RTO/RPO), Pilot Light (minutes RTO, core running), Warm Standby (minutes RTO, scaled-down copy), Multi-Site Active-Active (near-zero RTO/RPO, full duplicate)."
"SAO-C02","Reliability and Business Continuity","RPO and RTO","Recovery Point Objective (RPO): maximum acceptable data loss measured in time — how far back you can afford to lose. Recovery Time Objective (RTO): maximum acceptable downtime — how quickly you must recover. These drive DR strategy selection and cost."
"SAO-C02","Reliability and Business Continuity","AWS Backup","A centralized backup service — managing backups for EC2, EBS, RDS, DynamoDB, EFS, FSx, S3, and more. Features: backup plans (schedules, retention, lifecycle), cross-region/cross-account backup, vault lock (WORM compliance), and audit manager."
"SAO-C02","Reliability and Business Continuity","AWS Elastic Disaster Recovery (DRS)","A service for minimizing downtime and data loss with affordable DR — continuously replicating on-premises or cloud servers to AWS using block-level replication. Enables point-in-time recovery with RPO of seconds and RTO of minutes."
"SAO-C02","Reliability and Business Continuity","Auto Scaling","Automatically adjusting capacity to maintain performance and minimize costs — EC2 Auto Scaling (instances), Application Auto Scaling (DynamoDB, ECS, Aurora replicas, Lambda concurrency), and Predictive Scaling (ML-based forecasting for proactive scaling)."
"SAO-C02","Reliability and Business Continuity","Elastic Load Balancing Health Checks","Monitoring target health to route traffic only to healthy instances — HTTP/HTTPS/TCP checks with configurable interval, threshold, and timeout. Unhealthy targets are removed from rotation; Auto Scaling can replace failed instances based on ELB health checks."
"SAO-C02","Reliability and Business Continuity","Route 53 Failover Routing","DNS-based failover between primary and secondary resources — using health checks to detect primary failure and automatically routing traffic to secondary (another region, static S3 website, or CloudFront). Active-passive or active-active configurations."
"SAO-C02","Reliability and Business Continuity","RDS Automated Backups and Snapshots","Automated daily backups with transaction logs (point-in-time recovery up to 5-minute granularity, 0-35 day retention) and manual snapshots (user-initiated, persist until deleted). Cross-region snapshot copy for DR. Aurora backups are continuous to S3."
"SAO-C02","Reliability and Business Continuity","S3 Versioning and Replication","Versioning protects against accidental deletion/overwrite. Cross-Region Replication (CRR) for DR and compliance. Same-Region Replication (SRR) for log aggregation. S3 Object Lock (WORM) for regulatory compliance with Governance and Compliance modes."
"SAO-C02","Reliability and Business Continuity","Fault Isolation and Blast Radius","Limiting the impact of failures — using multiple AZs, microservices architecture, bulkhead pattern (isolating components), circuit breaker pattern (preventing cascade failures), and shuffle sharding (assigning resources to overlapping but distinct groups)."
"SAO-C02","Reliability and Business Continuity","Chaos Engineering","Deliberately injecting failures to test system resilience — AWS Fault Injection Simulator (FIS) provides controlled experiments like stopping instances, throttling APIs, and injecting latency to validate recovery procedures and identify weaknesses."
"SAO-C02","Reliability and Business Continuity","AWS Fault Injection Simulator (FIS)","A managed chaos engineering service — running controlled experiments that inject faults (EC2 stop/terminate, network disruption, API throttling, AZ outage) with safety guardrails (stop conditions) to validate system resilience and recovery."
"SAO-C02","Deployment, Provisioning, and Automation","AWS CloudFormation","Infrastructure as Code (IaC) service — defining AWS resources in JSON/YAML templates, deploying as stacks with automatic dependency ordering, rollback on failure, drift detection, change sets for preview, nested stacks, and cross-stack references via exports."
"SAO-C02","Deployment, Provisioning, and Automation","CloudFormation Key Concepts","Templates (resource definitions), Stacks (deployed template instances), Change Sets (preview changes before applying), Drift Detection (identify manual changes), Stack Sets (deploy across accounts/regions), and StackSets with Organizations integration."
"SAO-C02","Deployment, Provisioning, and Automation","CloudFormation - Rollback and Error Handling","Automatic rollback on stack creation/update failure — preserving the previous working state. Options: disable rollback for debugging, continue rollback for stuck resources, and stack policies to prevent accidental updates to critical resources."
"SAO-C02","Deployment, Provisioning, and Automation","CloudFormation StackSets","Deploying CloudFormation stacks across multiple accounts and regions in a single operation — using service-managed (Organizations) or self-managed permissions. Supports automatic deployment to new accounts added to an OU."
"SAO-C02","Deployment, Provisioning, and Automation","AWS CDK (Cloud Development Kit)","An IaC framework using familiar programming languages (TypeScript, Python, Java, C#, Go) — defining cloud infrastructure with constructs that synthesize into CloudFormation templates. Higher-level abstractions than raw CloudFormation."
"SAO-C02","Deployment, Provisioning, and Automation","AWS Service Catalog","A service for creating and managing approved IT service catalogs — administrators define products (CloudFormation templates) in portfolios, users launch pre-approved resources with governance constraints, TagOptions, and launch constraints."
"SAO-C02","Deployment, Provisioning, and Automation","AWS Systems Manager (SSM)","A unified management hub for AWS and on-premises resources — providing Run Command, Session Manager, Patch Manager, State Manager, Parameter Store, Automation, Inventory, and Maintenance Windows for operational management at scale."
"SAO-C02","Deployment, Provisioning, and Automation","SSM - Run Command","Remotely executing commands on managed instances without SSH/RDP — using documents (predefined or custom scripts) across fleets of instances with rate control, error thresholds, and output to S3/CloudWatch. No bastion hosts or open inbound ports needed."
"SAO-C02","Deployment, Provisioning, and Automation","SSM - Session Manager","A browser-based interactive shell and CLI access to EC2 instances — no SSH keys, no bastion hosts, no open inbound ports. Full audit logging to S3/CloudWatch, IAM-based access control, and port forwarding support."
"SAO-C02","Deployment, Provisioning, and Automation","SSM - Patch Manager","Automated patching for managed instances — using patch baselines (approved/rejected patches), maintenance windows (scheduled time), and patch groups (targeting). Supports Windows, Linux, and macOS with compliance reporting."
"SAO-C02","Deployment, Provisioning, and Automation","SSM - State Manager","Maintaining instances in a defined state — using associations that apply configurations (documents) on a schedule. Ensures instances stay compliant with desired configuration (e.g., antivirus installed, specific services running)."
"SAO-C02","Deployment, Provisioning, and Automation","SSM - Automation","Executing runbooks for common maintenance and deployment tasks — predefined or custom runbooks with approval steps, branching logic, and integration with other AWS services. Used for AMI creation, instance remediation, and multi-step workflows."
"SAO-C02","Deployment, Provisioning, and Automation","SSM - Maintenance Windows","Defining recurring time windows for running administrative tasks — patching, Run Command, Automation, Lambda, and Step Functions tasks during scheduled periods to minimize disruption to production workloads."
"SAO-C02","Deployment, Provisioning, and Automation","SSM - Inventory","Collecting metadata about managed instances — installed applications, OS details, network configurations, Windows updates, services, and custom inventory. Aggregated in Resource Data Sync to S3 for analysis with Athena and QuickSight."
"SAO-C02","Deployment, Provisioning, and Automation","AWS OpsWorks","A configuration management service using Chef or Puppet — OpsWorks Stacks (layers, instances, apps with Chef recipes) and OpsWorks for Chef Automate / Puppet Enterprise (managed servers). Used for complex application configurations."
"SAO-C02","Deployment, Provisioning, and Automation","Amazon EC2 Image Builder","An automated pipeline for creating, testing, and distributing AMIs and container images — defining image recipes (base image + components), running build/test pipelines on schedule, and distributing to multiple regions and accounts."
"SAO-C02","Deployment, Provisioning, and Automation","Deployment Strategies","In-Place/Rolling (update existing instances), Blue/Green (parallel environments, instant switchover), Canary (small percentage first), Linear (incremental rollout), All-at-Once (fastest, riskiest), and Immutable (new instances, swap ASG). Choose based on risk tolerance and downtime requirements."
"SAO-C02","Deployment, Provisioning, and Automation","AWS CodeDeploy","A managed deployment service — deploying to EC2, Lambda, and ECS with in-place, blue/green, canary, and linear strategies. Uses appspec.yml for deployment instructions, lifecycle hooks for custom scripts, and automatic rollback on failure."
"SAO-C02","Deployment, Provisioning, and Automation","AWS CodePipeline","A managed CI/CD pipeline service — orchestrating source (CodeCommit/GitHub/S3), build (CodeBuild), test, and deploy (CodeDeploy/CloudFormation/ECS/S3) stages with manual approval gates, parallel actions, and cross-region/cross-account deployments."
"SAO-C02","Deployment, Provisioning, and Automation","AWS CodeBuild","A fully managed build service — compiling source code, running tests, and producing deployment artifacts. Uses buildspec.yml for build instructions, supports custom Docker images, caches dependencies, and scales automatically with no build servers to manage."
"SAO-C02","Deployment, Provisioning, and Automation","AWS Elastic Beanstalk","A PaaS for deploying web applications — handling provisioning, load balancing, auto-scaling, and monitoring. Supports Java, .NET, Node.js, Python, Ruby, Go, Docker. Deployment policies: All at Once, Rolling, Rolling with Additional Batch, Immutable, Traffic Splitting."
"SAO-C02","Deployment, Provisioning, and Automation","EC2 User Data and Launch Templates","User Data: scripts executed on first boot for instance initialization (install software, configure settings). Launch Templates: versioned configurations specifying AMI, instance type, key pair, security groups, and user data — used by Auto Scaling and EC2 Fleet."
"SAO-C02","Deployment, Provisioning, and Automation","AMI Management","Amazon Machine Images as deployment artifacts — golden AMIs (pre-configured, tested images), AMI lifecycle (build → test → distribute → deprecate), cross-region copy for DR, sharing with other accounts, and EC2 Image Builder for automated pipelines."
"SAO-C02","Security and Compliance","AWS IAM - Operational Best Practices","Root account: enable MFA, don't use for daily tasks. Use IAM roles over long-term credentials. Enforce least privilege with Access Analyzer. Rotate credentials regularly. Use permission boundaries for delegated administration. Enable CloudTrail for audit."
"SAO-C02","Security and Compliance","IAM Access Analyzer","A service that identifies resources shared with external entities — analyzing S3 buckets, IAM roles, KMS keys, Lambda functions, and SQS queues for unintended public or cross-account access. Also validates policies against best practices and generates policies from activity."
"SAO-C02","Security and Compliance","AWS Config","A service recording and evaluating resource configurations — tracking changes over time, evaluating compliance against rules (managed and custom), triggering remediation actions, and providing a configuration timeline. Aggregators combine data across accounts/regions."
"SAO-C02","Security and Compliance","AWS Config Rules","Evaluating resource compliance — Managed rules (pre-built by AWS, e.g., encrypted-volumes, restricted-ssh), Custom rules (Lambda-based), and Conformance Packs (collections of rules as a single entity). Trigger types: configuration change or periodic evaluation."
"SAO-C02","Security and Compliance","AWS Config Remediation","Automatically fixing non-compliant resources — using SSM Automation documents as remediation actions triggered by Config rule violations. Supports auto-remediation (immediate) and manual remediation (approval required) with retry configuration."
"SAO-C02","Security and Compliance","AWS Security Hub","A centralized security posture management service — aggregating findings from GuardDuty, Inspector, Macie, Firewall Manager, and third-party tools. Automated compliance checks against CIS, PCI DSS, and AWS Foundational Security Best Practices standards."
"SAO-C02","Security and Compliance","Amazon GuardDuty","An intelligent threat detection service — analyzing CloudTrail, VPC Flow Logs, DNS logs, EKS audit logs, and S3 data events using ML. Detects compromised instances, unauthorized access, cryptocurrency mining, and data exfiltration with severity-rated findings."
"SAO-C02","Security and Compliance","Amazon Inspector","An automated vulnerability management service — continuously scanning EC2 instances, Lambda functions, and ECR container images for software vulnerabilities (CVEs) and network exposure. Findings include severity, affected packages, and remediation guidance."
"SAO-C02","Security and Compliance","AWS Trusted Advisor","An automated best-practice audit across 5 pillars — Cost Optimization, Performance, Security, Fault Tolerance, and Service Limits. Basic checks free for all; full checks require Business/Enterprise Support. Integrates with EventBridge for automated responses."
"SAO-C02","Security and Compliance","KMS Key Management for Operations","Operational considerations — key rotation (automatic annual for AWS-managed, manual for customer-managed), key policies vs IAM policies, grants for temporary access, cross-account key sharing, and monitoring key usage via CloudTrail for security auditing."
"SAO-C02","Security and Compliance","AWS Certificate Manager (ACM)","Managing SSL/TLS certificates — free public certificates with auto-renewal for ALB, CloudFront, API Gateway. Private CA for internal certificates. Certificate transparency logging, DNS or email validation, and importing third-party certificates."
"SAO-C02","Security and Compliance","S3 Security Best Practices","Block Public Access (account and bucket level), bucket policies for access control, encryption (SSE-S3 default, SSE-KMS for audit), access logging, versioning with MFA Delete, Object Lock for WORM compliance, and VPC endpoints for private access."
"SAO-C02","Security and Compliance","AWS Control Tower","A service for setting up and governing multi-account environments — providing landing zones, guardrails (preventive SCPs and detective Config rules), account factory for provisioned accounts, and a dashboard for compliance visibility across the organization."
"SAO-C02","Security and Compliance","Compliance and Audit Tools","CloudTrail (API audit), Config (resource compliance), Security Hub (centralized findings), Access Analyzer (external access), Artifact (compliance reports/agreements), and Audit Manager (continuous audit evidence collection mapped to frameworks like SOC 2, PCI DSS)."
