"examCode","Category","Term","Definition"
"AIP-C01","Fundamentals of AI and ML","Artificial Intelligence (AI)","The broad field of computer science focused on creating systems capable of performing tasks that typically require human intelligence, such as visual perception, speech recognition, decision-making, and language translation."
"AIP-C01","Fundamentals of AI and ML","Machine Learning (ML)","A subset of AI where algorithms learn patterns from data to make predictions or decisions without being explicitly programmed — improving automatically through experience and exposure to more data."
"AIP-C01","Fundamentals of AI and ML","Deep Learning","A subset of machine learning that uses artificial neural networks with multiple layers (deep neural networks) to model complex patterns in large datasets, powering applications like image recognition and natural language processing."
"AIP-C01","Fundamentals of AI and ML","Generative AI","A category of AI that can create new content — text, images, code, audio, video — by learning patterns from training data, powered by foundation models like large language models (LLMs)."
"AIP-C01","Fundamentals of AI and ML","Foundation Model","A large AI model pre-trained on broad, diverse datasets that can be adapted (fine-tuned) for a wide range of downstream tasks — examples include GPT, Claude, Titan, and Llama."
"AIP-C01","Fundamentals of AI and ML","Large Language Model (LLM)","A type of foundation model specifically trained on massive text corpora to understand and generate human language, capable of tasks like summarization, translation, question answering, and code generation."
"AIP-C01","Fundamentals of AI and ML","Supervised Learning","A machine learning approach where the model is trained on labeled data (input-output pairs), learning to map inputs to known correct outputs — used for classification and regression tasks."
"AIP-C01","Fundamentals of AI and ML","Unsupervised Learning","A machine learning approach where the model finds hidden patterns or structures in unlabeled data without predefined outputs — used for clustering, anomaly detection, and dimensionality reduction."
"AIP-C01","Fundamentals of AI and ML","Reinforcement Learning","A machine learning approach where an agent learns to make decisions by taking actions in an environment and receiving rewards or penalties, optimizing for cumulative long-term reward."
"AIP-C01","Fundamentals of AI and ML","Reinforcement Learning from Human Feedback (RLHF)","A technique used to fine-tune LLMs where human evaluators rank model outputs by quality, and the model is trained via reinforcement learning to produce responses that align with human preferences."
"AIP-C01","Fundamentals of AI and ML","Transfer Learning","A technique where a model pre-trained on one task is adapted for a different but related task, significantly reducing the amount of training data and compute required."
"AIP-C01","Fundamentals of AI and ML","Fine-Tuning","The process of taking a pre-trained foundation model and further training it on a smaller, domain-specific dataset to specialize its performance for a particular use case."
"AIP-C01","Fundamentals of AI and ML","Inference","The process of using a trained ML model to make predictions or generate outputs on new, unseen data — as opposed to training, which is the learning phase."
"AIP-C01","Fundamentals of AI and ML","Training Data","The dataset used to teach a machine learning model patterns and relationships — its quality, size, diversity, and representativeness directly impact model performance."
"AIP-C01","Fundamentals of AI and ML","Tokens","The basic units that LLMs process — words, subwords, or characters that text is broken into before being fed to the model. Token limits define the maximum input/output length (context window)."
"AIP-C01","Fundamentals of AI and ML","Context Window","The maximum number of tokens a language model can process in a single input-output interaction — larger context windows allow the model to consider more information when generating responses."
"AIP-C01","Fundamentals of AI and ML","Embedding","A numerical vector representation of data (text, images, etc.) in a high-dimensional space where semantically similar items are positioned closer together — used for search, recommendations, and RAG."
"AIP-C01","Fundamentals of AI and ML","Neural Network","A computing system inspired by biological neural networks, consisting of interconnected nodes (neurons) organized in layers that process information and learn patterns from data."
"AIP-C01","Fundamentals of AI and ML","Transformer Architecture","The neural network architecture behind modern LLMs that uses self-attention mechanisms to process all parts of an input sequence simultaneously (in parallel), enabling efficient training on massive datasets."
"AIP-C01","Fundamentals of AI and ML","Diffusion Model","A generative AI model that learns to create data (typically images) by gradually adding noise to training data and then learning to reverse the process — used in image generation services like Stable Diffusion and Amazon Titan Image Generator."
"AIP-C01","Fundamentals of Generative AI","Prompt","The input text or instruction given to a generative AI model to guide its output — the quality and specificity of the prompt directly influences the quality of the generated response."
"AIP-C01","Fundamentals of Generative AI","Prompt Engineering","The practice of designing and refining input prompts to elicit desired outputs from generative AI models — techniques include zero-shot, few-shot, chain-of-thought, and system prompts."
"AIP-C01","Fundamentals of Generative AI","Zero-Shot Prompting","Asking a model to perform a task without providing any examples — relying entirely on the model's pre-trained knowledge to understand and complete the request."
"AIP-C01","Fundamentals of Generative AI","Few-Shot Prompting","Providing a small number of input-output examples within the prompt to guide the model's behavior and output format for the desired task."
"AIP-C01","Fundamentals of Generative AI","Chain-of-Thought (CoT) Prompting","A prompting technique that instructs the model to break down complex reasoning into intermediate steps before arriving at a final answer, improving accuracy on math, logic, and multi-step problems."
