"examCode","Category","Term","Definition"
"DVA-C02","Development with AWS Services","AWS SDK (Software Development Kit)","Language-specific libraries (Python/Boto3, Java, Node.js, .NET, Go) that provide APIs to interact with AWS services programmatically — handling authentication, retries, pagination, and serialization for developers."
"DVA-C02","Development with AWS Services","AWS CLI (Command Line Interface)","A unified tool to manage AWS services from the command line — supporting all AWS API operations, scripting automation, output formatting (JSON, table, text), and profile-based credential management."
"DVA-C02","Development with AWS Services","Amazon EC2 (Elastic Compute Cloud)","Virtual servers in the cloud with configurable CPU, memory, storage, and networking — supporting On-Demand, Reserved, Spot, and Savings Plans pricing, with Auto Scaling for dynamic capacity management."
"DVA-C02","Development with AWS Services","EC2 Instance Metadata Service (IMDS)","A service available at [IP_ADDRESS] that provides instance information (instance ID, AMI, security credentials, user data) — IMDSv2 requires session tokens (PUT then GET) for enhanced security against SSRF attacks."
"DVA-C02","Development with AWS Services","EC2 User Data","A script (bash or cloud-init) that runs automatically when an EC2 instance first launches — used for bootstrapping tasks like installing software, configuring services, and pulling application code from repositories."
"DVA-C02","Development with AWS Services","AWS Lambda","A serverless compute service that runs code in response to events without provisioning servers — supporting multiple runtimes (Python, Node.js, Java, .NET, Go, Ruby), with automatic scaling, pay-per-invocation pricing, and up to 15-minute execution time."
"DVA-C02","Development with AWS Services","Lambda Execution Environment","The runtime container for Lambda functions — includes a /tmp directory (up to 10 GB), environment variables, layers, and a lifecycle of INIT (cold start), INVOKE (handler execution), and SHUTDOWN phases."
"DVA-C02","Development with AWS Services","Lambda Cold Start","The latency incurred when Lambda creates a new execution environment — includes downloading code, starting the runtime, and running initialization code. Mitigated with Provisioned Concurrency, smaller packages, and keeping connections outside the handler."
"DVA-C02","Development with AWS Services","Lambda Layers","ZIP archives containing libraries, custom runtimes, or dependencies shared across multiple Lambda functions — up to 5 layers per function, reducing deployment package size and enabling code reuse."
"DVA-C02","Development with AWS Services","Lambda Versions and Aliases","Versions are immutable snapshots of function code and configuration. Aliases are pointers to specific versions — enabling blue/green deployments by shifting traffic between versions (e.g., alias 'prod' pointing to v2 with 90/10 weighted routing)."
"DVA-C02","Development with AWS Services","Lambda Environment Variables","Key-value pairs configured on a Lambda function that are available to your code at runtime — supporting encryption with KMS for sensitive values like database credentials and API keys."
"DVA-C02","Development with AWS Services","Lambda Destinations","A feature that routes the result of asynchronous Lambda invocations to a destination (SQS, SNS, Lambda, EventBridge) based on success or failure — replacing custom error-handling code with declarative routing."
"DVA-C02","Development with AWS Services","Lambda Event Source Mappings","Configurations that read from stream/queue sources (Kinesis, DynamoDB Streams, SQS) and invoke Lambda with batches of records — managing polling, batching, error handling, and checkpointing automatically."
"DVA-C02","Development with AWS Services","Lambda Concurrency","The number of function instances serving requests simultaneously — default 1,000 per region (soft limit). Reserved concurrency guarantees capacity for a function; Provisioned Concurrency pre-initializes environments to eliminate cold starts."
"DVA-C02","Development with AWS Services","Lambda in VPC","Configuring Lambda to access resources in a VPC (RDS, ElastiCache, private APIs) — Lambda creates ENIs in specified subnets using Hyperplane, requiring proper security group and NAT Gateway configuration for internet access."
"DVA-C02","Development with AWS Services","Amazon API Gateway","A fully managed service for creating, publishing, and managing REST, HTTP, and WebSocket APIs — handling authentication, throttling, caching, request/response transformation, and API versioning at any scale."
"DVA-C02","Development with AWS Services","API Gateway - REST API vs HTTP API","REST APIs offer full feature set (caching, request validation, WAF, resource policies, usage plans). HTTP APIs are simpler, cheaper, faster, with JWT authorizers and OIDC support — choose HTTP API unless you need REST-specific features."
"DVA-C02","Development with AWS Services","API Gateway - Stages","Named references to deployment snapshots of an API (dev, staging, prod) — each stage has its own URL, stage variables (like environment variables), canary deployments, and independent throttling/logging settings."
"DVA-C02","Development with AWS Services","API Gateway - Throttling","Rate limiting to protect backend services — default 10,000 requests/second with 5,000 burst across all APIs per region. Configurable per-stage and per-method throttling, with usage plans and API keys for client-level limits."
"DVA-C02","Development with AWS Services","API Gateway - Caching","An optional cache (0.5 GB to 237 GB) that stores backend responses for a configurable TTL (default 300 seconds) — reducing backend calls and latency for repeated requests, with cache invalidation via Cache-Control headers."
"DVA-C02","Development with AWS Services","API Gateway - Lambda Proxy Integration","A simplified integration where API Gateway passes the entire HTTP request as a JSON event to Lambda and expects a specific response format (statusCode, headers, body) — the most common integration pattern for serverless APIs."
"DVA-C02","Development with AWS Services","Amazon DynamoDB","A fully managed serverless NoSQL key-value and document database — providing single-digit millisecond performance at any scale, with on-demand or provisioned capacity modes, and automatic scaling."
"DVA-C02","Development with AWS Services","DynamoDB - Primary Key","The unique identifier for each item — Partition Key only (simple) or Partition Key + Sort Key (composite). The partition key determines data distribution; the sort key enables range queries and ordering within a partition."
"DVA-C02","Development with AWS Services","DynamoDB - Read/Write Capacity Units","Provisioned throughput measurement — 1 RCU = one strongly consistent read (up to 4 KB) or two eventually consistent reads. 1 WCU = one write (up to 1 KB). On-Demand mode auto-scales without capacity planning."
"DVA-C02","Development with AWS Services","DynamoDB - Secondary Indexes","GSI (Global Secondary Index): different partition/sort key, own throughput, eventually consistent. LSI (Local Secondary Index): same partition key, different sort key, shares table throughput, supports strongly consistent reads. LSIs must be created at table creation."
"DVA-C02","Development with AWS Services","DynamoDB - Query vs Scan","Query retrieves items by partition key (and optional sort key condition) — efficient and targeted. Scan reads every item in the table — expensive and slow. Always prefer Query; use parallel scan and ProjectionExpression to optimize Scans when unavoidable."
"DVA-C02","Development with AWS Services","DynamoDB - Conditional Writes","Write operations (PutItem, UpdateItem, DeleteItem) with condition expressions that only succeed if conditions are met — enabling optimistic locking, preventing overwrites, and implementing atomic counters without race conditions."
"DVA-C02","Development with AWS Services","DynamoDB Streams","An ordered flow of item-level changes (insert, update, delete) from a DynamoDB table — triggering Lambda functions for event-driven processing, cross-region replication, and real-time analytics with 24-hour retention."
"DVA-C02","Development with AWS Services","DynamoDB - DAX (DynamoDB Accelerator)","A fully managed in-memory cache for DynamoDB that delivers up to 10x read performance — microsecond latency for cached reads, API-compatible (drop-in replacement), with item cache and query cache."
"DVA-C02","Development with AWS Services","DynamoDB - TTL (Time to Live)","A feature that automatically deletes expired items based on a timestamp attribute — reducing storage costs and table size without consuming write capacity, with deletions appearing in DynamoDB Streams."
"DVA-C02","Development with AWS Services","DynamoDB - Transactions","ACID-compliant operations across multiple items and tables using TransactWriteItems and TransactGetItems — supporting all-or-nothing operations for financial transactions, order processing, and multi-table updates."
"DVA-C02","Development with AWS Services","Amazon S3 (Simple Storage Service)","Object storage with virtually unlimited scalability — storing objects (up to 5 TB) in buckets with unique keys, supporting versioning, lifecycle policies, encryption, event notifications, and multiple storage classes."
"DVA-C02","Development with AWS Services","S3 - Pre-signed URLs","Time-limited URLs that grant temporary access to private S3 objects — generated using SDK/CLI with configurable expiration, enabling secure file uploads/downloads without requiring AWS credentials from the client."
"DVA-C02","Development with AWS Services","S3 - Multipart Upload","A feature for uploading large objects in parts (5 MB to 5 GB each) — recommended for objects over 100 MB, enabling parallel uploads, pause/resume, and improved throughput. Required for objects over 5 GB."
"DVA-C02","Development with AWS Services","S3 - Event Notifications","Automated triggers when objects are created, deleted, or restored — sending events to Lambda, SQS, SNS, or EventBridge for processing pipelines, thumbnail generation, and data transformation workflows."
"DVA-C02","Development with AWS Services","Amazon SQS (Simple Queue Service)","A fully managed message queuing service — Standard queues offer unlimited throughput with best-effort ordering and at-least-once delivery. FIFO queues guarantee exactly-once processing and strict ordering (300 TPS, 3,000 with batching)."
"DVA-C02","Development with AWS Services","SQS - Visibility Timeout","The period after a message is received during which it is hidden from other consumers — default 30 seconds, max 12 hours. If processing fails before timeout expires, the message becomes visible again for retry."
"DVA-C02","Development with AWS Services","SQS - Dead Letter Queue (DLQ)","A queue that receives messages that fail processing after a configured number of attempts (maxReceiveCount) — enabling isolation and analysis of problematic messages without blocking the main queue."
"DVA-C02","Development with AWS Services","SQS - Long Polling","A technique where SQS waits up to 20 seconds for messages before returning an empty response — reducing empty responses and API costs compared to short polling (immediate return), configured via WaitTimeSeconds."
"DVA-C02","Development with AWS Services","Amazon SNS (Simple Notification Service)","A fully managed pub/sub messaging service — publishers send messages to topics, and subscribers (Lambda, SQS, HTTP, email, SMS) receive copies. Supports message filtering, FIFO topics, and fan-out patterns."
