"examCode","scenarioDescription","toolboxServices","correctPipelineOrder","hint","hint2","explanation"
"DVA-C02","A developer needs to deploy a serverless REST API that validates request payloads against a JSON schema, executes business logic, and returns responses. The API must support throttling, API keys for usage plans, and stage-specific deployments (dev, staging, prod).","Amazon API Gateway|AWS Lambda|Amazon EC2|AWS Elastic Beanstalk|Amazon DynamoDB|AWS AppSync|Amazon CloudFront","Amazon API Gateway|AWS Lambda|Amazon DynamoDB","A fully managed API service supports request validation, throttling, API keys, and stage deployments natively.","The compute layer behind the API should be serverless and event-driven, running code only when requests arrive.","Amazon API Gateway receives HTTP requests, validates payloads against JSON schema models, enforces throttling and API key usage plans, and routes to stage-specific deployments. AWS Lambda executes the business logic as serverless functions triggered by API Gateway, with no server management. Amazon DynamoDB stores and retrieves data with single-digit millisecond latency, completing the fully serverless architecture."
"DVA-C02","A developer is building a CI/CD pipeline for a Lambda function. When code is pushed to the main branch, it should automatically build the deployment package, run unit tests, and deploy to production using a canary deployment strategy that shifts 10% of traffic for 10 minutes before full cutover.","AWS CodeCommit|AWS CodeBuild|AWS CodeDeploy|AWS CodePipeline|AWS CloudFormation|Amazon ECR|AWS Lambda","AWS CodeCommit|AWS CodePipeline|AWS CodeBuild|AWS CodeDeploy","Source code changes in a Git repository trigger the pipeline automatically via branch-level event rules.","CodeDeploy supports Lambda traffic shifting strategies including Canary, Linear, and AllAtOnce deployment preferences.","AWS CodeCommit hosts the source repository and triggers the pipeline on pushes to main. AWS CodePipeline orchestrates the end-to-end CI/CD workflow, invoking AWS CodeBuild to compile the deployment package and run unit tests. AWS CodeDeploy performs the canary deployment using Lambda alias traffic shifting — routing 10% of traffic to the new version for 10 minutes, then completing the cutover if CloudWatch alarms remain healthy."
"DVA-C02","A developer needs to store application secrets like database passwords and third-party API keys that Lambda functions retrieve at runtime. The secrets must be encrypted, automatically rotated every 30 days, and cached locally in the Lambda function to minimize API calls and latency.","AWS Secrets Manager|AWS Systems Manager Parameter Store|AWS KMS|AWS Lambda|Amazon S3|AWS CloudHSM|AWS IAM","AWS Secrets Manager|AWS KMS|AWS Lambda","One AWS service is purpose-built for secret storage with native automatic rotation support on a configurable schedule.","The Lambda Powertools library or AWS SDK caching extensions can cache secrets locally to reduce API call overhead.","AWS Secrets Manager stores the database passwords and API keys with built-in automatic rotation every 30 days using Lambda rotation functions. AWS KMS encrypts the secrets at rest using customer-managed or AWS-managed encryption keys. AWS Lambda retrieves the secrets at runtime using the AWS SDK with the Secrets Manager caching client, which caches secrets in memory to minimize API calls and reduce latency on subsequent invocations."
"DVA-C02","A developer is troubleshooting a distributed microservices application where requests pass through API Gateway, multiple Lambda functions, and DynamoDB. They need to trace the full request path, identify latency bottlenecks, and visualize the service map showing dependencies between components.","AWS X-Ray|Amazon CloudWatch|AWS CloudTrail|Amazon CloudWatch Logs|AWS Lambda|Amazon DynamoDB|Amazon API Gateway","Amazon API Gateway|AWS X-Ray|Amazon CloudWatch","A distributed tracing service propagates trace IDs across service boundaries to build an end-to-end request timeline.","Enable active tracing on API Gateway and Lambda to automatically instrument the X-Ray SDK for trace propagation.","Amazon API Gateway is the entry point where X-Ray tracing begins by generating a trace ID in the X-Amzn-Trace-Id header. AWS X-Ray collects trace segments from API Gateway, Lambda functions, and DynamoDB, building a complete service map that visualizes dependencies and identifies latency bottlenecks across the distributed path. Amazon CloudWatch complements X-Ray by providing detailed metrics, logs, and alarms for each service, enabling the developer to correlate traces with specific log entries and performance metrics."
"DVA-C02","A developer needs to decouple a web application from a slow downstream payment processing service. Orders must be queued reliably, processed exactly once to prevent duplicate charges, and failed payments must be captured in a dead-letter queue for manual review after 3 retry attempts.","Amazon SQS FIFO|Amazon SQS Standard|Amazon SNS|AWS Lambda|Amazon EventBridge|Amazon MQ|Amazon Kinesis","Amazon SQS FIFO|AWS Lambda|Amazon SQS FIFO","Exactly-once processing for payment orders requires a queue type that supports message deduplication and ordering guarantees.","The dead-letter queue (DLQ) must be the same type as the source queue — FIFO source requires a FIFO DLQ.","Amazon SQS FIFO queue receives the payment orders with exactly-once processing via message deduplication IDs, preventing duplicate charges. AWS Lambda polls the FIFO queue and processes each payment, with the maxReceiveCount set to 3 for retry attempts. After 3 failed processing attempts, the message is automatically moved to a FIFO dead-letter queue (the second SQS FIFO) for manual review — FIFO DLQs are required when the source queue is FIFO."
"DVA-C02","A developer is deploying a containerized Node.js application to AWS. The team wants to use Docker containers but does not want to manage EC2 instances, cluster capacity, or operating system patches. They need automatic scaling based on CPU utilization and integration with Application Load Balancer.","AWS Fargate|Amazon ECS|Amazon EKS|Amazon EC2|Amazon ECR|Elastic Load Balancing|AWS Lambda","Amazon ECR|Amazon ECS|AWS Fargate|Elastic Load Balancing","Container images must be stored in a registry before the orchestrator can pull and run them.","A serverless compute engine for containers eliminates all EC2 instance management, patching, and capacity planning.","Amazon ECR stores the Docker container images securely as the container registry. Amazon ECS defines the task definitions and services that describe how the containers should run. AWS Fargate is the serverless compute engine that runs the ECS tasks without managing any EC2 instances, handling OS patching and capacity scaling automatically based on CPU utilization targets. Elastic Load Balancing (ALB) distributes incoming traffic across the Fargate tasks and performs health checks."
"DVA-C02","A developer needs to implement a real-time WebSocket API for a chat application. Connected clients must receive messages instantly when other users send them. The connection state (who is online) must be tracked, and the backend must be able to push messages to specific connected clients by their connection ID.","Amazon API Gateway WebSocket|AWS Lambda|Amazon DynamoDB|Amazon SNS|Amazon SQS|AWS AppSync|Amazon ElastiCache","Amazon API Gateway WebSocket|AWS Lambda|Amazon DynamoDB","API Gateway supports a WebSocket protocol that manages persistent connections with $connect, $disconnect, and $default routes.","Connection IDs must be stored in a database so the backend can look up and push messages to specific online users.","Amazon API Gateway WebSocket API manages persistent bidirectional connections, handling $connect, $disconnect, and $default routes to track client lifecycle events. AWS Lambda processes incoming messages on each route and uses the API Gateway Management API (@connections) to push messages back to specific clients by their connection ID. Amazon DynamoDB stores the connection state — mapping user IDs to connection IDs — so the backend can look up which connections are active and target messages to specific online users."
"DVA-C02","A developer needs to implement fine-grained access control for a DynamoDB table where each user can only read and write their own items. The application uses Amazon Cognito for authentication, and the access policy must dynamically restrict access based on the authenticated user's identity without hardcoding user IDs.","Amazon Cognito|AWS IAM|Amazon DynamoDB|AWS STS|AWS Lambda|Amazon API Gateway|AWS KMS","Amazon Cognito|AWS IAM|Amazon DynamoDB","Cognito Identity Pool provides temporary AWS credentials with IAM policies that can include dynamic substitution variables.","The IAM policy condition key ${cognito-identity.amazonaws.com:sub} dynamically resolves to the authenticated user's unique ID.","Amazon Cognito authenticates the user and the Cognito Identity Pool exchanges the token for temporary AWS credentials via an assumed IAM role. The AWS IAM policy attached to that role uses a condition key with the ${cognito-identity.amazonaws.com:sub} variable in the dynamodb:LeadingKeys condition, dynamically restricting DynamoDB access to only items where the partition key matches the authenticated user's identity. Amazon DynamoDB enforces this fine-grained access at the item level, ensuring each user can only read and write their own records without any application-level filtering."
"DVA-C02","A developer needs to deploy an application update to an Elastic Beanstalk environment with zero downtime. The update must be tested on a separate environment first, and if successful, all traffic should switch to the new version instantly via DNS swap. If issues arise, they need to roll back within seconds.","AWS Elastic Beanstalk|Amazon Route 53|AWS CodeDeploy|AWS CloudFormation|Elastic Load Balancing|Amazon EC2|AWS Lambda","AWS Elastic Beanstalk|AWS Elastic Beanstalk|Amazon Route 53","Elastic Beanstalk supports a deployment strategy where you create a clone environment, deploy to it, then swap the CNAME.","Blue/green deployment in Beanstalk uses the 'Swap Environment URLs' feature for instant DNS-level traffic switching.","The first AWS Elastic Beanstalk environment (blue) runs the current production version. A second Elastic Beanstalk environment (green) is created as a clone, and the new application version is deployed and tested there independently. Amazon Route 53 performs the instant traffic switch via Elastic Beanstalk's 'Swap Environment URLs' feature, which swaps the CNAME records between blue and green environments — rollback is equally instant by swapping back."
"DVA-C02","A developer needs to implement a Lambda function that processes S3 event notifications when new images are uploaded. The function must generate thumbnails and store them back in S3. They need to avoid infinite loops where the thumbnail upload triggers the function again.","Amazon S3|AWS Lambda|Amazon SQS|Amazon SNS|Amazon EventBridge|AWS Step Functions|Amazon CloudWatch","Amazon S3|AWS Lambda|Amazon S3","S3 event notifications can be filtered by prefix and suffix to trigger Lambda only for specific object key patterns.","Use different S3 prefixes (e.g., uploads/ and thumbnails/) or a separate bucket to prevent recursive invocation loops.","Amazon S3 sends an event notification when a new image is uploaded to the uploads/ prefix, triggering the Lambda function. AWS Lambda processes the image, generates the thumbnail, and writes it back to Amazon S3 under a different prefix (thumbnails/) or a separate bucket. The S3 event notification is configured with a prefix filter on uploads/ only, so the thumbnail write to thumbnails/ does not re-trigger the function, preventing the infinite recursion loop."
