"examCode","Category","Term","Definition"
"DEA-C01","Data Ingestion and Transformation","AWS Glue","A fully managed serverless ETL (Extract, Transform, Load) service that discovers, catalogs, cleans, transforms, and moves data between data stores — supporting Python/Scala Spark jobs, streaming ETL, and visual job authoring."
"DEA-C01","Data Ingestion and Transformation","AWS Glue Data Catalog","A centralized metadata repository that stores table definitions, schema information, and partition metadata for data stored in S3, RDS, Redshift, and other sources — serving as the Hive-compatible metastore for Athena, Redshift Spectrum, and EMR."
"DEA-C01","Data Ingestion and Transformation","AWS Glue Crawlers","Automated programs that scan data stores (S3, JDBC databases) to infer schema, detect partitions, and populate the Glue Data Catalog with table definitions — running on-demand or on a schedule."
"DEA-C01","Data Ingestion and Transformation","AWS Glue ETL Jobs","Serverless Spark-based jobs that extract data from sources, apply transformations (mapping, filtering, joining, aggregating), and load results to targets — authored visually (Studio), via script, or with Glue DataBrew."
"DEA-C01","Data Ingestion and Transformation","AWS Glue Job Bookmarks","A feature that tracks previously processed data so Glue ETL jobs only process new or changed data on subsequent runs — preventing duplicate processing and enabling incremental ETL patterns."
"DEA-C01","Data Ingestion and Transformation","AWS Glue DataBrew","A visual data preparation tool that enables data analysts and scientists to clean, normalize, and transform data using 250+ pre-built transformations — without writing code, with built-in data quality profiling."
"DEA-C01","Data Ingestion and Transformation","AWS Glue Schema Registry","A serverless feature that validates and controls the evolution of streaming data schemas — supporting Avro, JSON Schema, and Protobuf formats, integrated with Kinesis Data Streams, MSK, and Glue ETL."
"DEA-C01","Data Ingestion and Transformation","AWS Glue Streaming ETL","Glue jobs that continuously consume and process streaming data from Kinesis Data Streams or Apache Kafka (MSK) — applying transformations in micro-batches and writing results to S3, Redshift, or other targets."
"DEA-C01","Data Ingestion and Transformation","Amazon Kinesis Data Streams","A real-time data streaming service that captures and processes hundreds of thousands of records per second — data is stored in shards for 24 hours (up to 365 days), consumed by multiple applications simultaneously."
"DEA-C01","Data Ingestion and Transformation","Kinesis Data Streams - Shards","The base throughput unit of a Kinesis stream — each shard provides 1 MB/sec input and 2 MB/sec output. Capacity is scaled by adding/removing shards (resharding), and on-demand mode auto-scales."
"DEA-C01","Data Ingestion and Transformation","Kinesis Data Streams - Partition Key","A value used to determine which shard a data record is routed to — records with the same partition key go to the same shard, enabling ordered processing per key. Poor key distribution causes hot shards."
"DEA-C01","Data Ingestion and Transformation","Amazon Kinesis Data Firehose","A fully managed service that loads streaming data into destinations (S3, Redshift, OpenSearch, Splunk, HTTP endpoints) — with automatic batching, compression, encryption, and optional Lambda transformation, requiring zero administration."
"DEA-C01","Data Ingestion and Transformation","Kinesis Data Firehose - Buffering","Firehose buffers incoming data before delivering to destinations — configurable by size (1-128 MB) and time (60-900 seconds), whichever condition is met first triggers delivery. Smaller buffers = lower latency, larger = fewer files."
"DEA-C01","Data Ingestion and Transformation","Amazon Managed Streaming for Apache Kafka (MSK)","A fully managed Apache Kafka service for building real-time streaming data pipelines — managing broker provisioning, patching, and cluster operations while you focus on producing and consuming data."
"DEA-C01","Data Ingestion and Transformation","MSK Serverless","A serverless mode of Amazon MSK that automatically provisions and scales Kafka cluster capacity — eliminating the need to manage broker count, storage, or partitions, with pay-per-use pricing."
"DEA-C01","Data Ingestion and Transformation","MSK Connect","A feature that enables you to deploy fully managed Kafka Connect connectors to stream data to and from Apache Kafka clusters — supporting hundreds of pre-built connectors for databases, S3, OpenSearch, and more."
"DEA-C01","Data Ingestion and Transformation","AWS Database Migration Service (DMS)","A managed service that migrates databases to AWS with minimal downtime — supporting homogeneous (Oracle→Oracle) and heterogeneous (Oracle→PostgreSQL) migrations, with continuous data replication (CDC) for ongoing sync."
"DEA-C01","Data Ingestion and Transformation","DMS - Change Data Capture (CDC)","A DMS feature that continuously replicates ongoing changes (inserts, updates, deletes) from source to target databases after the initial full load — enabling near-real-time data synchronization with minimal source impact."
"DEA-C01","Data Ingestion and Transformation","AWS Schema Conversion Tool (SCT)","A tool that converts source database schemas, stored procedures, and application code to a format compatible with the target database — used with DMS for heterogeneous migrations (e.g., Oracle to PostgreSQL)."
"DEA-C01","Data Ingestion and Transformation","Amazon AppFlow","A fully managed integration service that transfers data between SaaS applications (Salesforce, SAP, Slack, ServiceNow) and AWS services (S3, Redshift) — with built-in data transformations, filtering, and validation."
"DEA-C01","Data Ingestion and Transformation","AWS Transfer Family","A fully managed service for SFTP, FTPS, and FTP file transfers directly into and out of S3 or EFS — enabling legacy file-transfer workflows to use cloud storage without modifying existing client applications."
"DEA-C01","Data Ingestion and Transformation","AWS DataSync","A data transfer service that automates moving data between on-premises storage and AWS (S3, EFS, FSx) — supporting scheduled transfers, bandwidth throttling, data integrity verification, and encryption in transit."
"DEA-C01","Data Ingestion and Transformation","Amazon EventBridge","A serverless event bus that receives events from AWS services, SaaS applications, and custom sources — routing events to targets (Lambda, Step Functions, Kinesis) based on rules and patterns for event-driven architectures."
"DEA-C01","Data Store Management","Amazon S3 (Simple Storage Service)","An object storage service offering virtually unlimited scalability, 99.999999999% (11 nines) durability, and multiple storage classes — the foundation for data lakes, serving as the central repository for structured, semi-structured, and unstructured data."
"DEA-C01","Data Store Management","S3 Storage Classes","Tiered storage options optimized for different access patterns — Standard (frequent access), Intelligent-Tiering (auto-tiering), Standard-IA (infrequent), One Zone-IA (single AZ), Glacier Instant/Flexible/Deep Archive (archival) — each with different cost and retrieval characteristics."
"DEA-C01","Data Store Management","S3 Lifecycle Policies","Rules that automatically transition objects between storage classes or expire (delete) them based on age — enabling cost optimization by moving aging data from Standard to IA to Glacier to deletion over time."
"DEA-C01","Data Store Management","S3 Versioning","A feature that keeps multiple variants of an object in the same bucket — protecting against accidental deletions and overwrites, enabling rollback to previous versions, and required for cross-region replication."
"DEA-C01","Data Store Management","S3 Object Lock","A feature that enforces write-once-read-many (WORM) protection — Governance mode (privileged users can override) and Compliance mode (no one can delete, including root) with configurable retention periods for regulatory compliance."
"DEA-C01","Data Store Management","S3 Encryption","Server-side encryption options — SSE-S3 (Amazon-managed keys), SSE-KMS (AWS KMS-managed keys with audit trail), SSE-C (customer-provided keys), and client-side encryption (encrypt before upload). Default encryption can be set at bucket level."
"DEA-C01","Data Store Management","S3 Select and Glacier Select","Features that use SQL expressions to retrieve only a subset of data from an object — filtering rows and columns at the storage layer before returning results, reducing data transfer and improving query performance."
"DEA-C01","Data Store Management","S3 Event Notifications","Automated triggers when objects are created, deleted, or modified in S3 — sending events to Lambda, SQS, SNS, or EventBridge to initiate downstream processing pipelines."
"DEA-C01","Data Store Management","Data Lake","A centralized repository (typically S3) that stores structured, semi-structured, and unstructured data at any scale in its raw format — enabling diverse analytics (SQL queries, ML, real-time) without upfront schema definition."
"DEA-C01","Data Store Management","AWS Lake Formation","A service that simplifies building, securing, and managing data lakes — providing centralized permissions (fine-grained access control at column/row/cell level), data cataloging, ETL job creation, and cross-account data sharing."
"DEA-C01","Data Store Management","Lake Formation Permissions","A centralized permission model that replaces complex IAM and S3 bucket policies — granting table, column, row, and cell-level access to databases and tables in the Data Catalog using a simple grant/revoke interface."
"DEA-C01","Data Store Management","Amazon Redshift","A fully managed petabyte-scale cloud data warehouse using columnar storage and massively parallel processing (MPP) — optimized for complex analytical queries across large datasets with automatic tuning and concurrency scaling."
"DEA-C01","Data Store Management","Redshift Spectrum","A Redshift feature that queries data directly in S3 without loading it into Redshift tables — using external tables defined in the Glue Data Catalog, enabling queries that join Redshift data with S3 data lake data."
"DEA-C01","Data Store Management","Redshift Serverless","A serverless option for Amazon Redshift that automatically provisions and scales data warehouse capacity — eliminating cluster management while providing the same SQL analytics capabilities with pay-per-use pricing."
"DEA-C01","Data Store Management","Redshift - Distribution Styles","Strategies for distributing table data across nodes — KEY (rows with same key on same node for join optimization), EVEN (round-robin), ALL (full copy on every node for small dimension tables), and AUTO (Redshift chooses)."
"DEA-C01","Data Store Management","Redshift - Sort Keys","Columns that determine the physical order of data on disk — compound sort keys (ordered by column sequence) and interleaved sort keys (equal weight to each column). Proper sort keys dramatically improve query performance by enabling zone map filtering."
"DEA-C01","Data Store Management","Redshift - Concurrency Scaling","A feature that automatically adds transient cluster capacity when queries are queued — providing consistent query performance during peak demand by routing queries to scaling clusters, with one hour of free credits per day."
"DEA-C01","Data Store Management","Redshift - Materialized Views","Pre-computed result sets stored in Redshift that automatically refresh when base tables change — accelerating repeated complex queries (dashboards, reports) by returning cached results instead of re-executing the full query."
"DEA-C01","Data Store Management","Amazon DynamoDB","A fully managed serverless NoSQL key-value and document database — providing single-digit millisecond performance at any scale, with automatic scaling, built-in security, backup/restore, and global tables for multi-region replication."
"DEA-C01","Data Store Management","DynamoDB - Partition Key and Sort Key","The primary key structure — partition key (hash key) determines data distribution across partitions, and optional sort key (range key) enables range queries and ordering within a partition. Together they uniquely identify each item."
"DEA-C01","Data Store Management","DynamoDB Streams","An ordered flow of item-level change records (insert, update, delete) from a DynamoDB table — enabling event-driven architectures, cross-region replication, and real-time analytics by triggering Lambda functions on data changes."
"DEA-C01","Data Store Management","DynamoDB - Global Secondary Index (GSI)","An index with a different partition key and optional sort key from the base table — enabling queries on non-primary-key attributes with its own provisioned throughput, eventually consistent reads, and projected attributes."
"DEA-C01","Data Store Management","Amazon RDS (Relational Database Service)","A managed service for relational databases (MySQL, PostgreSQL, MariaDB, Oracle, SQL Server) — handling provisioning, patching, backups, and failover while you manage the schema, queries, and application logic."
"DEA-C01","Data Store Management","Amazon Aurora","A MySQL/PostgreSQL-compatible relational database with up to 5x MySQL and 3x PostgreSQL performance — featuring auto-scaling storage (up to 128 TB), 15 read replicas, multi-AZ by default, and Aurora Serverless for variable workloads."
"DEA-C01","Data Operations and Support","Data Pipeline Orchestration","The process of coordinating and scheduling the execution of data processing tasks in the correct order — managing dependencies, retries, error handling, and monitoring across complex multi-step data workflows."
"DEA-C01","Data Operations and Support","AWS Step Functions","A serverless orchestration service that coordinates multiple AWS services into workflows using visual state machines — supporting sequential, parallel, branching, and error-handling patterns for data pipeline orchestration."
"DEA-C01","Data Operations and Support","Amazon Managed Workflows for Apache Airflow (MWAA)","A managed service for Apache Airflow that orchestrates complex data pipelines using Python DAGs (Directed Acyclic Graphs) — scheduling, monitoring, and managing dependencies across ETL jobs, queries, and ML workflows."
"DEA-C01","Data Operations and Support","AWS Glue Workflows","A Glue feature that orchestrates multiple crawlers, jobs, and triggers into a single workflow — defining execution dependencies, parallel execution, and conditional logic for end-to-end ETL pipeline automation."
"DEA-C01","Data Operations and Support","AWS Glue Triggers","Components that start Glue ETL jobs and crawlers — supporting scheduled triggers (cron), on-demand triggers (manual/API), and conditional triggers (start when another job succeeds/fails) for pipeline automation."
"DEA-C01","Data Operations and Support","Amazon CloudWatch","A monitoring and observability service that collects metrics, logs, and events from AWS resources — providing dashboards, alarms, anomaly detection, and automated actions for data pipeline monitoring and alerting."
"DEA-C01","Data Operations and Support","CloudWatch Alarms","Automated alerts triggered when metrics cross defined thresholds — supporting static thresholds, anomaly detection bands, composite alarms (combining multiple alarms), and actions (SNS notifications, Auto Scaling, Lambda)."
"DEA-C01","Data Operations and Support","AWS CloudTrail","A governance and audit service that records all API calls made in your AWS account — providing a complete history of who did what, when, and from where for compliance auditing and security analysis."
"DEA-C01","Data Operations and Support","Amazon SNS (Simple Notification Service)","A fully managed pub/sub messaging service for sending notifications — supporting email, SMS, HTTP/HTTPS, SQS, and Lambda subscribers for alerting on data pipeline failures, completions, and anomalies."
"DEA-C01","Data Operations and Support","Amazon SQS (Simple Queue Service)","A fully managed message queuing service that decouples and buffers data between pipeline components — supporting standard queues (best-effort ordering, at-least-once delivery) and FIFO queues (exactly-once, ordered processing)."
"DEA-C01","Data Operations and Support","Data Quality","The practice of ensuring data is accurate, complete, consistent, timely, and valid — measured through profiling, validation rules, and monitoring, with AWS Glue Data Quality providing automated rule-based quality checks."
"DEA-C01","Data Operations and Support","AWS Glue Data Quality","A Glue feature that automatically recommends and evaluates data quality rules — checking completeness, uniqueness, accuracy, and custom conditions, with results published to CloudWatch and integrated into ETL workflows."
"DEA-C01","Data Operations and Support","Data Lineage","The ability to track data from its origin through all transformations to its final destination — understanding where data came from, how it was transformed, and where it is consumed for debugging, compliance, and impact analysis."
"DEA-C01","Data Operations and Support","Infrastructure as Code (IaC)","The practice of managing and provisioning data infrastructure through code rather than manual processes — using AWS CloudFormation or AWS CDK to version-control, replicate, and automate data pipeline deployments."
"DEA-C01","Data Operations and Support","AWS CloudFormation","An IaC service that provisions AWS resources using declarative JSON/YAML templates — enabling repeatable, version-controlled deployment of entire data pipeline stacks (Glue jobs, Redshift clusters, S3 buckets, IAM roles)."
"DEA-C01","Data Operations and Support","CI/CD for Data Pipelines","Continuous Integration and Continuous Deployment practices applied to data engineering — automating testing, validation, and deployment of ETL code, schema changes, and pipeline configurations using CodePipeline and CodeBuild."
"DEA-C01","Data Operations and Support","Idempotency in Data Pipelines","The property that running a pipeline multiple times with the same input produces the same result — critical for retry logic and failure recovery, achieved through techniques like UPSERT operations, deduplication, and checkpoint tracking."
"DEA-C01","Data Operations and Support","Backfilling","The process of retroactively processing historical data through a pipeline — required when adding new transformations, fixing bugs, or onboarding new data consumers who need access to historical processed data."
"DEA-C01","Data Security and Governance","AWS Identity and Access Management (IAM)","The service that controls authentication and authorization for AWS resources — using users, groups, roles, and policies to define who can access which data resources and what actions they can perform."
"DEA-C01","Data Security and Governance","IAM Roles for Data Services","IAM roles assumed by AWS services (Glue, Redshift, EMR) to access data — following least-privilege principles by granting only the specific S3, KMS, and Glue Catalog permissions each service needs."
"DEA-C01","Data Security and Governance","AWS KMS (Key Management Service)","A managed service for creating and controlling encryption keys — used to encrypt data at rest in S3, Redshift, DynamoDB, RDS, and Glue, with key policies controlling who can use and manage each key."
"DEA-C01","Data Security and Governance","Encryption at Rest","Protecting stored data by encrypting it on disk — S3 (SSE-S3, SSE-KMS, SSE-C), Redshift (KMS or HSM), DynamoDB (AWS-owned or customer-managed KMS keys), RDS (KMS), and Glue (KMS for Data Catalog and job outputs)."
"DEA-C01","Data Security and Governance","Encryption in Transit","Protecting data as it moves between services — using TLS/SSL for all AWS API calls, HTTPS for S3 access, SSL for database connections, and VPC endpoints to keep traffic on the AWS private network."
"DEA-C01","Data Security and Governance","S3 Bucket Policies","Resource-based JSON policies attached to S3 buckets that control access — specifying which principals (users, accounts, services) can perform which actions on which objects, supporting cross-account access and conditional restrictions."
"DEA-C01","Data Security and Governance","S3 Access Points","Named network endpoints with dedicated access policies attached to S3 buckets — simplifying data access management for shared datasets by creating application-specific entry points with tailored permissions."
"DEA-C01","Data Security and Governance","VPC Endpoints for Data Services","Interface and gateway endpoints that enable private connectivity to AWS data services (S3, DynamoDB, Glue, Redshift, Kinesis) without internet access — keeping data traffic within the AWS network."
"DEA-C01","Data Security and Governance","Amazon Macie","A data security service that uses ML to automatically discover, classify, and protect sensitive data (PII, financial data, credentials) stored in S3 — providing alerts and detailed findings for data privacy compliance."
