"examCode","scenarioDescription","toolboxServices","correctPipelineOrder","hint","hint2","explanation"
"ANS-C01","A multinational corporation needs to connect their on-premises data center to AWS with a dedicated, private 10 Gbps connection. They require consistent low-latency performance for a mission-critical SAP application and need a backup path that fails over automatically if the primary connection goes down.","AWS Direct Connect|AWS Site-to-Site VPN|AWS Transit Gateway|Amazon VPC|AWS Global Accelerator|AWS PrivateLink|Amazon CloudFront","AWS Direct Connect|AWS Site-to-Site VPN|AWS Transit Gateway","The primary connection requires a dedicated physical circuit, not an internet-based tunnel.","The backup path uses an encrypted tunnel over the public internet as a cost-effective failover option.","AWS Direct Connect provides the dedicated 10 Gbps private connection with consistent low latency for the SAP workload. AWS Site-to-Site VPN serves as the backup failover path over the public internet, providing encrypted connectivity if the Direct Connect link fails. AWS Transit Gateway acts as the central hub that routes traffic between the on-premises network and multiple VPCs, enabling automatic failover between the Direct Connect and VPN paths using BGP route propagation."
"ANS-C01","A SaaS company needs to expose their internal REST API to hundreds of enterprise customers without traversing the public internet. Each customer has their own AWS account and VPC, and the SaaS provider wants to maintain control over which customers can access the service.","AWS PrivateLink|VPC Peering|AWS Transit Gateway|Network Load Balancer|Application Load Balancer|Amazon API Gateway|AWS Direct Connect","Network Load Balancer|AWS PrivateLink","The service provider must front their application with a specific type of load balancer before creating the endpoint service.","This AWS service creates private connectivity between VPCs without requiring peering, VPN, or Direct Connect.","A Network Load Balancer is required as the front end for the SaaS application because AWS PrivateLink endpoint services only support NLB (not ALB). AWS PrivateLink then creates VPC endpoint services that customers connect to via interface VPC endpoints in their own accounts, keeping all traffic on the AWS private network without traversing the public internet. The provider controls access by managing endpoint connection acceptance and permissions policies."
"ANS-C01","A gaming company needs to route players to the nearest AWS Region for their multiplayer servers. Players connect over UDP, and the company needs to minimize jitter and packet loss while providing static IP addresses that can be allowlisted by corporate firewalls.","AWS Global Accelerator|Amazon CloudFront|Amazon Route 53|Network Load Balancer|Application Load Balancer|Elastic Load Balancing|AWS WAF","AWS Global Accelerator|Network Load Balancer","This service provides two static anycast IP addresses and routes traffic over the AWS global network backbone.","The gaming servers use UDP, so the load balancer must support Layer 4 protocols, not just HTTP/HTTPS.","AWS Global Accelerator provides two static anycast IP addresses and routes player traffic onto the AWS global network at the nearest edge location, minimizing jitter and packet loss by avoiding unpredictable public internet routing. Network Load Balancer is the correct backend target because it supports UDP traffic at Layer 4, which is essential for multiplayer gaming protocols. CloudFront would be wrong here because it only supports HTTP/HTTPS and does not handle UDP traffic."
"ANS-C01","A financial services company has 200 VPCs across 4 AWS Regions that all need to communicate with each other and with 3 on-premises data centers. They need centralized routing, network segmentation between production and development environments, and the ability to inspect all inter-VPC traffic with a third-party firewall appliance.","AWS Transit Gateway|VPC Peering|AWS Direct Connect Gateway|AWS Network Firewall|Transit Gateway Inter-Region Peering|AWS PrivateLink|Amazon VPC","AWS Direct Connect Gateway|AWS Transit Gateway|Transit Gateway Inter-Region Peering|AWS Network Firewall","On-premises data centers connect to AWS through a gateway that associates with Transit Gateways across multiple Regions.","Transit Gateway route tables enable network segmentation, and inter-Region peering extends connectivity globally.","AWS Direct Connect Gateway connects the 3 on-premises data centers to Transit Gateways across all 4 Regions. AWS Transit Gateway in each Region acts as the central hub for all VPCs, using separate route tables to segment production and development traffic. Transit Gateway Inter-Region Peering connects the Transit Gateways across Regions, and AWS Network Firewall inspects all inter-VPC traffic by routing it through a centralized inspection VPC."
"ANS-C01","A media company needs to deliver live video streaming content to millions of global viewers with ultra-low latency. They also need to protect the origin servers from DDoS attacks and ensure only authenticated users can access premium content streams.","Amazon CloudFront|AWS Shield Advanced|AWS WAF|Amazon S3|AWS Global Accelerator|Amazon Route 53|Elastic Load Balancing","Amazon Route 53|Amazon CloudFront|AWS WAF|AWS Shield Advanced","DNS resolution is always the first step when a viewer types in the streaming URL.","The CDN service supports real-time streaming and can be paired with signed URLs for authenticated access.","Amazon Route 53 resolves the streaming domain to CloudFront edge locations using latency-based routing. Amazon CloudFront delivers the live video streams from edge locations closest to viewers, supporting real-time streaming protocols and signed URLs/cookies for premium content authentication. AWS WAF filters malicious requests at the edge with custom rules, and AWS Shield Advanced provides managed DDoS protection with 24/7 DDoS Response Team support for the entire delivery pipeline."
"ANS-C01","A healthcare organization needs to resolve DNS queries for their private hosted zone from on-premises servers. The on-premises DNS infrastructure must be able to forward queries for AWS-hosted domains to Route 53, and AWS resources must also resolve on-premises domain names.","Amazon Route 53 Resolver|Route 53 Resolver Inbound Endpoint|Route 53 Resolver Outbound Endpoint|Amazon Route 53|AWS Direct Connect|AWS Site-to-Site VPN|AWS Transit Gateway","AWS Direct Connect|Route 53 Resolver Inbound Endpoint|Route 53 Resolver Outbound Endpoint","A private network connection must exist between on-premises and AWS before any DNS resolution can occur.","Inbound endpoints receive DNS queries FROM on-premises; outbound endpoints send DNS queries TO on-premises.","AWS Direct Connect provides the private network path between on-premises and AWS, which is required for DNS traffic to flow. Route 53 Resolver Inbound Endpoint receives DNS queries from on-premises DNS servers and resolves them against Route 53 private hosted zones. Route 53 Resolver Outbound Endpoint forwards DNS queries from AWS resources to on-premises DNS servers using conditional forwarding rules, completing the bidirectional hybrid DNS architecture."
"ANS-C01","A retail company wants to migrate from a traditional three-tier web architecture to a microservices model. Each microservice runs in its own VPC and needs to communicate privately. They need service discovery so microservices can find each other by name without hardcoding IP addresses.","AWS Cloud Map|Amazon Route 53|VPC Peering|AWS PrivateLink|AWS App Mesh|Amazon ECS|AWS Transit Gateway","VPC Peering|AWS Cloud Map|AWS App Mesh","Before services can discover each other, the VPCs they live in must have network-level connectivity.","A managed service registry allows microservices to register and discover each other using DNS or API-based lookups.","VPC Peering establishes private network connectivity between the microservice VPCs so traffic can flow between them. AWS Cloud Map provides service discovery, allowing each microservice to register itself and be discovered by name through DNS or API queries without hardcoding IP addresses. AWS App Mesh provides the service mesh layer that manages traffic routing, observability, and resilience between microservices using Envoy proxies."
"ANS-C01","A government agency requires that all traffic between their VPC subnets be inspected by a stateful firewall for compliance. They need to log all accepted and rejected traffic flows, detect intrusion attempts, and automatically block traffic matching known threat signatures.","AWS Network Firewall|Security Groups|Network ACLs|VPC Flow Logs|Amazon GuardDuty|AWS WAF|Amazon Inspector","VPC Flow Logs|AWS Network Firewall|Amazon GuardDuty","First, enable comprehensive logging of all network traffic metadata across all subnets.","The managed firewall service supports stateful inspection, IDS/IPS, and Suricata-compatible rule groups.","VPC Flow Logs capture metadata for all accepted and rejected traffic flows across subnets, providing the compliance audit trail. AWS Network Firewall performs stateful deep packet inspection between subnets using Suricata-compatible rules for intrusion detection/prevention and automatically blocks traffic matching known threat signatures. Amazon GuardDuty continuously analyzes VPC Flow Logs and other data sources using ML to detect anomalous network behavior and potential threats that rule-based inspection might miss."
"ANS-C01","A company is deploying a multi-account AWS organization with 50 accounts. They need all accounts to share a common set of subnets for cost efficiency, while maintaining account-level isolation for security. Each account should be able to launch resources into shared subnets without managing their own VPC infrastructure.","AWS Resource Access Manager|AWS Transit Gateway|VPC Peering|AWS Organizations|Amazon VPC|AWS PrivateLink|AWS Control Tower","AWS Organizations|Amazon VPC|AWS Resource Access Manager","Multi-account governance must be established before any resource sharing can occur.","A specific AWS service allows you to share VPC subnets across accounts within an Organization.","AWS Organizations provides the multi-account structure and organizational units needed for governance. Amazon VPC is created in a central networking account with the shared subnets designed for cross-account use. AWS Resource Access Manager (RAM) shares those VPC subnets with participant accounts across the Organization, allowing each account to launch resources into shared subnets while maintaining account-level isolation — this is the AWS VPC Sharing pattern."
"ANS-C01","An e-commerce company needs to implement IPv6 for their public-facing web application while maintaining backward compatibility with IPv4 clients. Internal backend services should remain IPv4-only, and the architecture must handle the translation between IPv6 external traffic and IPv4 internal traffic.","Application Load Balancer|Network Load Balancer|NAT Gateway|Elastic IP|Amazon CloudFront|Amazon VPC (dual-stack)|AWS Global Accelerator","Amazon CloudFront|Application Load Balancer|NAT Gateway","The CDN edge layer can accept both IPv4 and IPv6 connections from clients natively.","The load balancer in dual-stack mode translates IPv6 traffic to IPv4 for backend targets.","Amazon CloudFront natively supports dual-stack (IPv4 and IPv6), accepting connections from all client types at the edge. The Application Load Balancer operates in dual-stack mode, receiving IPv6 traffic from CloudFront and translating it to IPv4 when forwarding to backend targets that remain IPv4-only. NAT Gateway provides outbound internet access for the private IPv4 backend services that need to reach external APIs or download updates."
