"examCode","scenarioDescription","toolboxServices","correctPipelineOrder","hint","hint2","explanation"
"DEA-C01","A retail company streams clickstream data from their website at 500,000 events per second. They need to ingest this data in real-time, transform it by enriching each event with product category lookups, and load the processed data into a data warehouse for hourly business intelligence reporting.","Amazon Kinesis Data Streams|Amazon Kinesis Data Firehose|AWS Glue|Amazon Redshift|Amazon DynamoDB|Amazon EMR|Amazon S3","Amazon Kinesis Data Streams|AWS Lambda|Amazon Kinesis Data Firehose|Amazon Redshift","High-volume real-time event ingestion at this scale requires a streaming service with configurable shard capacity.","After transformation, a delivery stream can batch and load data directly into the data warehouse without custom code.","Amazon Kinesis Data Streams ingests the high-volume clickstream data with configurable shards to handle 500K events/sec. AWS Lambda performs inline transformation to enrich events with product category lookups. Amazon Kinesis Data Firehose buffers the transformed records and delivers them in batches directly to Amazon Redshift, which serves as the data warehouse for hourly BI reporting."
"DEA-C01","A healthcare company receives thousands of CSV and JSON files daily from hospital partners into an S3 data lake. They need to automatically discover the schema of new files, catalog them with metadata, and make the data queryable using standard SQL without loading it into a database.","AWS Glue Crawler|AWS Glue Data Catalog|Amazon Athena|Amazon Redshift|Amazon RDS|AWS Lake Formation|Amazon EMR","Amazon S3|AWS Glue Crawler|AWS Glue Data Catalog|Amazon Athena","An automated crawler can scan files in S3 and infer their schema without any manual configuration.","After cataloging, a serverless query engine lets you run SQL directly against S3 data without loading it anywhere.","Files land in Amazon S3 as the data lake storage layer. AWS Glue Crawler automatically scans the new CSV and JSON files, infers their schemas, and registers table definitions in the AWS Glue Data Catalog as the central metadata repository. Amazon Athena then queries the cataloged data directly in S3 using standard SQL — no data loading or database provisioning required, making it the ideal serverless query-in-place solution."
"DEA-C01","A financial services firm needs to build a nightly batch ETL pipeline that extracts transaction data from an Amazon RDS PostgreSQL database, applies complex transformations including deduplication, currency conversion, and aggregation, then loads the results into Amazon Redshift for analyst consumption.","AWS Glue ETL|AWS Glue Data Catalog|Amazon Redshift|AWS Step Functions|Amazon EMR|AWS Lambda|Amazon Kinesis","Amazon RDS|AWS Glue ETL|Amazon Redshift","AWS offers a fully managed, serverless ETL service that natively connects to JDBC sources like PostgreSQL.","The ETL service uses Apache Spark under the hood and supports PySpark scripts for complex transformations.","Data is extracted from Amazon RDS PostgreSQL using AWS Glue ETL's native JDBC connectivity. AWS Glue ETL runs serverless Apache Spark jobs that perform the complex transformations — deduplication via groupBy operations, currency conversion through mapping functions, and aggregations — all without managing infrastructure. The transformed data is loaded directly into Amazon Redshift using Glue's built-in Redshift connector for analyst consumption."
"DEA-C01","A media company wants to build a governed data lake where different departments (marketing, finance, engineering) can only access the specific tables and columns they are authorized to see. They need centralized permission management, column-level security, and automatic data encryption.","AWS Lake Formation|Amazon S3|AWS Glue Data Catalog|AWS IAM|Amazon Macie|Amazon Redshift|AWS KMS","Amazon S3|AWS Lake Formation|AWS Glue Data Catalog","A purpose-built data lake governance service provides fine-grained access control beyond what IAM policies alone can achieve.","This service manages table-level and column-level permissions centrally, replacing complex S3 bucket policies.","Amazon S3 stores the raw data lake files as the storage foundation. AWS Lake Formation provides centralized governance with fine-grained permissions including column-level security, row-level filtering, and automatic encryption — it simplifies access control that would otherwise require hundreds of complex IAM and S3 policies. The AWS Glue Data Catalog serves as the metadata layer that Lake Formation governs, enabling departments to discover only the tables and columns they are authorized to access."
"DEA-C01","An IoT company collects sensor readings from 100,000 factory devices. The data must be ingested in near-real-time, converted from JSON to Parquet format for cost-efficient querying, and stored in S3 partitioned by date. Analysts need to query the data within 15 minutes of arrival.","Amazon Kinesis Data Firehose|Amazon S3|Amazon Athena|AWS Glue|Amazon Kinesis Data Streams|Amazon Redshift|Amazon DynamoDB","Amazon Kinesis Data Firehose|Amazon S3|Amazon Athena","A managed delivery service can automatically convert JSON to Parquet and partition data by date during delivery to S3.","Firehose natively supports format conversion using the Glue Data Catalog schema without requiring a separate ETL job.","Amazon Kinesis Data Firehose ingests the sensor data in near-real-time and performs automatic format conversion from JSON to Parquet using the AWS Glue Data Catalog schema definition, while also applying dynamic partitioning by date during delivery. Data lands in Amazon S3 already in columnar Parquet format with date-based partitions, optimized for cost-efficient querying. Amazon Athena queries the partitioned Parquet data directly in S3 within the 15-minute SLA using partition pruning for fast performance."
"DEA-C01","A data engineering team needs to orchestrate a complex multi-step data pipeline: first run a Glue Crawler, then execute a Glue ETL job, then trigger a Redshift COPY command, and finally send a success notification. If any step fails, the entire pipeline should halt and alert the team.","AWS Step Functions|AWS Glue Workflow|Amazon EventBridge|AWS Lambda|Amazon SNS|Amazon SQS|Apache Airflow (MWAA)","AWS Step Functions|AWS Glue Crawler|AWS Glue ETL|Amazon Redshift|Amazon SNS","A serverless workflow orchestration service can coordinate multiple AWS services with built-in error handling and visual monitoring.","This service uses state machine definitions with native integrations for Glue, Redshift, and SNS — no custom code needed.","AWS Step Functions orchestrates the entire pipeline as a state machine with native service integrations — it triggers the Glue Crawler, waits for completion, then executes the Glue ETL job, followed by the Redshift COPY command via the Redshift Data API. Each step includes built-in error handling that halts the pipeline on failure. Amazon SNS sends the success or failure notification to the team, completing the observable, fault-tolerant orchestration pattern."
"DEA-C01","A company needs to migrate their on-premises Oracle data warehouse to Amazon Redshift. The initial dataset is 50 TB, and after the full migration, they need ongoing Change Data Capture (CDC) to keep Redshift synchronized with the Oracle source as transactions occur.","AWS Database Migration Service|AWS Schema Conversion Tool|Amazon Redshift|Amazon S3|AWS Glue|Amazon RDS|AWS DataSync","AWS Schema Conversion Tool|AWS Database Migration Service|Amazon S3|Amazon Redshift","Before migrating data, the Oracle schema (tables, views, stored procedures) must be converted to Redshift-compatible DDL.","DMS supports ongoing CDC replication that captures changes from Oracle redo logs and applies them continuously.","AWS Schema Conversion Tool first converts the Oracle schema objects (tables, views, procedures) to Amazon Redshift-compatible DDL. AWS Database Migration Service performs the full 50 TB initial load and then enables ongoing CDC replication by reading Oracle redo logs. Data stages through Amazon S3 as an intermediate landing zone before being loaded into Amazon Redshift using the COPY command, which is the most efficient bulk loading pattern for Redshift."
"DEA-C01","A data team needs to process 20 TB of raw log files stored in S3 using Apache Spark. They require full control over Spark cluster configuration, need to use custom Spark libraries, and want to run both batch and interactive Spark sessions with Jupyter notebooks.","Amazon EMR|AWS Glue ETL|Amazon Athena|Amazon Redshift|AWS Lambda|Amazon EC2|Amazon SageMaker","Amazon S3|Amazon EMR|Amazon S3","When you need full control over Spark cluster configuration and custom libraries, a managed Hadoop/Spark service is the right choice over serverless ETL.","This service supports EMR Notebooks (Jupyter) for interactive Spark sessions alongside batch job submissions.","Raw log files are read from Amazon S3 as the data lake source. Amazon EMR provides the fully managed Spark cluster with complete control over configuration, custom library installation, and both batch (spark-submit) and interactive (EMR Notebooks/Jupyter) processing modes — this level of control is not available in serverless Glue ETL. Processed results are written back to Amazon S3 in optimized formats for downstream consumption."
"DEA-C01","An e-commerce company needs to capture every change (insert, update, delete) made to their Amazon DynamoDB orders table and replicate those changes into an S3 data lake in near-real-time for analytics. The changes must maintain their chronological order.","Amazon DynamoDB Streams|AWS Lambda|Amazon Kinesis Data Firehose|Amazon S3|AWS Glue|Amazon Kinesis Data Streams|Amazon SQS","Amazon DynamoDB Streams|AWS Lambda|Amazon Kinesis Data Firehose|Amazon S3","DynamoDB has a built-in feature that captures an ordered log of every item-level change in the table.","A serverless function reads from the change stream and forwards records to a delivery service for S3 landing.","Amazon DynamoDB Streams captures every insert, update, and delete as an ordered, chronological stream of change records. AWS Lambda consumes the stream events, transforms them into the desired format, and pushes them to Amazon Kinesis Data Firehose. Firehose buffers and delivers the change records to Amazon S3 in batches, building the near-real-time data lake replica that maintains the chronological order of all DynamoDB changes."
"DEA-C01","A company stores 500 TB of historical data in S3 in CSV format. Analysts complain that Athena queries are extremely slow and expensive. The data engineering team needs to optimize the data format and organization to reduce query time by 90% and costs by 80% without changing the query engine.","AWS Glue ETL|Amazon S3|Amazon Athena|AWS Glue Data Catalog|Amazon Redshift|Amazon EMR|AWS Lambda","Amazon S3|AWS Glue ETL|Amazon S3|AWS Glue Data Catalog|Amazon Athena","Converting from row-based CSV to a columnar format like Parquet dramatically reduces the amount of data Athena must scan.","Partitioning the data by commonly filtered columns (like date) enables Athena to skip irrelevant data entirely.","The original CSV data in Amazon S3 is processed by AWS Glue ETL, which converts it to compressed Apache Parquet format (columnar, splittable) and writes it back to S3 with partition keys based on common query filters like date. The AWS Glue Data Catalog registers the new partitioned Parquet tables with their schema and partition metadata. Amazon Athena queries the optimized data, achieving ~90% faster performance through columnar pruning and partition elimination, and ~80% cost reduction because Athena charges per byte scanned."
