"examCode","scenarioDescription","toolboxServices","correctPipelineOrder","hint","hint2","explanation"
"AIF-C01","A healthcare company wants to build a chatbot that answers patient questions using their internal medical knowledge base documents. The system must retrieve relevant passages and generate natural language responses grounded in company-approved content.","Amazon Bedrock|Amazon Kendra|Amazon Lex|Amazon Comprehend|Amazon S3|Amazon Textract|Amazon OpenSearch Service","Amazon S3|Amazon Kendra|Amazon Bedrock","Think about where the documents need to be stored before they can be indexed and searched.","The final step should involve a foundation model that generates answers from retrieved context.","Documents are first stored in Amazon S3 as the durable object store. Amazon Kendra indexes those documents and performs intelligent retrieval of relevant passages (the Retrieval step in RAG). Amazon Bedrock then uses a foundation model to generate a natural language answer grounded in the retrieved passages, completing the Retrieval-Augmented Generation pattern."
"AIF-C01","A media company receives thousands of customer support emails daily in multiple languages. They need to automatically detect the language, extract sentiment and key phrases, and route negative emails to a priority queue for immediate human review.","Amazon Comprehend|Amazon Translate|Amazon SQS|Amazon Rekognition|AWS Lambda|Amazon Polly|Amazon SNS","Amazon Comprehend|AWS Lambda|Amazon SQS","Start with the AWS service that natively performs language detection, sentiment analysis, and key phrase extraction in a single API.","A serverless compute service is needed to evaluate the sentiment result and make a routing decision.","Amazon Comprehend is the correct first step because it can detect the dominant language, extract sentiment, and identify key phrases from text in a single service. AWS Lambda then processes the Comprehend output, applying business logic to evaluate whether the sentiment is negative. Negative emails are routed to Amazon SQS as a priority queue where human agents can pick them up for immediate review."
"AIF-C01","An e-commerce company wants to build a product recommendation engine. They have historical purchase data in CSV files and need to train a custom ML model, deploy it as a real-time endpoint, and monitor the model for data drift over time.","Amazon SageMaker|Amazon Personalize|Amazon S3|Amazon Bedrock|Amazon CloudWatch|AWS Glue|Amazon SageMaker Model Monitor","Amazon S3|Amazon SageMaker|Amazon SageMaker Model Monitor","The training data must first be stored in a location that SageMaker can access for training jobs.","After deployment, you need a purpose-built SageMaker capability to continuously check for data quality and drift.","Historical CSV data is first uploaded to Amazon S3, which serves as the data lake and the input source for ML training. Amazon SageMaker is then used to train, tune, and deploy the custom recommendation model as a real-time inference endpoint. Amazon SageMaker Model Monitor continuously evaluates the deployed endpoint for data drift, bias drift, and model quality degradation, alerting the team when retraining is needed."
"AIF-C01","A legal firm needs to digitize thousands of scanned contract PDFs, extract structured data such as party names, dates, and clause types, and then store the extracted information in a searchable database for compliance auditing.","Amazon Textract|Amazon Comprehend|Amazon DynamoDB|Amazon Rekognition|Amazon S3|Amazon Translate|Amazon Athena","Amazon S3|Amazon Textract|Amazon Comprehend|Amazon DynamoDB","Scanned documents must first be stored in object storage before any processing can begin.","After extracting raw text from images, you need an NLP service to identify specific entity types like names and dates.","Scanned PDFs are stored in Amazon S3 as the source repository. Amazon Textract performs OCR to extract raw text and structured form data from the scanned images. Amazon Comprehend then applies Named Entity Recognition (NER) to identify entities such as person names, dates, and organizations from the extracted text. Finally, the structured results are stored in Amazon DynamoDB, providing a fast, searchable NoSQL database for compliance queries."
"AIF-C01","A manufacturing company wants to detect defective products on their assembly line using camera images. They need to collect images, label them, train a custom image classification model, and deploy it for real-time inference at the edge.","Amazon Rekognition|Amazon SageMaker Ground Truth|Amazon SageMaker|AWS Panorama|Amazon S3|Amazon Bedrock|Amazon Lookout for Vision","Amazon S3|Amazon SageMaker Ground Truth|Amazon SageMaker|AWS Panorama","Raw images from the assembly line cameras need to be collected in a central storage location first.","Before training, images must be accurately labeled by human annotators using a managed labeling service.","Assembly line images are first collected and stored in Amazon S3. Amazon SageMaker Ground Truth is used to create a labeling job where human annotators classify each image as defective or non-defective, producing high-quality training labels. Amazon SageMaker then trains a custom image classification model using the labeled dataset. AWS Panorama deploys the trained model to edge devices at the factory, enabling real-time inference directly on the assembly line without sending data to the cloud."
"AIF-C01","A financial services firm wants to use a foundation model to summarize earnings call transcripts, but they need to ensure the model is fine-tuned on their proprietary financial terminology and that all data remains within their AWS account for regulatory compliance.","Amazon Bedrock|Amazon SageMaker JumpStart|Amazon S3|Amazon Comprehend|AWS Lambda|Amazon Kendra|Amazon SageMaker","Amazon S3|Amazon Bedrock","The proprietary training data must be stored securely in your AWS account before fine-tuning can begin.","Look for the fully managed service that lets you customize foundation models with your own data while keeping data private.","Proprietary earnings call transcripts are stored in Amazon S3 within the firm's own AWS account. Amazon Bedrock is then used to perform custom model fine-tuning (customization) on a foundation model using that proprietary data. Bedrock ensures that the training data is not shared with model providers and remains within the customer's account, satisfying regulatory compliance requirements. This is a two-step pipeline because Bedrock handles fine-tuning, hosting, and inference as a fully managed service."
"AIF-C01","A global news organization wants to automatically transcribe live broadcast audio into text, translate it into 10 different languages in near real-time, and publish the translated text to regional news feeds.","Amazon Transcribe|Amazon Translate|Amazon Polly|Amazon Kinesis Data Streams|Amazon Comprehend|AWS Lambda|Amazon SNS","Amazon Kinesis Data Streams|Amazon Transcribe|Amazon Translate|Amazon SNS","Live streaming audio data needs to be ingested and buffered by a real-time streaming service first.","After speech-to-text conversion, a dedicated translation service handles multi-language output.","Live broadcast audio is ingested through Amazon Kinesis Data Streams, which buffers the real-time audio stream for downstream processing. Amazon Transcribe converts the streaming audio into text using automatic speech recognition (ASR). Amazon Translate then translates the English transcript into 10 target languages in near real-time. Finally, Amazon SNS fans out the translated text to multiple regional news feed subscribers, enabling parallel delivery to all target regions."
"AIF-C01","A retail company wants to forecast product demand for the next 90 days using 3 years of historical sales data. They have no ML expertise on staff and need a fully managed, no-code solution that automatically selects the best forecasting algorithm.","Amazon Forecast|Amazon SageMaker|Amazon S3|Amazon QuickSight|Amazon Bedrock|AWS Glue|Amazon SageMaker Autopilot","Amazon S3|Amazon Forecast|Amazon QuickSight","Historical sales data in CSV format must be uploaded to a storage service that Amazon Forecast can read from.","After generating forecasts, a business intelligence tool can visualize the predicted demand trends.","Three years of historical sales data is uploaded to Amazon S3 in the required CSV format. Amazon Forecast is the correct choice over SageMaker because it is a fully managed, no-code time-series forecasting service that automatically evaluates multiple algorithms (like DeepAR+, ETS, and ARIMA) and selects the best one — perfect for teams without ML expertise. Amazon QuickSight then visualizes the forecast output, enabling business stakeholders to explore predicted demand through interactive dashboards."
"AIF-C01","A social media platform needs to automatically moderate user-uploaded images and videos for inappropriate content. Flagged content must be reviewed by a human moderator before removal, and all moderation decisions must be logged for audit purposes.","Amazon Rekognition|Amazon Comprehend|AWS Lambda|Amazon A2I (Augmented AI)|Amazon S3|Amazon DynamoDB|Amazon Bedrock","Amazon S3|Amazon Rekognition|Amazon A2I (Augmented AI)|Amazon DynamoDB","User-uploaded media files are first stored in a durable object store before any analysis begins.","When AI confidence is low, a human-in-the-loop service routes content to human reviewers.","User-uploaded images and videos are stored in Amazon S3. Amazon Rekognition Content Moderation analyzes the media to detect inappropriate content and returns confidence scores. Amazon A2I (Augmented AI) implements the human-in-the-loop workflow — when Rekognition's confidence falls below a defined threshold, the content is automatically routed to human moderators for review. All final moderation decisions (both automated and human) are logged in Amazon DynamoDB, providing a complete audit trail for compliance and governance."
"AIF-C01","An enterprise wants to build a generative AI application where users ask natural language questions about company data stored in multiple sources including wikis, SharePoint, and databases. The system must enforce existing access controls so users only see data they are authorized to access.","Amazon Bedrock|Amazon Kendra|Amazon Q Business|Amazon Comprehend|Amazon OpenSearch Service|AWS IAM Identity Center|Amazon Lex","AWS IAM Identity Center|Amazon Q Business","Before any data retrieval happens, user identity and access permissions must be established through a centralized identity service.","Look for the fully managed generative AI assistant that natively connects to enterprise data sources and respects document-level ACLs.","AWS IAM Identity Center authenticates users and establishes their identity and group memberships, which determine what data they can access. Amazon Q Business is the correct choice because it is a fully managed generative AI assistant purpose-built for enterprises — it natively connects to 40+ data sources (wikis, SharePoint, databases, etc.), automatically respects existing document-level access control lists (ACLs), and generates answers using RAG while ensuring users only see information they are authorized to view. This is preferred over a custom Bedrock+Kendra solution when existing ACL enforcement is a primary requirement."
