"examCode","Category","Term","Definition"
"ANS-C01","Network Design","Amazon VPC","A logically isolated virtual network in AWS where you launch resources — you define IP address ranges (CIDR blocks), subnets, route tables, internet gateways, and security controls for complete network isolation."
"ANS-C01","Network Design","CIDR (Classless Inter-Domain Routing)","A method for allocating IP addresses and routing — expressed as an IP address followed by a slash and prefix length (e.g., [IP_ADDRESS]), determining the size of the network and number of available host addresses."
"ANS-C01","Network Design","VPC CIDR Block","The IP address range assigned to a VPC — primary CIDR can be /16 to /28, and up to 5 secondary CIDRs can be added. CIDR blocks cannot overlap with peered VPCs or connected on-premises networks."
"ANS-C01","Network Design","Subnets","Subdivisions of a VPC's CIDR block mapped to a single Availability Zone — public subnets have routes to an Internet Gateway, while private subnets route through NAT Gateways or have no internet route."
"ANS-C01","Network Design","Availability Zone (AZ)","An isolated data center (or group of data centers) within an AWS Region — subnets are AZ-specific, and deploying across multiple AZs provides high availability and fault tolerance."
"ANS-C01","Network Design","Route Table","A set of rules (routes) that determine where network traffic is directed — each subnet is associated with one route table, and routes specify destination CIDR blocks and target gateways/endpoints."
"ANS-C01","Network Design","Internet Gateway (IGW)","A horizontally scaled, redundant VPC component that enables communication between instances in a VPC and the internet — attached to a VPC and referenced in route tables for public subnet routing."
"ANS-C01","Network Design","NAT Gateway","A managed, highly available network address translation service that enables instances in private subnets to initiate outbound internet connections while preventing unsolicited inbound connections from the internet."
"ANS-C01","Network Design","NAT Instance","An EC2 instance configured to perform NAT for private subnet instances — a legacy approach replaced by NAT Gateway, but still relevant for scenarios requiring custom routing, port forwarding, or bastion host functionality."
"ANS-C01","Network Design","Elastic IP Address (EIP)","A static, public IPv4 address that you can allocate and associate with instances or NAT Gateways — it persists until released and can be remapped between resources for failover scenarios."
"ANS-C01","Network Design","Elastic Network Interface (ENI)","A virtual network card attached to an instance in a VPC — each ENI has a primary private IP, optional secondary IPs, an Elastic IP, security groups, a MAC address, and a source/destination check flag."
"ANS-C01","Network Design","IPv6 in VPC","VPCs support dual-stack (IPv4 + IPv6) networking — IPv6 CIDR blocks are /56 for VPCs and /64 for subnets, all IPv6 addresses are globally unique and public, and Egress-Only Internet Gateways provide outbound-only IPv6 internet access."
"ANS-C01","Network Design","Egress-Only Internet Gateway","A VPC component that allows outbound IPv6 traffic from instances to the internet while preventing inbound IPv6 connections — the IPv6 equivalent of a NAT Gateway for IPv4."
"ANS-C01","Network Design","VPC Peering","A networking connection between two VPCs that enables routing traffic between them using private IP addresses — non-transitive (A↔B and B↔C does not mean A↔C), cannot have overlapping CIDRs, and works cross-account and cross-region."
"ANS-C01","Network Design","AWS Transit Gateway","A regional network hub that connects VPCs, VPN connections, and Direct Connect gateways through a central point — supporting transitive routing, route tables, multicast, and inter-region peering for simplified network architecture."
"ANS-C01","Network Design","Transit Gateway Route Table","A routing table associated with Transit Gateway attachments that controls traffic flow between connected networks — supports route propagation from VPCs and VPNs, and static routes for custom routing policies."
"ANS-C01","Network Design","Transit Gateway Peering","Inter-region connectivity between two Transit Gateways using AWS's private global network — enabling transitive routing across regions without VPN or Direct Connect, with static routes configured between peered TGWs."
"ANS-C01","Network Design","AWS PrivateLink","A technology that provides private connectivity between VPCs, AWS services, and on-premises networks without exposing traffic to the public internet — traffic flows through ENIs using interface VPC endpoints."
"ANS-C01","Network Design","VPC Endpoint (Gateway)","A VPC component that provides private access to S3 and DynamoDB through route table entries — traffic stays on the AWS network, no internet gateway or NAT required, and endpoint policies control access."
"ANS-C01","Network Design","VPC Endpoint (Interface)","An ENI-based endpoint powered by AWS PrivateLink that provides private connectivity to AWS services, SaaS applications, and your own services — uses private DNS and security groups for access control."
"ANS-C01","Network Design","VPC Endpoint Services","The ability to expose your own application (behind a Network Load Balancer) as a PrivateLink service that other AWS accounts can connect to via interface endpoints — enabling private, secure service sharing without VPC peering."
"ANS-C01","Network Design","Multi-VPC Architecture","Design patterns for organizing workloads across multiple VPCs — including shared services VPC, inspection VPC, egress VPC, and workload VPCs connected via Transit Gateway for centralized networking and security."
"ANS-C01","Network Design","VPC Sharing (RAM)","Using AWS Resource Access Manager to share subnets across accounts within an AWS Organization — enabling multiple accounts to launch resources into shared VPC subnets while maintaining separate account-level security boundaries."
"ANS-C01","Network Implementation","AWS Direct Connect","A dedicated private network connection from your on-premises data center to AWS — providing consistent network performance, reduced bandwidth costs, and private connectivity that bypasses the public internet."
"ANS-C01","Network Implementation","Direct Connect Gateway","A globally available resource that enables you to connect your Direct Connect connection to VPCs in any AWS Region (except China) — supporting multiple VPC associations and Transit Gateway associations."
"ANS-C01","Network Implementation","Direct Connect Virtual Interface (VIF)","A logical interface on a Direct Connect connection — Public VIF accesses AWS public services, Private VIF accesses a single VPC, and Transit VIF accesses VPCs through a Transit Gateway."
"ANS-C01","Network Implementation","Direct Connect - Public VIF","A virtual interface that provides access to all AWS public services (S3, DynamoDB, EC2 public endpoints) over a Direct Connect connection using public IP addresses and BGP public ASN."
"ANS-C01","Network Implementation","Direct Connect - Private VIF","A virtual interface that provides private connectivity to a single VPC (via Virtual Private Gateway) or multiple VPCs (via Direct Connect Gateway) using private IP addresses and BGP private ASN."
"ANS-C01","Network Implementation","Direct Connect - Transit VIF","A virtual interface that connects a Direct Connect connection to a Transit Gateway via a Direct Connect Gateway — enabling access to thousands of VPCs across multiple regions through a single VIF."
"ANS-C01","Network Implementation","Direct Connect - LAG (Link Aggregation Group)","A logical interface that bundles multiple Direct Connect connections (same bandwidth, same location) into a single managed connection using LACP — providing increased bandwidth and link redundancy."
"ANS-C01","Network Implementation","Direct Connect - Connection Types","Dedicated connections (1 Gbps, 10 Gbps, 100 Gbps) provide a physical port at a Direct Connect location. Hosted connections (50 Mbps to 10 Gbps) are provisioned by AWS Direct Connect Partners and share partner infrastructure."
"ANS-C01","Network Implementation","Direct Connect Resiliency Models","AWS recommends four resiliency tiers: Maximum (separate connections at separate locations), High (two connections at two locations), Development (single connection with VPN backup), and Critical (dual connections at dual locations with diverse providers)."
"ANS-C01","Network Implementation","Direct Connect + VPN (Encrypted)","Combining Direct Connect with an IPsec VPN tunnel over the same connection to achieve both private dedicated bandwidth and encryption in transit — the VPN runs over the Public VIF to encrypt traffic."
"ANS-C01","Network Implementation","MACsec on Direct Connect","IEEE 802.1AE MAC Security providing Layer 2 encryption on dedicated Direct Connect connections (10 Gbps and 100 Gbps) — encrypting data at the Ethernet frame level between your router and the AWS Direct Connect endpoint."
"ANS-C01","Network Implementation","AWS Site-to-Site VPN","An encrypted IPsec tunnel between your on-premises network and AWS VPC over the public internet — supporting two tunnels per connection for redundancy, BGP or static routing, and up to 1.25 Gbps per tunnel."
