"examCode","scenarioDescription","toolboxServices","correctPipelineOrder","hint","hint2","explanation"
"AIP-C01","A healthcare startup wants to build a virtual assistant that answers patient questions by searching their internal medical policy documents. The system must retrieve relevant passages from approved documents and generate grounded, natural language responses without hallucinating.","Amazon Bedrock|Amazon Kendra|Amazon Lex|Amazon Comprehend|Amazon S3|Amazon Textract|Amazon OpenSearch Service","Amazon S3|Amazon Kendra|Amazon Bedrock","Think about where the approved documents must be stored before any indexing or retrieval can happen.","The last step uses a foundation model to generate answers from the retrieved passages.","Documents are stored in Amazon S3 as the durable source of truth. Amazon Kendra indexes those documents and performs intelligent passage retrieval (the R in RAG). Amazon Bedrock then uses a foundation model to generate a grounded natural language answer from the retrieved context, completing the Retrieval-Augmented Generation pipeline."
"AIP-C01","An airline receives millions of customer feedback forms annually. They need to automatically detect the language of each submission, determine whether the sentiment is positive or negative, and route all negative feedback to a priority support queue for immediate human follow-up.","Amazon Comprehend|Amazon Translate|Amazon SQS|Amazon Rekognition|AWS Lambda|Amazon Polly|Amazon SNS","Amazon Comprehend|AWS Lambda|Amazon SQS","One AWS AI service can detect language, sentiment, and key phrases all in a single API call.","A serverless compute service applies business logic to decide which feedback gets priority routing.","Amazon Comprehend detects the dominant language and performs sentiment analysis on each feedback form in one step. AWS Lambda evaluates the Comprehend output and applies routing logic — if sentiment is negative, it forwards the message. Amazon SQS receives the negative feedback as a priority queue for human agents to process immediately."
"AIP-C01","A university wants to make 20 years of recorded lecture videos searchable by topic. They need to convert speech to text, identify the academic subjects discussed in each lecture, and allow professors to find specific content using natural language search queries.","Amazon Transcribe|Amazon Comprehend|Amazon Kendra|Amazon Rekognition|Amazon S3|Amazon Polly|Amazon Translate","Amazon S3|Amazon Transcribe|Amazon Comprehend|Amazon Kendra","Before any text analysis can begin, the audio in the video files must be converted to written transcripts.","After topic extraction, a managed intelligent search service enables natural language querying across all transcripts.","Lecture videos are stored in Amazon S3. Amazon Transcribe converts the audio tracks to text transcripts using ASR. Amazon Comprehend performs topic modeling and key phrase extraction to tag each transcript with academic subjects. Amazon Kendra indexes the enriched transcripts and provides an intelligent natural language search experience for professors."
"AIP-C01","A law firm needs to digitize 50,000 scanned legal contracts, extract structured information such as party names, effective dates, and termination clauses, and store the results in a searchable database for compliance officers to query during audits.","Amazon Textract|Amazon Comprehend|Amazon DynamoDB|Amazon Rekognition|Amazon S3|Amazon Translate|Amazon Athena","Amazon S3|Amazon Textract|Amazon Comprehend|Amazon DynamoDB","Scanned paper documents must be stored in object storage before OCR processing can begin.","After extracting raw text from images, an NLP service identifies specific entity types like names and dates.","Scanned contracts are stored in Amazon S3. Amazon Textract performs OCR to extract raw text, tables, and form fields from the scanned images. Amazon Comprehend applies Named Entity Recognition to identify party names, dates, and organizations. The structured output is stored in Amazon DynamoDB for fast, queryable access during compliance audits."
"AIP-C01","A factory wants to detect defective widgets on their production line using overhead cameras. They need to collect images, have humans label them as defective or acceptable, train a custom image classification model, and run inference directly on the factory floor without cloud connectivity.","Amazon Rekognition|Amazon SageMaker Ground Truth|Amazon SageMaker|AWS Panorama|Amazon S3|Amazon Bedrock|Amazon Lookout for Vision","Amazon S3|Amazon SageMaker Ground Truth|Amazon SageMaker|AWS Panorama","Raw images from cameras must be collected in central storage before any labeling can begin.","After training, the model must be deployed to an edge device for inference without internet access.","Factory images are stored in Amazon S3. Amazon SageMaker Ground Truth manages the human labeling workflow to classify each image. Amazon SageMaker trains a custom image classification model on the labeled data. AWS Panorama deploys the model to edge appliances on the factory floor for real-time, offline inference without requiring cloud connectivity."
"AIP-C01","A financial institution wants to fine-tune a foundation model on their proprietary earnings report corpus to improve summarization quality. Regulatory requirements mandate that all training data must remain within the customer's AWS account and never be shared with the model provider.","Amazon Bedrock|Amazon SageMaker JumpStart|Amazon S3|Amazon Comprehend|AWS Lambda|Amazon Kendra|Amazon SageMaker","Amazon S3|Amazon Bedrock","Proprietary training data must be stored securely in your own AWS account before customization begins.","The fully managed foundation model service keeps your fine-tuning data private and never shares it with model providers.","Proprietary earnings reports are stored in Amazon S3 within the customer's account. Amazon Bedrock performs custom model fine-tuning using that data while guaranteeing the training data is never shared with third-party model providers and remains within the customer's account, satisfying regulatory requirements. Bedrock handles the full lifecycle as a managed service."
"AIP-C01","A global media company needs to transcribe live TV broadcast audio in real-time, translate the transcript into 12 languages simultaneously, and push each translated version to regional subscriber feeds around the world.","Amazon Transcribe|Amazon Translate|Amazon Polly|Amazon Kinesis Data Streams|Amazon Comprehend|AWS Lambda|Amazon SNS","Amazon Kinesis Data Streams|Amazon Transcribe|Amazon Translate|Amazon SNS","Live streaming audio must first be ingested by a real-time data streaming service before any processing.","After translation, a pub/sub messaging service fans out the results to multiple regional subscribers.","Live audio is ingested via Amazon Kinesis Data Streams for real-time buffering. Amazon Transcribe performs streaming speech-to-text conversion. Amazon Translate converts the transcript into 12 target languages. Amazon SNS fans out each translated version to regional subscriber endpoints for parallel global delivery."
"AIP-C01","A grocery chain wants to predict weekly product demand for 500 stores over the next 60 days. Their team has zero ML experience and needs a fully managed, no-code forecasting solution that automatically selects the best algorithm from their historical sales data.","Amazon Forecast|Amazon SageMaker|Amazon S3|Amazon QuickSight|Amazon Bedrock|AWS Glue|Amazon SageMaker Autopilot","Amazon S3|Amazon Forecast|Amazon QuickSight","Historical sales CSV data must be uploaded to storage before the forecasting service can access it.","After forecasts are generated, a BI visualization tool lets store managers explore predicted demand interactively.","Historical sales data is uploaded to Amazon S3. Amazon Forecast is the correct no-code choice because it automatically evaluates multiple time-series algorithms (DeepAR+, ETS, ARIMA) and selects the best one — requiring zero ML expertise. Amazon QuickSight visualizes the forecast results in interactive dashboards for store managers to plan inventory."
"AIP-C01","A social media company must automatically moderate user-uploaded photos for policy-violating content. When the AI model's confidence is below 90%, the image must be routed to a human reviewer. All moderation decisions — both automated and human — must be logged for legal audit trails.","Amazon Rekognition|Amazon Comprehend|AWS Lambda|Amazon A2I (Augmented AI)|Amazon S3|Amazon DynamoDB|Amazon Bedrock","Amazon S3|Amazon Rekognition|Amazon A2I (Augmented AI)|Amazon DynamoDB","Uploaded images must be stored in durable object storage before any content analysis begins.","A human-in-the-loop service automatically routes low-confidence predictions to human reviewers.","User photos are stored in Amazon S3. Amazon Rekognition Content Moderation detects policy-violating content and returns confidence scores. Amazon A2I routes images with confidence below 90% to human reviewers for final judgment. All decisions are logged in Amazon DynamoDB to maintain a complete, queryable audit trail for legal compliance."
"AIP-C01","An enterprise wants a generative AI assistant where employees ask natural language questions about internal data spread across Confluence, SharePoint, Salesforce, and PostgreSQL databases. The system must enforce existing document-level access controls so each employee only sees data they are authorized to view.","Amazon Bedrock|Amazon Kendra|Amazon Q Business|Amazon Comprehend|Amazon OpenSearch Service|AWS IAM Identity Center|Amazon Lex","AWS IAM Identity Center|Amazon Q Business","User identity and permissions must be established before any data retrieval occurs.","AWS offers a fully managed generative AI assistant that natively connects to 40+ enterprise data sources and respects document-level ACLs.","AWS IAM Identity Center authenticates each employee and establishes their group memberships and permissions. Amazon Q Business is the correct choice because it natively connects to 40+ data sources (Confluence, SharePoint, Salesforce, databases), automatically enforces document-level ACLs, and generates answers using RAG — ensuring employees only see information they are authorized to access."
