Exam Code, Category, Term, Definition
AIF-C01, AI/ML Fundamentals, Artificial Intelligence (AI), The broad field of computer science focused on creating systems capable of performing tasks that typically require human intelligence such as reasoning learning and problem-solving.
AIF-C01, AI/ML Fundamentals, Machine Learning (ML), A subset of AI where algorithms learn patterns from data to make predictions or decisions without being explicitly programmed.
AIF-C01, AI/ML Fundamentals, Deep Learning, A subset of machine learning that uses artificial neural networks with multiple layers (deep neural networks) to model complex patterns in data.
AIF-C01, AI/ML Fundamentals, Supervised Learning, A type of ML where the model is trained on labeled data (input-output pairs) to learn a mapping function. Examples: classification and regression.
AIF-C01, AI/ML Fundamentals, Unsupervised Learning, A type of ML where the model finds hidden patterns or structures in unlabeled data. Examples: clustering and dimensionality reduction.
AIF-C01, AI/ML Fundamentals, Reinforcement Learning, A type of ML where an agent learns to make decisions by taking actions in an environment and receiving rewards or penalties.
AIF-C01, AI/ML Fundamentals, Semi-Supervised Learning, A learning approach that combines a small amount of labeled data with a large amount of unlabeled data during training.
AIF-C01, AI/ML Fundamentals, Training Data, The dataset used to teach a machine learning model to recognize patterns and make predictions.
AIF-C01, AI/ML Fundamentals, Validation Data, A subset of data used during training to tune hyperparameters and evaluate model performance to prevent overfitting.
AIF-C01, AI/ML Fundamentals, Test Data, A separate dataset used after training to evaluate the final performance of a model on unseen data.
AIF-C01, AI/ML Fundamentals, Feature, An individual measurable property or characteristic of the data used as input to a machine learning model.
AIF-C01, AI/ML Fundamentals, Label, The target output or answer associated with each training example in supervised learning.
AIF-C01, AI/ML Fundamentals, Model, A mathematical representation learned from data that can make predictions or decisions on new unseen data.
AIF-C01, AI/ML Fundamentals, Inference, The process of using a trained model to make predictions on new data.
AIF-C01, AI/ML Fundamentals, Overfitting, When a model learns the training data too well (including noise) resulting in poor performance on new unseen data.
AIF-C01, AI/ML Fundamentals, Underfitting, When a model is too simple to capture the underlying patterns in the data resulting in poor performance on both training and test data.
AIF-C01, AI/ML Fundamentals, Bias (in ML), Systematic error introduced by assumptions in the learning algorithm that cause it to miss relevant relations between features and target outputs.
AIF-C01, AI/ML Fundamentals, Variance (in ML), The amount by which the model's predictions would change if trained on a different dataset; high variance indicates overfitting.
AIF-C01, AI/ML Fundamentals, Hyperparameter, A configuration setting external to the model that is set before training begins (e.g. learning rate or number of layers).
AIF-C01, AI/ML Fundamentals, Epoch, One complete pass through the entire training dataset during the training process.
AIF-C01, Neural Networks & Deep Learning, Neural Network, A computing system inspired by biological neural networks consisting of interconnected nodes (neurons) organized in layers that process information.
AIF-C01, Neural Networks & Deep Learning, Convolutional Neural Network (CNN), A deep learning architecture primarily used for image recognition and computer vision tasks using convolutional layers to detect spatial features.
AIF-C01, Neural Networks & Deep Learning, Recurrent Neural Network (RNN), A neural network architecture designed for sequential data (e.g. text and time series) where outputs from previous steps are fed as inputs to the current step.
AIF-C01, Neural Networks & Deep Learning, Transformer, A neural network architecture that uses self-attention mechanisms to process sequential data in parallel forming the basis of modern LLMs like GPT and BERT.
AIF-C01, Neural Networks & Deep Learning, Transfer Learning, A technique where a model trained on one task is reused as the starting point for a model on a different but related task.
AIF-C01, Generative AI, Generative AI, AI systems that can create new content (text images code audio) based on patterns learned from training data.
AIF-C01, Generative AI, Large Language Model (LLM), A type of generative AI model trained on massive text datasets that can understand and generate human-like text.
AIF-C01, Generative AI, Foundation Model, A large AI model trained on broad data at scale that can be adapted (fine-tuned) to a wide range of downstream tasks.
AIF-C01, Generative AI, Prompt, The input text or instruction given to a generative AI model to guide its output.
AIF-C01, Generative AI, Prompt Engineering, The practice of designing and refining input prompts to get desired outputs from generative AI models.
AIF-C01, Generative AI, Fine-Tuning, The process of further training a pre-trained model on a smaller task-specific dataset to improve performance on that task.
AIF-C01, Generative AI, Retrieval-Augmented Generation (RAG), A technique that enhances LLM responses by retrieving relevant information from external knowledge sources before generating an answer.
AIF-C01, Generative AI, Hallucination, When a generative AI model produces outputs that are factually incorrect fabricated or not grounded in the input data.
AIF-C01, Generative AI, Temperature (in LLMs), A parameter that controls the randomness of a model's output; lower values produce more deterministic responses and higher values produce more creative ones.
AIF-C01, Generative AI, Tokens, The basic units of text (words subwords or characters) that LLMs process as input and generate as output.
AIF-C01, Generative AI, Context Window, The maximum number of tokens an LLM can process in a single input/output interaction.
AIF-C01, Generative AI, Embedding, A numerical vector representation of data (text or images) that captures semantic meaning enabling similarity comparisons.
AIF-C01, Generative AI, Vector Database, A database optimized for storing and querying high-dimensional vector embeddings commonly used in RAG architectures.
AIF-C01, Generative AI, RLHF (Reinforcement Learning from Human Feedback), A technique used to fine-tune LLMs by incorporating human preferences and feedback into the training process.
AIF-C01, AWS AI/ML Services, Amazon SageMaker, A fully managed AWS service for building training and deploying machine learning models at scale.
AIF-C01, AWS AI/ML Services, Amazon Bedrock, A fully managed AWS service that provides access to foundation models from Amazon and third-party providers via a single API.
AIF-C01, AWS AI/ML Services, Amazon Q, An AI-powered assistant by AWS that can answer questions generate content and take actions using enterprise data and systems.
