"examCode","scenarioDescription","toolboxServices","correctPipelineOrder","hint","hint2","explanation"
"SAA-C03","A company is migrating a legacy three-tier web application to AWS. The application needs a highly available architecture across multiple Availability Zones with automatic scaling for the web tier, a managed relational database with read replicas, and static assets served with low latency globally.","Elastic Load Balancing (ALB)|Amazon EC2 Auto Scaling|Amazon RDS Multi-AZ|Amazon CloudFront|Amazon S3|Amazon DynamoDB|AWS Elastic Beanstalk","Amazon CloudFront|Elastic Load Balancing (ALB)|Amazon EC2 Auto Scaling|Amazon RDS Multi-AZ|Amazon S3","Global users should hit a CDN first before reaching your load balancer.","Static assets like images and CSS should be stored in object storage and served through the CDN, not from your EC2 instances.","Amazon CloudFront serves as the global CDN entry point, caching static content from Amazon S3 and routing dynamic requests to the Elastic Load Balancing (ALB), which distributes traffic across Amazon EC2 Auto Scaling groups spanning multiple AZs. Amazon RDS Multi-AZ provides the managed relational database with automatic failover, while Amazon S3 stores static assets as the CloudFront origin. This architecture achieves high availability, automatic scaling, and low-latency global content delivery."
"SAA-C03","A startup needs to build a serverless REST API that authenticates users, processes business logic, stores data in a NoSQL database, and returns JSON responses. They want zero server management and pay-per-request pricing.","Amazon API Gateway|AWS Lambda|Amazon DynamoDB|Amazon Cognito|Amazon RDS|Amazon EC2|Amazon ElastiCache","Amazon Cognito|Amazon API Gateway|AWS Lambda|Amazon DynamoDB","User authentication should happen before the API request reaches your business logic.","A fully managed NoSQL database with on-demand capacity mode provides true pay-per-request pricing without provisioning.","Amazon Cognito authenticates users and issues JWT tokens that Amazon API Gateway validates using a Cognito authorizer before routing requests. AWS Lambda executes the business logic as serverless functions triggered by API Gateway, with no server management required. Amazon DynamoDB stores the data in on-demand capacity mode for true pay-per-request pricing, completing the fully serverless architecture with zero infrastructure management."
"SAA-C03","A media company needs to process video files uploaded by users. When a video is uploaded, it must be automatically transcoded into multiple formats (720p, 1080p, 4K), with the original and transcoded files stored durably. The system must handle unpredictable upload volumes without manual intervention.","Amazon S3|AWS Lambda|Amazon SQS|AWS Elastic Transcoder|Amazon EFS|Amazon EC2|Amazon Kinesis","Amazon S3|AWS Lambda|Amazon SQS|AWS Elastic Transcoder|Amazon S3","Object storage can trigger event notifications automatically when new files are uploaded.","A message queue between the trigger and the transcoding service decouples the components and handles burst uploads gracefully.","Users upload videos to Amazon S3, which triggers an AWS Lambda function via S3 event notifications. Lambda publishes a transcoding job message to Amazon SQS, which decouples the upload from processing and handles burst volumes by buffering requests. AWS Elastic Transcoder (or MediaConvert) polls the queue and transcodes videos into multiple formats, storing the output files back to Amazon S3 for durable storage and delivery."
"SAA-C03","A financial services company must store audit logs from all AWS API calls across 15 accounts in an organization. Logs must be immutable, encrypted, centralized in one account, and retained for 7 years to meet regulatory compliance. Any tampering must be detectable.","AWS CloudTrail|Amazon S3|AWS Organizations|Amazon CloudWatch Logs|AWS Config|S3 Object Lock|S3 Glacier Deep Archive","AWS CloudTrail|Amazon S3|S3 Object Lock|S3 Glacier Deep Archive","An organization trail captures API activity across all member accounts automatically.","S3 Object Lock in compliance mode prevents anyone — including the root user — from deleting or modifying log files.","AWS CloudTrail is configured as an organization trail to capture all API calls across 15 accounts and delivers log files to a centralized Amazon S3 bucket in the audit account. S3 Object Lock in compliance mode makes the logs immutable — preventing deletion or modification by any user including root — with CloudTrail log file integrity validation detecting any tampering. S3 Glacier Deep Archive provides the lowest-cost storage tier for the 7-year retention requirement, with lifecycle policies automatically transitioning logs from S3 Standard."
"SAA-C03","An IoT company collects temperature readings from 100,000 sensors every 5 seconds. The data must be ingested in real-time, transformed (unit conversion, deduplication), and stored in a data lake for batch analytics. A dashboard must show the last 5 minutes of readings in near real-time.","Amazon Kinesis Data Streams|Amazon Kinesis Data Firehose|AWS Lambda|Amazon S3|Amazon Athena|Amazon Redshift|Amazon DynamoDB","Amazon Kinesis Data Streams|AWS Lambda|Amazon Kinesis Data Firehose|Amazon S3|Amazon Athena","A streaming ingestion service with configurable shard capacity handles high-throughput real-time data from thousands of producers.","Firehose can deliver transformed data directly to S3 in batches, while Athena queries the data lake using standard SQL without provisioning infrastructure.","Amazon Kinesis Data Streams ingests the high-throughput sensor data in real-time with configurable shards for the 100K sensor volume. AWS Lambda processes the stream for unit conversion and deduplication as an inline transformation. Amazon Kinesis Data Firehose delivers the transformed data in micro-batches to Amazon S3, forming the data lake. Amazon Athena provides serverless SQL queries over the S3 data lake for batch analytics and near real-time dashboard queries."
"SAA-C03","A company needs to migrate a 50 TB on-premises Oracle database to Amazon Aurora PostgreSQL with minimal downtime. The application must continue serving traffic during migration, and the schema must be converted from Oracle to PostgreSQL-compatible syntax.","AWS Schema Conversion Tool (SCT)|AWS Database Migration Service (DMS)|Amazon Aurora PostgreSQL|AWS Snowball|Amazon RDS for Oracle|AWS DataSync|Amazon Redshift","AWS Schema Conversion Tool (SCT)|AWS Database Migration Service (DMS)|Amazon Aurora PostgreSQL","Before migrating data, the database schema (stored procedures, views, data types) must be converted from Oracle to PostgreSQL syntax.","DMS supports continuous replication (CDC) that keeps the target in sync while the source remains live, enabling minimal-downtime cutover.","AWS Schema Conversion Tool (SCT) first converts the Oracle schema — including stored procedures, views, and data types — to PostgreSQL-compatible syntax and applies it to the target. AWS Database Migration Service (DMS) then performs the full data load followed by continuous Change Data Capture (CDC) replication, keeping Aurora in sync with the live Oracle source. Amazon Aurora PostgreSQL serves as the target database, and once replication lag reaches zero, the application cuts over with minimal downtime."
"SAA-C03","A SaaS company needs to isolate tenant data in a shared DynamoDB table where each tenant can only access their own records. The application uses Amazon Cognito for authentication, and the solution must scale to thousands of tenants without creating separate tables or IAM users per tenant.","Amazon Cognito|AWS IAM|Amazon DynamoDB|AWS STS|Amazon API Gateway|AWS Lambda|Amazon RDS","Amazon Cognito|AWS STS|AWS IAM|Amazon DynamoDB","Cognito Identity Pool can exchange user tokens for temporary AWS credentials with dynamically scoped IAM policies.","IAM policy condition keys with ${cognito-identity.amazonaws.com:sub} restrict DynamoDB access to items matching the authenticated user's partition key.","Amazon Cognito authenticates each tenant user and the Identity Pool uses AWS STS to issue temporary credentials with an assumed IAM role. The AWS IAM policy attached to the role uses a condition key with ${cognito-identity.amazonaws.com:sub} in the dynamodb:LeadingKeys condition, dynamically restricting each tenant to only their own partition key items. Amazon DynamoDB enforces this fine-grained access control at the item level, enabling thousands of tenants to share a single table securely without per-tenant infrastructure."
"SAA-C03","A company runs a critical production workload on EC2 instances behind an ALB. They need to deploy application updates with zero downtime, automatically roll back if health checks fail, and gradually shift traffic from the old version to the new version over 15 minutes.","AWS CodeDeploy|Elastic Load Balancing (ALB)|Amazon EC2 Auto Scaling|AWS CloudFormation|AWS Elastic Beanstalk|Amazon Route 53|AWS CodePipeline","AWS CodeDeploy|Elastic Load Balancing (ALB)|Amazon EC2 Auto Scaling","CodeDeploy supports blue/green deployments that provision a new Auto Scaling group and gradually shift ALB traffic.","The AllowTraffic and BlockTraffic lifecycle hooks combined with linear traffic shifting enable the 15-minute gradual rollout.","AWS CodeDeploy orchestrates a blue/green deployment — it provisions a new Amazon EC2 Auto Scaling group (green) with the updated application, then uses Elastic Load Balancing (ALB) target group switching to gradually shift traffic from the old (blue) to the new (green) fleet over 15 minutes using linear deployment configuration. If ALB health checks detect failures in the green fleet, CodeDeploy automatically rolls back by rerouting all traffic to the original blue fleet, achieving zero-downtime deployments with automatic rollback."
"SAA-C03","A healthcare company must encrypt all data at rest and in transit for HIPAA compliance. They need to manage their own encryption keys with annual automatic rotation, audit all key usage, and ensure that even AWS operators cannot access the plaintext data.","AWS KMS|AWS CloudHSM|AWS CloudTrail|Amazon S3|AWS Certificate Manager|AWS Secrets Manager|Amazon Macie","AWS KMS|AWS CloudTrail|Amazon S3","KMS customer-managed keys (CMKs) support automatic annual rotation and integrate natively with most AWS services for encryption at rest.","Every KMS API call (Encrypt, Decrypt, GenerateDataKey) is logged in CloudTrail, providing a complete audit trail of all key usage.","AWS KMS creates customer-managed keys (CMKs) with automatic annual rotation enabled, providing envelope encryption for data at rest across AWS services — the key policy ensures only authorized principals can use the keys, and KMS's security boundary prevents even AWS operators from accessing plaintext. AWS CloudTrail logs every KMS API call (Encrypt, Decrypt, GenerateDataKey, etc.), creating a complete audit trail of all key usage for HIPAA compliance auditing. Amazon S3 stores the CloudTrail logs with SSE-KMS encryption, ensuring the audit trail itself is encrypted and tamper-evident."
"SAA-C03","A retail company needs to build a disaster recovery solution for their primary application running in us-east-1. The RTO is 15 minutes and RPO is 1 minute. The application uses an Aurora MySQL database, EC2 instances behind an ALB, and stores user uploads in S3.","Amazon Aurora Global Database|Amazon Route 53|Amazon S3 Cross-Region Replication|Amazon EC2 AMI Copy|Elastic Load Balancing (ALB)|AWS CloudFormation|AWS Backup","Amazon Aurora Global Database|Amazon S3 Cross-Region Replication|AWS CloudFormation|Amazon Route 53","Aurora Global Database replicates data to a secondary region with typical lag under 1 second, meeting the 1-minute RPO requirement.","Route 53 health checks with failover routing automatically redirect traffic to the DR region when the primary becomes unhealthy.","Amazon Aurora Global Database provides cross-region replication with sub-second lag (meeting the 1-minute RPO), and the secondary cluster can be promoted to read-write in under 1 minute during failover. Amazon S3 Cross-Region Replication keeps user uploads synchronized to the DR region. AWS CloudFormation maintains infrastructure-as-code templates in the DR region that can launch the EC2/ALB stack within minutes (meeting the 15-minute RTO). Amazon Route 53 failover routing with health checks automatically redirects DNS to the DR region's ALB when the primary is unhealthy."
