"examCode","scenarioDescription","toolboxServices","correctPipelineOrder","hint","hint2","explanation"
"CLF-C02","A small business wants to host a simple static website with HTML, CSS, and JavaScript files. The site needs to be globally accessible with low latency and must be cost-effective since they expect moderate traffic.","Amazon S3|Amazon CloudFront|Amazon EC2|Amazon RDS|AWS Lambda|Amazon Route 53|Amazon EBS","Amazon S3|Amazon CloudFront|Amazon Route 53","Static files like HTML and CSS can be stored as objects in a highly durable storage service without needing a server.","A content delivery network caches your static content at edge locations worldwide for low-latency access.","Amazon S3 hosts the static website files (HTML, CSS, JS) as objects with static website hosting enabled — no server management required. Amazon CloudFront distributes the content globally through edge locations, reducing latency for users worldwide. Amazon Route 53 provides DNS resolution, mapping the custom domain name to the CloudFront distribution for a professional web address."
"CLF-C02","A startup needs to run a web application with unpredictable traffic spikes. They want servers that automatically scale up during peak hours and scale down at night to minimize costs, with traffic distributed evenly across all running servers.","Amazon EC2|Auto Scaling Group|Elastic Load Balancing|Amazon S3|AWS Lambda|Amazon RDS|Amazon Lightsail","Elastic Load Balancing|Auto Scaling Group|Amazon EC2","Incoming user requests first hit a service that distributes traffic across multiple targets.","A scaling service automatically adjusts the number of compute instances based on demand metrics.","Elastic Load Balancing receives incoming traffic and distributes it evenly across healthy EC2 instances. The Auto Scaling Group automatically launches or terminates EC2 instances based on demand, scaling out during traffic spikes and scaling in during quiet periods. Amazon EC2 provides the virtual servers that actually run the web application code."
"CLF-C02","A company needs to store customer profile data that is frequently read and written. The data is structured with relationships between customers, orders, and products. They need ACID-compliant transactions and the ability to run complex SQL queries for reporting.","Amazon RDS|Amazon DynamoDB|Amazon S3|Amazon Redshift|Amazon ElastiCache|Amazon Aurora|Amazon Neptune","Amazon RDS","Structured data with relationships and SQL queries points to a relational database, not a NoSQL or object store.","AWS offers a managed relational database service that handles patching, backups, and maintenance automatically.","Amazon RDS is the correct choice because the scenario requires a relational database with ACID transactions, structured data with relationships, and complex SQL queries. RDS is a fully managed service that supports engines like MySQL, PostgreSQL, and SQL Server, handling backups, patching, and scaling. DynamoDB would be wrong because it is NoSQL and does not natively support complex SQL joins, while Redshift is optimized for analytics warehousing, not transactional workloads."
"CLF-C02","An e-commerce company wants to send order confirmation emails to customers immediately after purchase. The email sending function should only run when triggered and the company should not pay for idle compute time. Order details are stored in a database.","AWS Lambda|Amazon SNS|Amazon SQS|Amazon EC2|Amazon DynamoDB|Amazon SES|AWS Step Functions","Amazon DynamoDB|AWS Lambda|Amazon SES","Order details need to be read from a fast, scalable NoSQL database before the email can be composed.","The compute service that runs code without provisioning servers and charges only for execution time is serverless.","Amazon DynamoDB stores the order details as the source of truth, providing fast reads at any scale. AWS Lambda is triggered by the order event, retrieves the order details from DynamoDB, and composes the email — it runs only when invoked and charges per execution, eliminating idle costs. Amazon SES (Simple Email Service) sends the actual confirmation email to the customer reliably and cost-effectively."
"CLF-C02","A hospital needs to store patient medical records that must be retained for 7 years by regulation. The records are rarely accessed after the first 90 days but must remain retrievable within 12 hours when needed. Cost optimization is the top priority.","Amazon S3 Standard|Amazon S3 Glacier Flexible Retrieval|Amazon S3 Glacier Deep Archive|Amazon EBS|Amazon EFS|S3 Lifecycle Policy|Amazon S3 Intelligent-Tiering","Amazon S3 Standard|S3 Lifecycle Policy|Amazon S3 Glacier Flexible Retrieval","New records need immediate access, so they start in a storage class designed for frequently accessed data.","An automated policy can transition objects between storage classes based on age without manual intervention.","Patient records are initially stored in Amazon S3 Standard for immediate access during the first 90 days when they are frequently referenced. An S3 Lifecycle Policy automatically transitions records to a cheaper storage class after 90 days without manual intervention. Amazon S3 Glacier Flexible Retrieval provides the lowest-cost archival storage with retrieval times of 1-12 hours, meeting both the 7-year retention requirement and the 12-hour retrieval SLA at minimal cost."
"CLF-C02","A mobile gaming company needs a database that can handle millions of read/write requests per second with single-digit millisecond latency. The data model is simple key-value pairs storing player scores and game state, and the schema may change frequently.","Amazon DynamoDB|Amazon RDS|Amazon Aurora|Amazon ElastiCache|Amazon Redshift|Amazon Neptune|Amazon S3","Amazon DynamoDB","Key-value data with flexible schemas and extreme scale points to a specific type of NoSQL database.","This fully managed database automatically scales throughput and provides consistent single-digit millisecond performance.","Amazon DynamoDB is the correct choice because it is a fully managed NoSQL key-value database designed for exactly this use case — millions of requests per second with single-digit millisecond latency and flexible schemas. RDS and Aurora are relational databases that would struggle with this scale of simple key-value operations and require fixed schemas. ElastiCache is an in-memory cache, not a durable primary database for persistent game state."
"CLF-C02","A company wants to migrate their on-premises VMware virtual machines to AWS. They need to discover their existing server inventory, plan the migration, and then perform the actual server migration with minimal downtime to their production environment.","AWS Application Discovery Service|AWS Migration Hub|AWS Application Migration Service|AWS Database Migration Service|AWS Snow Family|Amazon EC2|AWS Transfer Family","AWS Application Discovery Service|AWS Migration Hub|AWS Application Migration Service","Before migrating anything, you must first discover and inventory what servers and dependencies exist on-premises.","A central dashboard tracks the progress of all migration activities across multiple AWS migration tools.","AWS Application Discovery Service scans the on-premises environment to inventory servers, collect performance data, and map dependencies. AWS Migration Hub provides a centralized dashboard to plan and track the migration progress across all discovered servers. AWS Application Migration Service (MGN) performs the actual lift-and-shift migration of the VMware VMs to EC2 instances with minimal downtime using continuous block-level replication."
"CLF-C02","A financial company needs to ensure that all their AWS resources comply with internal security policies. They want to automatically detect when an S3 bucket is made public, when security groups allow unrestricted SSH access, and receive alerts when resources drift from approved configurations.","AWS Config|AWS CloudTrail|Amazon GuardDuty|AWS Security Hub|Amazon Inspector|AWS Trusted Advisor|Amazon Macie","AWS Config|AWS Security Hub","One service continuously monitors and records the configuration state of your AWS resources against rules.","A centralized security service aggregates findings from multiple AWS security tools into a single dashboard.","AWS Config continuously monitors and records the configuration of AWS resources, evaluating them against predefined rules (like detecting public S3 buckets or open SSH security groups) and flagging non-compliant resources automatically. AWS Security Hub aggregates the Config findings along with alerts from other security services into a centralized dashboard with compliance scores. CloudTrail logs API calls but does not evaluate compliance, and GuardDuty detects threats rather than configuration drift."
"CLF-C02","A media company needs to process uploaded video files by extracting thumbnails, transcoding to multiple formats, and generating subtitles. Each step depends on the previous one completing successfully, and failed steps should retry automatically before alerting the operations team.","AWS Step Functions|AWS Lambda|Amazon S3|Amazon SQS|Amazon SNS|AWS Batch|Amazon EventBridge","Amazon S3|AWS Step Functions|AWS Lambda|Amazon SNS","Uploaded video files land in object storage, which triggers the processing workflow.","A workflow orchestration service coordinates multiple steps with built-in error handling and retry logic.","Videos are uploaded to Amazon S3, which triggers the processing pipeline. AWS Step Functions orchestrates the multi-step workflow (thumbnail extraction → transcoding → subtitle generation) with built-in retry logic, error handling, and conditional branching for each dependent step. AWS Lambda executes the actual processing code for each step as serverless functions. Amazon SNS sends alerts to the operations team when retries are exhausted and a step permanently fails."
"CLF-C02","A company wants to give their mobile app users the ability to sign up, sign in, and access AWS resources securely. They need social login support (Google, Facebook), multi-factor authentication, and temporary AWS credentials for authenticated users to access S3 buckets.","Amazon Cognito|AWS IAM|AWS IAM Identity Center|AWS Directory Service|Amazon GuardDuty|AWS Secrets Manager|AWS STS","Amazon Cognito|AWS STS|Amazon S3","AWS offers a managed service specifically designed for adding user sign-up and sign-in to mobile and web applications.","After authentication, temporary security credentials are needed so mobile users can access AWS resources directly.","Amazon Cognito handles user sign-up, sign-in, social identity federation (Google, Facebook), and MFA for the mobile app — it is purpose-built for this use case. AWS STS (Security Token Service) provides temporary, limited-privilege AWS credentials to authenticated Cognito users, following the principle of least privilege. These temporary credentials allow the mobile app to access Amazon S3 buckets directly without embedding long-term access keys in the application."
