"examCode","Category","Term","Definition"
"SAA-C03","Design Secure Architectures","AWS IAM (Identity and Access Management)","The service controlling authentication (who are you?) and authorization (what can you do?) in AWS — using users, groups, roles, and JSON policies with Effect/Action/Resource/Condition to enforce least-privilege access across all AWS services."
"SAA-C03","Design Secure Architectures","IAM Policies","JSON documents defining permissions — Identity-based (attached to users/groups/roles), Resource-based (attached to resources like S3 buckets/SQS queues), Permission boundaries (max permissions cap), and SCPs (organization-wide guardrails). Evaluation: explicit Deny > Allow > implicit Deny."
"SAA-C03","Design Secure Architectures","IAM Roles","Temporary credential sets assumed by AWS services, applications, or users — no long-term credentials, automatically rotated by STS. Used for EC2 instance profiles, Lambda execution roles, cross-account access, and identity federation."
"SAA-C03","Design Secure Architectures","AWS Organizations","A service for centrally managing multiple AWS accounts — using Organizational Units (OUs) for grouping, Service Control Policies (SCPs) for permission guardrails, consolidated billing for cost savings, and AWS Control Tower for automated governance."
"SAA-C03","Design Secure Architectures","Service Control Policies (SCPs)","Organization-level policies that set maximum permission boundaries for member accounts — they don't grant permissions but restrict what IAM policies can allow. Applied to OUs or accounts, inherited hierarchically, and don't affect the management account."
"SAA-C03","Design Secure Architectures","AWS KMS (Key Management Service)","A managed service for creating and controlling encryption keys — symmetric (AES-256) and asymmetric (RSA, ECC) CMKs with key policies, automatic annual rotation, CloudTrail audit logging, and envelope encryption for data larger than 4 KB."
"SAA-C03","Design Secure Architectures","AWS CloudHSM","Dedicated hardware security modules (HSMs) in the cloud — single-tenant, FIPS 140-2 Level 3 validated, you manage your own keys (AWS has no access). Used when regulatory requirements mandate dedicated hardware or you need full key control."
"SAA-C03","Design Secure Architectures","KMS vs CloudHSM","KMS: multi-tenant, AWS manages HSM hardware, integrated with 100+ AWS services, automatic key rotation, lower cost. CloudHSM: single-tenant, you manage keys, FIPS 140-2 Level 3, supports asymmetric keys and custom key stores — choose CloudHSM for strict compliance requirements."
"SAA-C03","Design Secure Architectures","AWS Secrets Manager","A service that stores, rotates, and retrieves secrets (database credentials, API keys) — with automatic rotation via Lambda, cross-account sharing, RDS/Aurora/Redshift/DocumentDB native rotation support, and SDK integration for runtime retrieval."
"SAA-C03","Design Secure Architectures","AWS Systems Manager Parameter Store","A hierarchical key-value store for configuration data and secrets — String, StringList, and SecureString (KMS-encrypted) types. Free standard tier (up to 10,000 parameters), advanced tier for higher throughput and parameter policies with expiration notifications."
"SAA-C03","Design Secure Architectures","Amazon Cognito","A managed identity service — User Pools for authentication (sign-up/sign-in, MFA, social/SAML federation, JWT tokens) and Identity Pools for authorization (temporary AWS credentials for authenticated/guest users to access AWS services directly)."
"SAA-C03","Design Secure Architectures","AWS WAF (Web Application Firewall)","A Layer 7 firewall protecting web applications — attached to CloudFront, ALB, API Gateway, or AppSync with rules for SQL injection, XSS, rate limiting, IP/geo blocking, and AWS Managed Rules. Web ACLs contain prioritized rules evaluated in order."
"SAA-C03","Design Secure Architectures","AWS Shield","DDoS protection — Shield Standard (free, automatic Layer 3/4 protection for all AWS resources) and Shield Advanced (paid, enhanced protection for CloudFront/ALB/Route 53/Global Accelerator with 24/7 DDoS Response Team, cost protection, and real-time metrics)."
"SAA-C03","Design Secure Architectures","AWS Firewall Manager","A central security management service for configuring and managing WAF rules, Shield Advanced protections, VPC security groups, and Network Firewall policies across multiple accounts in AWS Organizations — ensuring consistent security posture."
"SAA-C03","Design Secure Architectures","Amazon GuardDuty","An intelligent threat detection service that continuously monitors AWS accounts — analyzing CloudTrail logs, VPC Flow Logs, and DNS logs using ML to detect unauthorized access, compromised instances, cryptocurrency mining, and malicious IP communication."
"SAA-C03","Design Secure Architectures","Amazon Inspector","An automated vulnerability assessment service — scanning EC2 instances, Lambda functions, and ECR container images for software vulnerabilities (CVEs), network exposure, and unintended network accessibility with prioritized findings."
"SAA-C03","Design Secure Architectures","Amazon Macie","A data security service using ML to discover, classify, and protect sensitive data in S3 — automatically detecting PII, financial data, credentials, and intellectual property with alerts and integration with Security Hub."
"SAA-C03","Design Secure Architectures","AWS Security Hub","A centralized security dashboard that aggregates findings from GuardDuty, Inspector, Macie, Firewall Manager, and third-party tools — providing a comprehensive security posture view with automated compliance checks against standards (CIS, PCI DSS)."
"SAA-C03","Design Secure Architectures","AWS CloudTrail","A governance service logging all API calls in your AWS account — recording who, when, from where, and what was requested. Management events (control plane) logged by default; data events (S3 object/Lambda invocations) optional. Stored in S3 with integrity validation."
"SAA-C03","Design Secure Architectures","VPC Security - Security Groups","Stateful virtual firewalls at the instance/ENI level — allow rules only (no deny), evaluate all rules before deciding, return traffic automatically allowed. Default: all outbound allowed, all inbound denied. Reference other security groups for dynamic access control."
"SAA-C03","Design Secure Architectures","VPC Security - NACLs","Stateless firewalls at the subnet level — support allow AND deny rules, evaluated in numbered order (lowest first), return traffic must be explicitly allowed. Default NACL allows all; custom NACLs deny all by default. Use for subnet-level IP blocking."
