"examCode","scenarioDescription","toolboxServices","correctPipelineOrder","hint","hint2","explanation"
"MLS-C01","A financial institution has 10 million historical loan applications with 200 features stored in S3. Before training a credit risk model, they need to identify which features are most predictive, remove highly correlated features, and transform categorical variables using target encoding — all at scale without managing infrastructure.","Amazon SageMaker Data Wrangler|Amazon SageMaker Processing|AWS Glue ETL|Amazon SageMaker Feature Store|Amazon Athena|Amazon EMR|Amazon SageMaker Autopilot","Amazon S3|Amazon SageMaker Data Wrangler|Amazon SageMaker Processing|Amazon SageMaker Feature Store","A visual data preparation tool lets you interactively explore feature importance, correlations, and apply 300+ built-in transformations without code.","After designing transformations visually, you can export them as Processing jobs for production-scale execution.","Data resides in Amazon S3. Amazon SageMaker Data Wrangler provides a visual interface to explore feature correlations, compute feature importance rankings, and design transformation flows including target encoding — all interactively. The designed flow is exported to Amazon SageMaker Processing for scalable, production-grade execution across the full 10M dataset. Transformed features are stored in Amazon SageMaker Feature Store for consistent reuse across training and inference pipelines."
"MLS-C01","A healthcare company needs to train a medical image classification model on 500,000 chest X-rays. The images are 2048x2048 pixels, training requires multiple GPUs, and the team wants to use a pre-trained ResNet-50 model with transfer learning. They need to minimize training time while controlling costs.","Amazon SageMaker Training|Amazon EC2 P4d|Amazon SageMaker Built-in Image Classification|AWS Lambda|Amazon Rekognition|Amazon SageMaker Debugger|Amazon SageMaker Spot Training","Amazon S3|Amazon SageMaker Training|Amazon SageMaker Debugger|Amazon SageMaker Spot Training","SageMaker Training supports custom training scripts with PyTorch/TensorFlow and multi-GPU distributed training using Horovod or SageMaker Distributed.","Managed Spot Training can reduce training costs by up to 90% by using EC2 Spot Instances with automatic checkpointing.","Chest X-ray images are stored in Amazon S3. Amazon SageMaker Training runs the custom transfer learning job using a pre-trained ResNet-50 with multi-GPU instances (ml.p4d.24xlarge) and SageMaker's distributed training libraries for parallelism. Amazon SageMaker Debugger monitors training in real-time, detecting issues like vanishing gradients or overfitting. Amazon SageMaker Spot Training uses Spot Instances with automatic checkpointing to reduce costs by up to 90% while handling interruptions gracefully."
"MLS-C01","An e-commerce company wants to build a product recommendation engine. They have implicit feedback data (clicks, views, purchases) for 50 million users and 2 million products. They need a collaborative filtering approach that handles the sparse implicit feedback matrix and scales to this dataset size.","Amazon Personalize|Amazon SageMaker Factorization Machines|Amazon SageMaker Built-in Algorithms|Amazon Neptune|Amazon SageMaker KNN|Amazon Comprehend|Amazon Kendra","Amazon S3|Amazon SageMaker Factorization Machines|Amazon SageMaker Hosting","SageMaker's built-in Factorization Machines algorithm is specifically designed for sparse, high-dimensional datasets like implicit feedback matrices.","Factorization Machines learn latent factor representations for users and products, handling the sparsity that standard matrix factorization struggles with.","Implicit feedback data is stored in Amazon S3 in recordIO-protobuf format for efficient streaming. Amazon SageMaker Factorization Machines trains a collaborative filtering model that decomposes the sparse user-product interaction matrix into low-rank latent factors, handling the extreme sparsity of implicit feedback (most user-product pairs have no interaction). The trained model is deployed to Amazon SageMaker Hosting for real-time recommendation inference at scale."
"MLS-C01","A manufacturing company has sensor data from 10,000 machines with 50 metrics each, sampled every second. They need to detect anomalous machine behavior in real-time without labeled anomaly data. The solution must identify which specific metrics are contributing to each detected anomaly.","Amazon SageMaker Random Cut Forest|Amazon Kinesis Data Streams|Amazon SageMaker IP Insights|Amazon CloudWatch Anomaly Detection|AWS Lambda|Amazon Lookout for Equipment|Amazon SageMaker Hosting","Amazon Kinesis Data Streams|AWS Lambda|Amazon SageMaker Random Cut Forest|Amazon SageMaker Hosting","Random Cut Forest (RCF) is SageMaker's built-in unsupervised anomaly detection algorithm — it requires no labeled data and assigns anomaly scores.","RCF provides attribution scores that indicate which features contributed most to each anomaly detection, enabling root cause analysis.","Amazon Kinesis Data Streams ingests the real-time sensor data from 10,000 machines. AWS Lambda preprocesses and formats the streaming data for inference. Amazon SageMaker Random Cut Forest is the ideal unsupervised algorithm — it detects anomalies without labeled data by learning the normal distribution of the multivariate sensor readings and assigning anomaly scores to deviations. The model is deployed on Amazon SageMaker Hosting for real-time inference, and RCF's built-in attribution scores identify which specific metrics are driving each anomaly."
"MLS-C01","A data science team has trained an XGBoost model for customer churn prediction. Before deploying to production, they need to understand which features drive individual predictions (not just global importance), detect potential bias across demographic groups, and generate model explanation reports for regulatory compliance.","Amazon SageMaker Clarify|Amazon SageMaker Model Monitor|SHAP|Amazon SageMaker Debugger|AWS Lambda|Amazon SageMaker Experiments|Amazon Augmented AI","Amazon SageMaker Clarify|Amazon SageMaker Clarify|Amazon S3","SageMaker Clarify uses SHAP (SHapley Additive exPlanations) values to compute feature attributions for individual predictions.","Clarify also computes bias metrics like Disparate Impact (DI) and Conditional Demographic Disparity (CDD) across protected attributes.","Amazon SageMaker Clarify first runs bias detection analysis, computing pre-training and post-training bias metrics (Disparate Impact, Demographic Parity Difference, etc.) across demographic groups to identify potential discrimination. Clarify then generates SHAP-based feature attribution reports that explain individual predictions — showing which features pushed each customer toward or away from churn — satisfying regulatory explainability requirements. All reports are saved to Amazon S3 for compliance documentation and audit trails."
"MLS-C01","A media company needs to automatically transcribe customer support calls in real-time, detect the sentiment of each speaker turn, identify key entities (product names, account numbers), and route negative-sentiment calls to supervisors immediately.","Amazon Transcribe|Amazon Comprehend|Amazon Lex|Amazon Polly|Amazon Kinesis Data Streams|AWS Lambda|Amazon Connect","Amazon Transcribe|Amazon Comprehend|AWS Lambda|Amazon Kinesis Data Streams","A managed speech-to-text service supports real-time streaming transcription with speaker diarization.","After transcription, an NLP service can perform sentiment analysis and entity extraction on each speaker turn simultaneously.","Amazon Transcribe performs real-time streaming speech-to-text conversion with speaker diarization to separate each speaker's turns. Amazon Comprehend analyzes each transcribed turn for sentiment (positive, negative, neutral, mixed) and extracts named entities like product names and account numbers. AWS Lambda evaluates the sentiment scores and triggers routing logic — when negative sentiment is detected, it publishes an event to Amazon Kinesis Data Streams for real-time supervisor notification and escalation."
"MLS-C01","A data science team needs to train a text classification model on 5 million customer reviews. The reviews are raw text with no feature engineering. They need an algorithm that automatically learns word embeddings and text representations without manual feature extraction, and trains faster than traditional NLP approaches.","Amazon SageMaker BlazingText|Amazon Comprehend Custom Classification|Amazon SageMaker NTM|Amazon SageMaker Seq2Seq|Amazon Kendra|Amazon Textract|Amazon SageMaker Object2Vec","Amazon S3|Amazon SageMaker BlazingText|Amazon SageMaker Hosting","BlazingText in supervised mode is an optimized implementation of the fastText algorithm for text classification.","BlazingText automatically learns word n-gram representations and trains orders of magnitude faster than traditional deep learning NLP models.","Raw customer reviews are stored in Amazon S3 in BlazingText's expected format (label followed by text per line). Amazon SageMaker BlazingText in supervised mode trains a text classification model using the fastText algorithm — it automatically learns subword embeddings and word n-gram features without manual feature engineering, training on millions of examples in minutes rather than hours. The trained model is deployed to Amazon SageMaker Hosting for real-time classification of new reviews."
"MLS-C01","A company has deployed a fraud detection model to production. Over the past 3 months, they've noticed prediction accuracy degrading. They need to automatically detect when the input data distribution shifts from the training data, identify which features are drifting, and trigger model retraining when drift exceeds thresholds.","Amazon SageMaker Model Monitor|Amazon SageMaker Pipelines|Amazon CloudWatch|Amazon SageMaker Clarify|AWS Lambda|Amazon EventBridge|Amazon SageMaker Experiments","Amazon SageMaker Model Monitor|Amazon CloudWatch|Amazon EventBridge|Amazon SageMaker Pipelines","Model Monitor continuously compares inference data distributions against a baseline captured from the training dataset.","When drift violations are detected, CloudWatch alarms can trigger automated retraining workflows through event-driven architecture.","Amazon SageMaker Model Monitor continuously captures inference requests and compares feature distributions against the training data baseline, detecting data drift using statistical tests and identifying which specific features have shifted. Violations trigger Amazon CloudWatch alarms with configurable thresholds. Amazon EventBridge captures the alarm events and routes them to Amazon SageMaker Pipelines, which automatically executes the retraining workflow — fetching new data, retraining the model, evaluating performance, and conditionally deploying the updated model."
"MLS-C01","A logistics company needs to forecast demand for 50,000 SKUs across 500 warehouse locations. The time series data includes 3 years of daily sales history with related features like promotions, holidays, and weather. They need probabilistic forecasts (P10, P50, P90) to optimize inventory levels.","Amazon Forecast|Amazon SageMaker DeepAR|Amazon SageMaker Built-in Algorithms|Amazon Timestream|Amazon QuickSight|AWS Glue|Amazon Lookout for Metrics","Amazon S3|Amazon SageMaker DeepAR|Amazon SageMaker Hosting","SageMaker's DeepAR algorithm is specifically designed for training a single model across many related time series simultaneously.","DeepAR produces probabilistic forecasts (quantile predictions) natively, outputting P10, P50, P90 confidence intervals without post-processing.","Historical sales data with related time series features (promotions, holidays, weather) are stored in Amazon S3 in JSON Lines format. Amazon SageMaker DeepAR trains a single autoregressive RNN model across all 50,000 SKU × 500 location combinations simultaneously, learning cross-series patterns that improve accuracy for low-volume items. DeepAR natively produces probabilistic forecasts — P10, P50, P90 quantiles — deployed via Amazon SageMaker Hosting, enabling the logistics team to optimize inventory with confidence intervals rather than point estimates."
"MLS-C01","A security company needs to build an IP address threat detection system. Given a set of known legitimate IP-to-account mappings, the model must identify when an IP address is used with an account it has never been associated with before, indicating potential account takeover.","Amazon SageMaker IP Insights|Amazon GuardDuty|Amazon SageMaker Random Cut Forest|Amazon Macie|AWS WAF|Amazon SageMaker KNN|Amazon SageMaker Hosting","Amazon S3|Amazon SageMaker IP Insights|Amazon SageMaker Hosting","SageMaker has a purpose-built algorithm that learns statistical associations between IP addresses and entities like account IDs.","IP Insights uses neural network embeddings to capture IP-entity relationships and scores new pairs by how anomalous they are.","Historical IP-to-account mapping data is stored in Amazon S3 as CSV with (entity, IP) pairs. Amazon SageMaker IP Insights trains a neural network that learns embeddings for both IP addresses and account entities, capturing the statistical patterns of legitimate associations. The model is deployed to Amazon SageMaker Hosting — at inference time, it scores new (account, IP) pairs and returns a compatibility score, where low scores indicate the IP has never been associated with that account, flagging potential account takeover attempts."
