"examCode","Category","Term","Definition"
"MLS-C01","Data Engineering","Amazon S3 (Simple Storage Service)","The primary data lake storage for ML workloads — storing training data, model artifacts, and inference results with virtually unlimited scalability, 11 nines durability, and multiple storage classes for cost optimization."
"MLS-C01","Data Engineering","S3 Data Formats for ML","Choosing optimal formats — CSV/JSON (human-readable, slow), Parquet/ORC (columnar, fast analytics), RecordIO/Protobuf (SageMaker-optimized binary for fast training), Pipe mode (streams data directly from S3 to training without downloading)."
"MLS-C01","Data Engineering","Amazon Kinesis Data Streams","A real-time data streaming service for capturing ML feature data — ingesting clickstreams, IoT sensor data, and logs at scale with configurable retention (24 hours to 365 days) for real-time feature engineering and inference."
"MLS-C01","Data Engineering","Amazon Kinesis Data Firehose","A fully managed delivery service that loads streaming data into S3, Redshift, OpenSearch, or Splunk — with optional Lambda transformation for preprocessing ML training data in near-real-time without managing infrastructure."
"MLS-C01","Data Engineering","Amazon Kinesis Data Analytics","A service for processing streaming data using SQL or Apache Flink — performing real-time anomaly detection, feature computation, and data transformation on streaming data before feeding it to ML models."
"MLS-C01","Data Engineering","AWS Glue","A serverless ETL service for preparing ML training data — crawling data sources to build a Data Catalog, running Spark-based transformations, and converting data formats (CSV to Parquet) for optimized ML training."
"MLS-C01","Data Engineering","AWS Glue DataBrew","A visual data preparation tool for ML — profiling datasets to understand distributions, handling missing values, normalizing features, encoding categoricals, and applying 250+ built-in transformations without writing code."
"MLS-C01","Data Engineering","AWS Data Pipeline","An orchestration service for scheduling and managing data-driven workflows — moving and transforming data between compute and storage services on a defined schedule for batch ML data preparation."
"MLS-C01","Data Engineering","Amazon EMR (Elastic MapReduce)","A managed big data platform running Apache Spark, Hive, and Presto — used for large-scale feature engineering, data preprocessing, and distributed ML training with Spark MLlib on massive datasets."
"MLS-C01","Data Engineering","Apache Spark on EMR for ML","Using Spark for distributed data processing and ML — Spark MLlib for scalable ML algorithms, Spark SQL for feature engineering, and Spark Streaming for real-time data pipelines feeding ML models."
"MLS-C01","Data Engineering","Amazon Athena","A serverless SQL query service for ad-hoc data exploration — analyzing training data directly in S3 without loading, profiling datasets, and running exploratory queries to understand data distributions before model training."
"MLS-C01","Data Engineering","Amazon Redshift","A petabyte-scale data warehouse for structured ML data — using Redshift ML to create models directly with SQL (CREATE MODEL), or exporting data to S3 for SageMaker training via UNLOAD command."
"MLS-C01","Data Engineering","AWS Lake Formation","A service for building secure data lakes — providing fine-grained access control (column/row/cell level) to ML training data, ensuring data scientists only access authorized datasets for model training."
"MLS-C01","Data Engineering","Data Labeling with SageMaker Ground Truth","A managed data labeling service using human annotators and active learning — supporting image classification, object detection, text classification, semantic segmentation, and custom labeling workflows with automatic labeling to reduce costs by up to 70%."
"MLS-C01","Data Engineering","SageMaker Ground Truth - Active Learning","A technique where Ground Truth uses ML to automatically label high-confidence data points and routes only uncertain examples to human annotators — progressively reducing human labeling effort as the auto-labeling model improves."
"MLS-C01","Data Engineering","Feature Engineering","The process of creating, transforming, and selecting input variables for ML models — including normalization, one-hot encoding, binning, log transforms, polynomial features, and domain-specific feature creation to improve model performance."
"MLS-C01","Data Engineering","Handling Missing Data","Strategies for dealing with missing values — imputation (mean, median, mode, KNN, regression), deletion (listwise, pairwise), indicator variables (binary flag for missingness), or using algorithms that handle missing data natively (XGBoost)."
"MLS-C01","Data Engineering","Handling Imbalanced Datasets","Techniques for datasets with skewed class distributions — oversampling minority class (SMOTE), undersampling majority class, class weights in loss function, ensemble methods (balanced random forest), and evaluation with precision/recall/F1 instead of accuracy."
"MLS-C01","Data Engineering","Data Splitting","Dividing data into training (typically 70-80%), validation (10-15%), and test (10-15%) sets — ensuring no data leakage between sets, using stratified splitting for imbalanced classes, and time-based splitting for temporal data."
"MLS-C01","Data Engineering","SageMaker Feature Store","A centralized repository for storing, sharing, and managing ML features — supporting both online store (low-latency real-time inference) and offline store (S3-based for batch training), ensuring feature consistency between training and inference."
"MLS-C01","Exploratory Data Analysis","Descriptive Statistics","Summary measures of data — mean, median, mode (central tendency), variance, standard deviation, IQR (spread), skewness (asymmetry), kurtosis (tail heaviness), and correlation coefficients for understanding data distributions."
"MLS-C01","Exploratory Data Analysis","Data Visualization for ML","Visual techniques for understanding data — histograms (distributions), scatter plots (relationships), box plots (outliers/spread), heatmaps (correlations), pair plots (multi-feature relationships), and confusion matrices (model performance)."
"MLS-C01","Exploratory Data Analysis","Correlation Analysis","Measuring relationships between features — Pearson (linear), Spearman (monotonic/rank-based), and point-biserial (continuous vs binary). High correlation between features indicates multicollinearity; correlation with target indicates predictive power."
"MLS-C01","Exploratory Data Analysis","Outlier Detection","Identifying anomalous data points — statistical methods (Z-score > 3, IQR method), visualization (box plots, scatter plots), and ML-based (Isolation Forest, Random Cut Forest in SageMaker). Outliers can be removed, capped, or transformed depending on context."
"MLS-C01","Exploratory Data Analysis","Amazon SageMaker Random Cut Forest (RCF)","A built-in SageMaker algorithm for anomaly detection — assigning anomaly scores to data points based on how isolated they are in a random forest structure. Higher scores indicate more anomalous points. Works on tabular data and time series."
"MLS-C01","Exploratory Data Analysis","Feature Scaling/Normalization","Transforming features to comparable scales — Min-Max scaling (0 to 1), Standardization/Z-score (mean=0, std=1), Robust scaling (using median/IQR for outlier resistance). Critical for distance-based algorithms (KNN, SVM, neural networks)."
"MLS-C01","Exploratory Data Analysis","One-Hot Encoding","Converting categorical variables into binary columns — each category becomes a 0/1 column. Use for nominal categories (no order). Beware of high cardinality (many categories) causing dimensionality explosion; consider target encoding or embedding instead."
"MLS-C01","Exploratory Data Analysis","Label Encoding","Converting categorical variables to integers (0, 1, 2, ...) — appropriate for ordinal categories (low/medium/high) where order matters. Not suitable for nominal categories as it implies false ordering that tree-based models may handle but linear models cannot."
"MLS-C01","Exploratory Data Analysis","Dimensionality Reduction - PCA","Principal Component Analysis transforms features into uncorrelated principal components ordered by variance explained — reducing dimensions while preserving maximum information. SageMaker has a built-in PCA algorithm supporting regular and randomized modes."
"MLS-C01","Exploratory Data Analysis","Dimensionality Reduction - t-SNE","t-Distributed Stochastic Neighbor Embedding — a nonlinear technique for visualizing high-dimensional data in 2D/3D by preserving local structure. Used for visualization only (not feature reduction for training) due to non-deterministic nature."
"MLS-C01","Exploratory Data Analysis","Feature Selection","Choosing the most relevant features — Filter methods (correlation, chi-squared, mutual information), Wrapper methods (forward/backward selection, recursive feature elimination), and Embedded methods (L1/Lasso regularization, tree feature importance)."
"MLS-C01","Exploratory Data Analysis","Text Feature Engineering - TF-IDF","Term Frequency-Inverse Document Frequency — a numerical representation of text importance. TF measures word frequency in a document; IDF reduces weight of common words across all documents. Used for text classification and information retrieval."
"MLS-C01","Exploratory Data Analysis","Text Feature Engineering - Word2Vec","A neural network technique that learns dense vector representations (embeddings) of words — capturing semantic relationships (king - man + woman ≈ queen). SageMaker BlazingText implements Word2Vec in supervised and unsupervised modes."
"MLS-C01","Exploratory Data Analysis","Text Feature Engineering - Bag of Words","A text representation that counts word occurrences regardless of order — creating a sparse vector of word frequencies. Simple but loses word order and context. Often combined with TF-IDF weighting for improved performance."
"MLS-C01","Exploratory Data Analysis","N-grams","Contiguous sequences of N items from text — unigrams (single words), bigrams (two-word pairs), trigrams (three-word sequences). Captures local word order and context that bag-of-words misses, used in NLP feature engineering."
"MLS-C01","Exploratory Data Analysis","Time Series Decomposition","Breaking time series into components — Trend (long-term direction), Seasonality (repeating patterns), Cyclical (non-fixed patterns), and Residual (noise). Additive (components sum) vs Multiplicative (components multiply) decomposition."
"MLS-C01","Exploratory Data Analysis","Data Distribution Types","Common distributions in ML — Normal/Gaussian (bell curve, many natural phenomena), Binomial (binary outcomes), Poisson (count data), Uniform (equal probability), and Log-normal (skewed positive data). Understanding distributions guides preprocessing and model selection."
"MLS-C01","Exploratory Data Analysis","Binning/Discretization","Converting continuous features into categorical bins — equal-width (fixed intervals), equal-frequency (same count per bin), or custom bins based on domain knowledge. Reduces noise and can capture nonlinear relationships for linear models."
"MLS-C01","Modeling","Supervised Learning","Learning from labeled data (input-output pairs) — Classification (predicting categories: spam/not spam) and Regression (predicting continuous values: house prices). Requires labeled training data and evaluates on held-out test data."
"MLS-C01","Modeling","Unsupervised Learning","Learning patterns from unlabeled data — Clustering (grouping similar items: K-Means), Dimensionality Reduction (PCA), Anomaly Detection (Random Cut Forest), and Association (market basket analysis). No target variable needed."
"MLS-C01","Modeling","Reinforcement Learning","Learning through trial and error with rewards — an agent takes actions in an environment to maximize cumulative reward. Used for robotics, game playing, and recommendation systems. AWS DeepRacer uses RL for autonomous racing."
"MLS-C01","Modeling","Amazon SageMaker","A fully managed ML platform — providing Jupyter notebooks, built-in algorithms, training infrastructure, hyperparameter tuning, model hosting, and MLOps capabilities for the complete ML lifecycle from data prep to production deployment."
