"examCode","scenarioDescription","toolboxServices","correctPipelineOrder","hint","hint2","explanation"
"SAO-C02","A large enterprise runs 500+ AWS accounts under AWS Organizations. Operations teams need to automatically detect non-compliant resources across all accounts, aggregate compliance findings centrally, and auto-remediate common violations like unencrypted S3 buckets and open security groups.","AWS Config|AWS Systems Manager Automation|AWS CloudFormation StackSets|AWS Security Hub|Amazon Inspector|AWS CloudTrail|AWS Service Catalog","AWS Config|AWS Security Hub|AWS Systems Manager Automation","A service that continuously evaluates resource configurations against rules is the starting point for compliance detection.","Security Hub aggregates findings from Config across all accounts into a single pane of glass with automated response actions.","AWS Config deploys managed and custom rules across all accounts via organization-wide Config to continuously evaluate resource compliance (unencrypted buckets, open security groups). AWS Security Hub aggregates Config compliance findings from all 500+ accounts into a centralized dashboard with cross-account visibility and automated finding workflows. AWS Systems Manager Automation runbooks are triggered by Security Hub custom actions or EventBridge rules to auto-remediate non-compliant resources — encrypting buckets, closing security groups — without manual intervention."
"SAO-C02","A company needs to patch 2,000 EC2 instances across 50 accounts on a weekly schedule with zero downtime. Instances must be patched in rolling waves (25% at a time), with automatic rollback if patch compliance drops below 95%. Patch compliance must be reported to a central operations account.","AWS Systems Manager Patch Manager|AWS Systems Manager Maintenance Windows|AWS Systems Manager State Manager|Amazon EventBridge|AWS Organizations|AWS Health|Amazon CloudWatch","AWS Systems Manager Patch Manager|AWS Systems Manager Maintenance Windows|Amazon CloudWatch|Amazon EventBridge","Patch Manager defines patch baselines and scans instances for missing patches across multiple accounts.","Maintenance Windows orchestrate the rolling deployment with rate controls (25% concurrency) and error thresholds for automatic rollback.","AWS Systems Manager Patch Manager defines patch baselines specifying approved patches and scans all 2,000 instances for compliance across 50 accounts using delegated administrator. AWS Systems Manager Maintenance Windows schedule the patching in rolling waves with MaxConcurrency set to 25% and MaxErrors threshold triggering automatic rollback if compliance drops below 95%. Amazon CloudWatch collects patch compliance metrics, and Amazon EventBridge routes compliance state changes to the central operations account for aggregated reporting and alerting."
"SAO-C02","A financial institution experiences intermittent latency spikes in their multi-tier application. They need to trace requests end-to-end across API Gateway, Lambda, DynamoDB, and SQS to identify bottlenecks, correlate with infrastructure metrics, and create automated alarms when P99 latency exceeds thresholds.","AWS X-Ray|Amazon CloudWatch|Amazon CloudWatch Synthetics|AWS CloudTrail|Amazon DevOps Guru|Amazon CloudWatch Application Insights|AWS Distro for OpenTelemetry","AWS X-Ray|Amazon CloudWatch Application Insights|Amazon CloudWatch","Distributed tracing captures the full request path across all service boundaries to pinpoint where latency is introduced.","Application Insights automatically discovers application components and creates correlated metric dashboards and anomaly detection.","AWS X-Ray instruments the application to trace requests end-to-end across API Gateway, Lambda, DynamoDB, and SQS — generating service maps and identifying which component introduces latency spikes with segment-level timing data. Amazon CloudWatch Application Insights automatically discovers the application topology, correlates X-Ray traces with infrastructure metrics (CPU, memory, queue depth), and detects anomalies across the full stack. Amazon CloudWatch creates composite alarms on P99 latency metrics derived from X-Ray, triggering SNS notifications when thresholds are breached."
"SAO-C02","A company needs to enforce a standardized networking architecture across 200 AWS accounts. Every new account must automatically receive a VPC with specific CIDR ranges, transit gateway attachments, centralized DNS resolution, and firewall inspection — all without manual intervention from the networking team.","AWS Control Tower|AWS CloudFormation StackSets|AWS Transit Gateway|AWS Network Firewall|Amazon Route 53 Resolver|AWS Service Catalog|AWS RAM (Resource Access Manager)","AWS Control Tower|AWS CloudFormation StackSets|AWS Transit Gateway|AWS Network Firewall|Amazon Route 53 Resolver","Control Tower's lifecycle events trigger automated provisioning when new accounts are created or enrolled.","StackSets deploy standardized CloudFormation templates to new accounts automatically via Control Tower lifecycle hooks.","AWS Control Tower manages the multi-account environment and triggers lifecycle events when new accounts are created. AWS CloudFormation StackSets automatically deploy standardized VPC templates (specific CIDRs, subnets, route tables) to each new account via Control Tower lifecycle hooks. AWS Transit Gateway provides centralized connectivity with attachments shared via AWS RAM, AWS Network Firewall inspects all inter-VPC and egress traffic in a centralized inspection VPC, and Amazon Route 53 Resolver rules (shared via RAM) enable centralized DNS resolution across all 200 accounts."
"SAO-C02","A company's production Aurora cluster experienced an outage due to a misconfigured parameter group change. They need to prevent unauthorized infrastructure changes, detect configuration drift in real-time, automatically revert unauthorized modifications, and maintain an immutable audit trail of all changes.","AWS Config|AWS CloudTrail|Amazon EventBridge|AWS Lambda|AWS Systems Manager Change Manager|AWS CloudFormation Drift Detection|AWS Backup","AWS Systems Manager Change Manager|AWS CloudTrail|AWS Config|Amazon EventBridge|AWS Lambda","Change Manager enforces a formal change request and approval workflow before any infrastructure modifications are allowed.","Config rules detect when a resource configuration deviates from the approved state, triggering EventBridge events for automated remediation.","AWS Systems Manager Change Manager enforces a formal approval workflow — requiring change requests, approvals, and maintenance windows before any infrastructure modifications, preventing unauthorized parameter group changes. AWS CloudTrail provides the immutable audit trail of all API calls, while AWS Config continuously monitors resource configurations and detects drift from approved baselines in real-time. Amazon EventBridge captures Config compliance change events and triggers AWS Lambda functions that automatically revert unauthorized modifications back to the approved configuration state."
"SAO-C02","A company needs to implement a cost optimization strategy across their organization. They need to identify idle and underutilized resources, rightsize EC2 instances based on actual usage, purchase Savings Plans for predictable workloads, and enforce tagging policies for cost allocation.","AWS Cost Explorer|AWS Compute Optimizer|AWS Budgets|AWS Cost Anomaly Detection|AWS Trusted Advisor|AWS Organizations Tag Policies|Amazon CloudWatch","AWS Trusted Advisor|AWS Compute Optimizer|AWS Cost Explorer|AWS Organizations Tag Policies|AWS Budgets","Trusted Advisor identifies idle resources (unused ELBs, unattached EBS volumes, idle RDS instances) as the first optimization step.","Compute Optimizer analyzes 14 days of CloudWatch metrics to recommend optimal instance types based on actual CPU, memory, and network utilization.","AWS Trusted Advisor identifies idle and underutilized resources (unused ELBs, unattached EBS volumes, idle RDS instances) for immediate cost savings. AWS Compute Optimizer analyzes CloudWatch utilization metrics to recommend rightsized EC2 instance types, EBS volumes, and Lambda memory configurations. AWS Cost Explorer analyzes historical spending patterns and recommends Savings Plans for predictable workloads. AWS Organizations Tag Policies enforce mandatory cost allocation tags across all accounts, and AWS Budgets creates spending alerts and automated actions when costs exceed thresholds."
"SAO-C02","A company needs to implement a centralized logging architecture that collects VPC Flow Logs, CloudTrail logs, and application logs from 100 accounts into a single data lake. Logs must be searchable within 5 minutes of generation, retained for 1 year in hot storage and 7 years in cold storage.","Amazon Kinesis Data Firehose|Amazon S3|Amazon OpenSearch Service|AWS Lake Formation|Amazon CloudWatch Logs|S3 Glacier Deep Archive|AWS Glue","Amazon CloudWatch Logs|Amazon Kinesis Data Firehose|Amazon S3|Amazon OpenSearch Service|S3 Glacier Deep Archive","CloudWatch Logs subscription filters can stream logs from multiple accounts to a centralized destination in near real-time.","Kinesis Data Firehose buffers and delivers logs to both S3 (data lake) and OpenSearch (search) simultaneously using multiple destinations.","Amazon CloudWatch Logs collects VPC Flow Logs, CloudTrail logs, and application logs across all 100 accounts using cross-account log subscriptions. Amazon Kinesis Data Firehose receives the log streams via subscription filters and delivers them to both Amazon S3 (data lake for long-term retention) and Amazon OpenSearch Service (for sub-5-minute searchability) simultaneously. Amazon S3 stores logs in hot storage (S3 Standard/IA) for 1 year, then S3 lifecycle policies transition logs to S3 Glacier Deep Archive for the remaining 6 years of cold retention."
"SAO-C02","A company runs a critical application on EKS across three Availability Zones. They need to implement automated incident response that detects pod failures, node health issues, and resource exhaustion — automatically scaling, cordoning unhealthy nodes, and notifying the on-call team via PagerDuty within 2 minutes.","Amazon CloudWatch Container Insights|Amazon EKS|AWS Fault Injection Simulator|Amazon EventBridge|AWS Lambda|AWS Systems Manager OpsCenter|Amazon SNS","Amazon CloudWatch Container Insights|Amazon EventBridge|AWS Lambda|Amazon SNS","Container Insights collects cluster-level, node-level, and pod-level metrics and logs from EKS with pre-built dashboards.","EventBridge rules match specific metric alarm patterns and route them to Lambda for automated remediation before human notification.","Amazon CloudWatch Container Insights collects detailed EKS metrics (pod restarts, node CPU/memory, pending pods) and creates CloudWatch alarms for failure thresholds. Amazon EventBridge captures the alarm state changes and routes them based on severity — pod failures, node health degradation, and resource exhaustion each trigger different response paths. AWS Lambda executes automated remediation (scaling deployments, cordoning unhealthy nodes via kubectl, triggering Cluster Autoscaler) and Amazon SNS sends formatted notifications to PagerDuty within the 2-minute SLA."
"SAO-C02","A company needs to implement a disaster recovery strategy for their multi-region application with an RTO of 5 minutes and RPO of 0. The application uses Aurora MySQL, ElastiCache Redis, and stores session data. Failover must be fully automated with no manual DNS changes.","Amazon Aurora Global Database|Amazon ElastiCache Global Datastore|Amazon Route 53|AWS Global Accelerator|AWS Elastic Disaster Recovery|Amazon CloudFront|AWS Lambda","Amazon Aurora Global Database|Amazon ElastiCache Global Datastore|AWS Global Accelerator|Amazon Route 53","Aurora Global Database provides cross-region replication with RPO of 0 using write forwarding and synchronous replication options.","Global Accelerator provides static anycast IPs with automatic health-check-based failover — faster than DNS TTL propagation.","Amazon Aurora Global Database replicates data synchronously to the secondary region achieving RPO of 0, with managed planned failover promoting the secondary cluster in under 1 minute. Amazon ElastiCache Global Datastore replicates Redis session data cross-region with sub-second lag, ensuring session continuity during failover. AWS Global Accelerator provides static anycast IP addresses with built-in health checks that automatically route traffic to the healthy region within seconds (faster than DNS TTL), while Amazon Route 53 health checks provide an additional failover layer for any region-specific endpoints."
"SAO-C02","A company needs to implement infrastructure as code governance. All infrastructure changes must go through a CI/CD pipeline with automated testing, security scanning, cost estimation, and approval gates before deployment. Manual console changes must be detected and reverted.","AWS CloudFormation|AWS CodePipeline|AWS CodeBuild|cfn-nag|AWS Config|Amazon EventBridge|AWS Service Catalog","AWS CodePipeline|AWS CodeBuild|cfn-nag|AWS CloudFormation|AWS Config","CodePipeline orchestrates the full CI/CD workflow with source, build, test, approval, and deploy stages.","cfn-nag performs static security analysis on CloudFormation templates before deployment, catching insecure configurations early.","AWS CodePipeline orchestrates the infrastructure CI/CD workflow — pulling templates from source control and managing stage transitions with manual approval gates. AWS CodeBuild runs automated tests including cfn-nag for security scanning (detecting open security groups, unencrypted resources), cost estimation, and template validation. AWS CloudFormation deploys the approved, scanned templates using change sets for safe infrastructure updates. AWS Config detects configuration drift from the CloudFormation-managed state, identifying any manual console changes for automated reversion."
