"examCode","Category","Term","Definition"
"SCS-C02","Threat Detection and Incident Response","Amazon GuardDuty","An intelligent threat detection service — continuously analyzing CloudTrail management/data events, VPC Flow Logs, DNS logs, EKS audit logs, RDS login activity, Lambda network activity, and S3 data events using ML. Produces severity-rated findings for compromised instances, unauthorized access, cryptocurrency mining, and data exfiltration."
"SCS-C02","Threat Detection and Incident Response","GuardDuty Finding Types","EC2 findings (backdoor, cryptocurrency, trojan), IAM findings (anomalous API calls, credential exfiltration), S3 findings (unusual data access, policy changes), EKS findings (privilege escalation, anonymous access), RDS findings (anomalous login attempts), and Lambda findings (suspicious network connections)."
"SCS-C02","Threat Detection and Incident Response","GuardDuty Multi-Account Management","Centralized threat detection via Organizations — delegated administrator account manages all member accounts, auto-enable for new accounts, centralized findings aggregation, and suppression rules to filter expected behavior across the organization."
"SCS-C02","Threat Detection and Incident Response","Amazon Detective","A security investigation service — automatically collecting and analyzing log data (VPC Flow Logs, CloudTrail, GuardDuty findings, EKS audit logs) to build a behavior graph. Visualizes resource interactions, API call patterns, and entity relationships for root cause analysis."
"SCS-C02","Threat Detection and Incident Response","AWS Security Hub","A centralized security posture management service — aggregating findings from GuardDuty, Inspector, Macie, Firewall Manager, Config, IAM Access Analyzer, and third-party tools in ASFF format. Automated compliance checks against CIS, PCI DSS, AWS FSBP, and NIST standards."
"SCS-C02","Threat Detection and Incident Response","Security Hub Automation","Custom actions triggering EventBridge rules for automated remediation — e.g., auto-remediating public S3 buckets, revoking overly permissive security groups, or isolating compromised instances. Supports cross-account aggregation via Organizations delegated administrator."
"SCS-C02","Threat Detection and Incident Response","Amazon Inspector","An automated vulnerability management service — continuously scanning EC2 instances (via SSM Agent), Lambda functions, and ECR container images for software vulnerabilities (CVEs), network reachability issues, and package vulnerabilities with severity-rated findings and remediation guidance."
"SCS-C02","Threat Detection and Incident Response","AWS CloudTrail","The primary API audit service — Management events (control plane operations, free first trail), Data events (S3 object-level, Lambda invocations, DynamoDB, paid), and Insights events (unusual API activity detection). Organization trails for centralized logging across all accounts."
"SCS-C02","Threat Detection and Incident Response","CloudTrail Log Integrity","Validating that log files haven't been tampered with — digest files (hourly SHA-256 hashes) enable validation via AWS CLI. Store logs in a dedicated security account S3 bucket with Object Lock (WORM), bucket policy denying delete, and MFA Delete enabled."
"SCS-C02","Threat Detection and Incident Response","CloudTrail Lake","A managed data lake for CloudTrail events — enabling SQL-based querying of events across accounts and regions without setting up S3/Athena pipelines. Supports event data stores with configurable retention (up to 7 years) and integration with CloudTrail Insights."
"SCS-C02","Threat Detection and Incident Response","VPC Flow Logs for Security","Capturing network traffic metadata — source/destination IPs, ports, protocol, action (ACCEPT/REJECT), bytes, packets. Analyze with CloudWatch Logs Insights or Athena for detecting port scanning, data exfiltration, unusual traffic patterns, and unauthorized connection attempts."
"SCS-C02","Threat Detection and Incident Response","Incident Response - EC2 Compromise","Isolation steps — change security group to deny all traffic (forensic SG), detach from Auto Scaling, create EBS snapshots for forensic analysis, capture memory dump, enable termination protection, tag as compromised, and investigate via CloudTrail/VPC Flow Logs/GuardDuty findings."
"SCS-C02","Threat Detection and Incident Response","Incident Response - IAM Credential Compromise","Response steps — disable/delete compromised access keys, revoke active sessions (inline deny policy with aws:TokenIssueTime condition), review CloudTrail for unauthorized actions, check for persistence (new users, roles, policies), and rotate all potentially affected credentials."
"SCS-C02","Threat Detection and Incident Response","Incident Response - S3 Data Breach","Response steps — identify affected objects via CloudTrail data events, check S3 access logs, review bucket policy and ACL changes, enable/verify S3 Block Public Access, check Macie findings for sensitive data exposure, and assess data classification and notification requirements."
"SCS-C02","Threat Detection and Incident Response","AWS Abuse Notifications","Notifications from AWS Trust & Safety about potentially compromised resources — spam, port scanning, DoS, intrusion attempts, malware hosting, or copyright violations. Must respond within 24 hours with remediation actions or risk account suspension."
"SCS-C02","Threat Detection and Incident Response","Penetration Testing on AWS","Permitted without approval for 8 services — EC2, RDS, Aurora, CloudFront, API Gateway, Lambda, Lightsail, and Elastic Beanstalk. Prohibited: DNS zone walking, DoS/DDoS, port flooding, and protocol flooding. Must follow AWS Customer Support Policy for Penetration Testing."
"SCS-C02","Security Logging and Monitoring","Centralized Logging Architecture","Aggregating security logs — CloudTrail organization trail to central S3, VPC Flow Logs to central S3/CloudWatch, Config aggregator, GuardDuty delegated admin, Security Hub delegated admin, and CloudWatch Logs cross-account subscriptions via Kinesis Data Firehose."
"SCS-C02","Security Logging and Monitoring","S3 Access Logging","Server access logging recording requests to an S3 bucket — capturing requester, bucket name, request time, action, response status, and error codes. Delivered to a target bucket (different from source) for audit trails. Use CloudTrail data events for more detailed API-level logging."
