"examCode","Category","Term","Definition"
"SAP-C02","Design Solutions for Organizational Complexity","AWS Organizations","A service for centrally managing multiple AWS accounts — Organizational Units (OUs) for hierarchical grouping, Service Control Policies (SCPs) for permission guardrails, consolidated billing with volume discounts, and integration with Control Tower, RAM, and CloudFormation StackSets."
"SAP-C02","Design Solutions for Organizational Complexity","Service Control Policies (SCPs)","Organization-level permission boundaries — restrict (not grant) what IAM policies can allow in member accounts. Inherited hierarchically through OUs, don't affect the management account, and support deny lists (deny specific actions) or allow lists (allow only specific actions) strategies."
"SAP-C02","Design Solutions for Organizational Complexity","AWS Control Tower","An automated multi-account governance service — providing landing zones (pre-configured multi-account environment), guardrails (preventive SCPs + detective Config rules), Account Factory (standardized account provisioning), and a compliance dashboard across the organization."
"SAP-C02","Design Solutions for Organizational Complexity","Multi-Account Strategy","Separating workloads across accounts for security, billing, and blast radius isolation — common patterns: per-environment (dev/staging/prod), per-team, per-application, shared services account, security/audit account, log archive account, and network hub account."
"SAP-C02","Design Solutions for Organizational Complexity","AWS Resource Access Manager (RAM)","Sharing AWS resources across accounts without duplication — sharing VPC subnets, Transit Gateways, Route 53 Resolver rules, License Manager configurations, and more. Integrates with Organizations for automatic sharing to all accounts in an OU."
"SAP-C02","Design Solutions for Organizational Complexity","Cross-Account Access Patterns","IAM roles with trust policies for cross-account assume role, resource-based policies (S3, SQS, SNS, KMS, Lambda), RAM for resource sharing, Organizations delegated administrator, and AWS SSO (IAM Identity Center) for centralized human access across accounts."
"SAP-C02","Design Solutions for Organizational Complexity","AWS IAM Identity Center (SSO)","Centralized workforce identity management — single sign-on to multiple AWS accounts and business applications, integrating with Active Directory or external IdPs (Okta, Azure AD), permission sets mapped to accounts, and SAML 2.0/OIDC federation."
"SAP-C02","Design Solutions for Organizational Complexity","Hybrid DNS Architecture","Route 53 Resolver for hybrid DNS — Inbound endpoints (on-premises resolves AWS domains), Outbound endpoints (AWS resolves on-premises domains), Resolver rules (forwarding rules for specific domains), and shared rules across accounts via RAM."
"SAP-C02","Design Solutions for Organizational Complexity","AWS Transit Gateway","A regional network hub — connecting hundreds of VPCs, VPNs, Direct Connect gateways, and peered Transit Gateways. Features: route tables for network segmentation, multicast support, inter-region peering, and centralized network management replacing complex VPC peering meshes."
"SAP-C02","Design Solutions for Organizational Complexity","Transit Gateway Advanced Patterns","Network segmentation via multiple route tables (shared services, isolated, blackhole routes), Transit Gateway Connect for SD-WAN integration, multicast domains, appliance mode for stateful inspection, and inter-region peering for global network architectures."
"SAP-C02","Design Solutions for Organizational Complexity","AWS Direct Connect","Dedicated private connectivity — 1/10/100 Gbps dedicated or 50 Mbps-10 Gbps hosted connections. Virtual interfaces: Public VIF (AWS public services), Private VIF (single VPC), Transit VIF (Transit Gateway). LAG for link aggregation, and MACsec for Layer 2 encryption."
"SAP-C02","Design Solutions for Organizational Complexity","Direct Connect Resiliency","High availability patterns — Maximum Resiliency (separate connections at separate locations), High Resiliency (two connections at two locations), and Development/Test (single connection). Use Site-to-Site VPN as encrypted backup over internet for failover."
"SAP-C02","Design Solutions for Organizational Complexity","Direct Connect Gateway","A globally available resource connecting Direct Connect to multiple VPCs across regions — supporting up to 10 VGWs or Transit Gateways. Eliminates the need for separate Direct Connect connections per region."
"SAP-C02","Design Solutions for Organizational Complexity","VPC Peering vs Transit Gateway vs PrivateLink","VPC Peering: point-to-point, non-transitive, no bandwidth limit, free same-AZ. Transit Gateway: hub-and-spoke, transitive, centralized routing, per-attachment cost. PrivateLink: service-to-consumer, unidirectional, NLB-backed, keeps traffic private — choose based on connectivity pattern."
"SAP-C02","Design Solutions for Organizational Complexity","AWS Network Firewall","A managed stateful/stateless firewall for VPCs — IPS/IDS, domain filtering, protocol detection, and Suricata-compatible rules. Deployed in dedicated firewall subnets with centralized management via Firewall Manager across accounts in Organizations."
"SAP-C02","Design Solutions for Organizational Complexity","Centralized Logging Architecture","Aggregating logs from all accounts — CloudTrail organization trail to central S3 bucket, CloudWatch Logs cross-account subscriptions via Kinesis, VPC Flow Logs to central S3, Config aggregator, and Security Hub delegated administrator for centralized findings."
