"examCode","scenarioDescription","toolboxServices","correctPipelineOrder","hint","hint2","explanation"
"SCS-C02","A company discovers that an IAM access key has been publicly exposed on GitHub. The security team must immediately disable the compromised credential, investigate all API calls made with that key, determine the blast radius of affected resources, and set up automated detection for future credential exposures.","AWS IAM|AWS CloudTrail|Amazon GuardDuty|AWS Secrets Manager|Amazon Detective|AWS Config|Amazon Macie","AWS IAM|AWS CloudTrail|Amazon Detective|Amazon GuardDuty","The first action is always to disable the compromised credential in IAM to stop the bleeding before investigating.","CloudTrail provides the API call history for the compromised key, and Detective visualizes the blast radius across related resources and accounts.","AWS IAM is the immediate first step — deactivate the exposed access key and create a new one to stop unauthorized access. AWS CloudTrail provides the complete audit trail of every API call made with the compromised key, revealing what actions the attacker performed. Amazon Detective analyzes CloudTrail data to visualize the blast radius — mapping affected resources, IP addresses, and API patterns into an interactive investigation graph. Amazon GuardDuty provides continuous monitoring with credential exfiltration detection (UnauthorizedAccess:IAMUser/InstanceCredentialExfiltration) to automatically detect future compromised credentials."
"SCS-C02","A financial institution needs to encrypt all data at rest in S3 with customer-managed keys, enforce that no bucket can ever be made public, automatically detect and classify sensitive financial data (PII, credit card numbers), and alert the security team when unencrypted objects are uploaded.","AWS KMS|Amazon S3|Amazon Macie|AWS Config|S3 Block Public Access|AWS CloudTrail|Amazon Inspector","S3 Block Public Access|AWS KMS|Amazon Macie|AWS Config","Block Public Access is a preventive control applied at the account or bucket level before any data is stored.","Macie uses ML to automatically discover and classify sensitive data patterns like PII and credit card numbers in S3 buckets.","S3 Block Public Access is enabled at the account level as the first preventive guardrail, ensuring no bucket can ever be made public regardless of individual bucket policies. AWS KMS customer-managed keys (CMKs) provide encryption at rest with full key lifecycle control, rotation policies, and audit trails — S3 bucket policies enforce aws:kms encryption on all PutObject requests. Amazon Macie continuously scans S3 buckets using ML to automatically discover and classify sensitive financial data (PII, credit card numbers, bank account numbers) and generates findings for policy violations. AWS Config rules (s3-bucket-server-side-encryption-enabled, s3-bucket-public-read-prohibited) continuously evaluate bucket compliance and trigger SNS alerts when unencrypted objects are detected."
"SCS-C02","A company needs to implement a centralized security monitoring architecture that aggregates findings from GuardDuty, Inspector, Macie, IAM Access Analyzer, and Firewall Manager across 200 accounts. Findings must be normalized, prioritized by severity, and trigger automated remediation for critical issues.","AWS Security Hub|Amazon GuardDuty|Amazon EventBridge|AWS Lambda|AWS Organizations|AWS Systems Manager|Amazon SNS","AWS Security Hub|Amazon EventBridge|AWS Lambda|Amazon SNS","Security Hub aggregates and normalizes findings from multiple security services into the AWS Security Finding Format (ASFF).","EventBridge rules match Security Hub findings by severity and finding type, routing critical findings to Lambda for automated remediation.","AWS Security Hub aggregates findings from GuardDuty, Inspector, Macie, IAM Access Analyzer, and Firewall Manager across all 200 accounts using delegated administrator, normalizing them into the AWS Security Finding Format (ASFF) with severity scoring and compliance benchmarks (CIS, PCI DSS). Amazon EventBridge captures Security Hub findings via custom rules that match on severity (CRITICAL/HIGH) and finding type, enabling event-driven automated response workflows. AWS Lambda executes remediation actions — isolating compromised instances, revoking IAM credentials, blocking malicious IPs in WAF, or quarantining S3 buckets — based on the finding type. Amazon SNS sends formatted notifications to the security team's Slack/PagerDuty channels for findings requiring human review."
"SCS-C02","A company needs to implement cross-account access where a development account can assume a role in the production account to deploy applications. The access must require MFA, be time-limited to 1 hour, and be logged for audit. Only specific IAM users in the dev account should be allowed to assume the role.","AWS IAM|AWS STS|AWS CloudTrail|AWS Organizations|Amazon Cognito|AWS SSO (IAM Identity Center)|AWS RAM","AWS IAM|AWS STS|AWS CloudTrail","IAM role trust policies in the production account define which principals in the dev account can assume the role, with MFA conditions.","STS AssumeRole returns temporary credentials with a configurable DurationSeconds (max 1 hour) that automatically expire.","AWS IAM creates the cross-account role in the production account with a trust policy specifying the dev account as the trusted principal, including the condition aws:MultiFactorAuthPresent:true to enforce MFA and restricting to specific IAM user ARNs. AWS STS AssumeRole is called by authorized dev account users with MFA token, returning temporary credentials (access key, secret key, session token) with DurationSeconds set to 3600 (1 hour) that automatically expire. AWS CloudTrail logs both the AssumeRole API call in the dev account and all subsequent API calls made with the temporary credentials in the production account, providing the complete audit trail for compliance."
"SCS-C02","A company needs to protect their public-facing web application from OWASP Top 10 attacks (SQL injection, XSS), rate-limit abusive clients, block requests from known malicious IP ranges, and implement bot detection — while maintaining low latency for legitimate users globally.","AWS WAF|Amazon CloudFront|AWS Shield Advanced|AWS Firewall Manager|Amazon API Gateway|AWS Network Firewall|Elastic Load Balancing (ALB)","Amazon CloudFront|AWS WAF|AWS Shield Advanced|Elastic Load Balancing (ALB)","CloudFront is the first layer — it serves as the global edge network where WAF rules are evaluated before traffic reaches your origin.","WAF managed rule groups (AWSManagedRulesCommonRuleSet, AWSManagedRulesSQLiRuleSet, AWSManagedRulesBotControlRuleSet) provide pre-built OWASP protection.","Amazon CloudFront serves as the global edge network, providing low-latency content delivery and acting as the first inspection point where AWS WAF rules are evaluated at the edge — before traffic ever reaches the origin. AWS WAF attached to CloudFront applies managed rule groups for SQL injection (AWSManagedRulesSQLiRuleSet), XSS (AWSManagedRulesCommonRuleSet), bot detection (AWSManagedRulesBotControlRuleSet), rate-based rules for abusive clients, and IP set rules blocking known malicious ranges. AWS Shield Advanced provides DDoS protection with 24/7 DDoS Response Team (DRT) support, cost protection during attacks, and advanced attack visibility. Elastic Load Balancing (ALB) serves as the origin, distributing traffic to the application tier with security group restrictions allowing only CloudFront IP ranges."
"SCS-C02","A company needs to implement automated incident response when GuardDuty detects an EC2 instance communicating with a known command-and-control server. The instance must be automatically isolated (no inbound/outbound traffic except forensic access), a forensic snapshot must be captured, and the security team must be notified — all within 3 minutes.","Amazon GuardDuty|Amazon EventBridge|AWS Lambda|AWS Step Functions|Amazon EC2|Amazon SNS|AWS Systems Manager","Amazon GuardDuty|Amazon EventBridge|AWS Step Functions|AWS Lambda|Amazon SNS","GuardDuty generates a Backdoor:EC2/C&CActivity.B finding that publishes to EventBridge for automated response.","Step Functions orchestrates the multi-step response — isolation, snapshot, tagging, notification — with error handling and parallel execution.","Amazon GuardDuty detects the C&C communication and generates a Backdoor:EC2/C&CActivity.B finding that is automatically published to Amazon EventBridge. EventBridge matches the finding type and severity with a rule that triggers AWS Step Functions to orchestrate the incident response workflow. Step Functions executes parallel branches — AWS Lambda functions replace the instance's security groups with a forensic isolation SG (deny all except forensic team CIDR), create EBS snapshots for forensic analysis, tag the instance as compromised, and disable any associated IAM instance profile. Amazon SNS sends a formatted notification to the security team with finding details, instance metadata, and forensic snapshot IDs within the 3-minute SLA."
"SCS-C02","A company needs to implement end-to-end encryption for data flowing from IoT sensors through an API, processed by Lambda, and stored in DynamoDB. Encryption keys must be rotated annually, different keys must be used for different data classifications (public, confidential, restricted), and all key usage must be auditable.","AWS KMS|AWS CloudHSM|Amazon DynamoDB|AWS Lambda|Amazon API Gateway|AWS Certificate Manager|AWS Secrets Manager","AWS Certificate Manager|Amazon API Gateway|AWS Lambda|AWS KMS|Amazon DynamoDB","ACM provides the TLS certificate for API Gateway, encrypting data in transit from IoT sensors to the API endpoint.","KMS customer-managed keys with separate key policies per data classification (public/confidential/restricted) enforce key segregation and annual rotation.","AWS Certificate Manager provisions and manages the TLS certificate attached to Amazon API Gateway, encrypting data in transit from IoT sensors to the API endpoint. Amazon API Gateway receives the encrypted HTTPS requests and invokes AWS Lambda for processing. AWS Lambda processes the data and uses AWS KMS to encrypt fields with classification-specific customer-managed keys — separate CMKs for public, confidential, and restricted data, each with annual automatic rotation enabled and key policies restricting access to authorized roles. Amazon DynamoDB stores the encrypted data with KMS encryption at rest, and CloudTrail logs every KMS Encrypt/Decrypt/GenerateDataKey API call for complete key usage auditability."
"SCS-C02","A company needs to implement a VPC architecture where EC2 instances in private subnets can access S3 and DynamoDB without traversing the internet, access specific third-party SaaS APIs through a controlled egress path, and all network traffic must be logged and inspectable for data exfiltration detection.","VPC Gateway Endpoint|VPC Interface Endpoint|NAT Gateway|AWS Network Firewall|VPC Flow Logs|AWS PrivateLink|Internet Gateway","VPC Gateway Endpoint|VPC Interface Endpoint|AWS Network Firewall|VPC Flow Logs","Gateway Endpoints for S3 and DynamoDB route traffic through the AWS private network via route table entries — no internet required.","Network Firewall inspects egress traffic to third-party SaaS APIs with domain filtering rules, detecting and blocking data exfiltration attempts.","VPC Gateway Endpoints provide private connectivity to S3 and DynamoDB through route table entries, keeping traffic entirely within the AWS network without NAT Gateway or internet traversal — with endpoint policies restricting access to specific buckets and tables. VPC Interface Endpoints (powered by AWS PrivateLink) provide private access to other AWS services (CloudWatch, KMS, STS) via ENIs in the private subnet. AWS Network Firewall inspects all egress traffic destined for third-party SaaS APIs with stateful domain filtering rules (allow-listing specific domains), TLS inspection for encrypted traffic, and IPS signatures detecting data exfiltration patterns. VPC Flow Logs capture all network traffic metadata (source, destination, ports, bytes, action) for security analysis and anomaly detection."
"SCS-C02","A company needs to implement a secrets management strategy where database credentials are automatically rotated every 30 days, applications retrieve secrets at runtime without hardcoding, rotation must not cause application downtime, and all secret access must be auditable with alerts on unauthorized access attempts.","AWS Secrets Manager|AWS Systems Manager Parameter Store|AWS KMS|AWS Lambda|AWS CloudTrail|Amazon EventBridge|AWS IAM","AWS Secrets Manager|AWS Lambda|AWS KMS|AWS CloudTrail|Amazon EventBridge","Secrets Manager natively supports automatic rotation with configurable schedules and built-in rotation Lambda functions for RDS, Redshift, and DocumentDB.","The rotation Lambda function uses a multi-user rotation strategy (alternating users) to ensure zero-downtime during credential rotation.","AWS Secrets Manager stores database credentials with automatic rotation configured for 30-day intervals, and applications retrieve secrets at runtime using the GetSecretValue API with IAM role-based access — no hardcoded credentials. AWS Lambda rotation functions implement the multi-user rotation strategy (creating alternating user credentials) ensuring zero application downtime during rotation, as the previous credential remains valid until the new one is fully tested. AWS KMS customer-managed keys encrypt all secrets at rest with key policies restricting decrypt permissions to authorized application roles. AWS CloudTrail logs every GetSecretValue, RotateSecret, and PutSecretValue API call, and Amazon EventBridge captures rotation failure events and unauthorized access attempts (AccessDenied on GetSecretValue) to trigger security alerts."
"SCS-C02","A company needs to implement a container security strategy for their EKS cluster. Container images must be scanned for vulnerabilities before deployment, pods must run with least-privilege IAM permissions, network traffic between pods must be encrypted and segmented, and runtime threats must be detected.","Amazon ECR|Amazon Inspector|Amazon GuardDuty EKS Protection|AWS IAM Roles for Service Accounts (IRSA)|Kubernetes Network Policies|Amazon EKS|AWS App Mesh","Amazon ECR|Amazon Inspector|AWS IAM Roles for Service Accounts (IRSA)|Kubernetes Network Policies|Amazon GuardDuty EKS Protection","ECR stores container images and integrates with Inspector for automated vulnerability scanning on push — before images reach the cluster.","IRSA (IAM Roles for Service Accounts) maps Kubernetes service accounts to IAM roles, providing pod-level least-privilege AWS permissions.","Amazon ECR stores container images with immutable tags and scan-on-push enabled, triggering Amazon Inspector to automatically scan images for OS and programming language vulnerabilities with severity scoring — blocking deployment of images with critical CVEs via admission controllers. AWS IAM Roles for Service Accounts (IRSA) maps each Kubernetes service account to a specific IAM role with least-privilege permissions, ensuring pods only access the AWS resources they need without sharing node-level credentials. Kubernetes Network Policies segment pod-to-pod traffic by namespace and label selectors, enforcing micro-segmentation that prevents lateral movement between services. Amazon GuardDuty EKS Protection monitors EKS audit logs and runtime activity to detect threats — privilege escalation, crypto mining, anonymous access, and suspicious API calls from compromised pods."
