
AIF domains,  Fundamentals of AI and ML,  Fundamentals of Generative AI,  Applications of Foundation Models,  Guidelines for Responsible AI,  Security Compliance and Governance for AI Solutions,

AIP domains, Foundation Model Integration Data Management and Compliance,  Implementation and Integration, AI Safety Security and Governance, Operational Efficiency and Optimization for GenAI Applications, Testing Validation and Troubleshooting,

ANS domains,  Network Design, Network Implementation,  Network Management and Operation,  Network Security Compliance and Governance, 

CLF domains,  Cloud Concepts,  Security and Compliance,  Cloud Technology and Services,  Billing Pricing and Support,

DEA domains,  Data Ingestion and Transformation,  Data Store Management,  Data Operations and Support,  Data Security and Governance,

DOP domains,  SDLC Automation,  Configuration Management and IaC,  Resilient Cloud Solutions,  Monitoring and Logging,  Incident and Event Response, Security and Compliance,

DVA domains,  Development with AWS Services,  Security, Deployment,  Troubleshooting and Optimization, 

MLS domains,  Data Engineering,  Exploratory Data Analysis,  Modeling,  ML Implementation and Operations, 

SAA domains,  Design Secure Architectures,  Design Resilient Architectures,  Design High-Performing Architectures, Design Cost-Optimized Architectures,

SOA Domains,  Monitoring Logging and Remediation ,  Reliability and Business Continuity,  Deployment Provisioning and Automation,  Security and Compliance,  Networking and Content Delivery, Cost and Performance Optimization, 

SAP Domains,  Design Solutions for Organizational Complexity,  Design for New Solutions,  Continuous Improvement for Existing Solutions,  Accelerate Workload Migration and Modernization, 

SCS domains,  Threat Detection and Incident Response,  Security Logging and Monitoring,  Infrastructure Security,  Identity and Access Management,  Data Protection, 
