"examCode","scenarioDescription","toolboxServices","correctPipelineOrder","hint","hint2","explanation"
"SAP-C02","A multinational corporation is migrating 500 on-premises applications to AWS over 18 months. They need to discover application dependencies, group applications into migration waves, track migration progress across teams, and select the appropriate migration strategy (6 Rs) for each workload based on complexity and business value.","AWS Application Discovery Service|AWS Migration Hub|AWS Application Migration Service (MGN)|AWS Migration Evaluator|Amazon Inspector|AWS CloudFormation|AWS Transfer Family","AWS Migration Evaluator|AWS Application Discovery Service|AWS Migration Hub|AWS Application Migration Service (MGN)","Before discovering dependencies, you need to build a business case with TCO analysis to justify the migration investment.","Application Discovery Service agents collect dependency data that Migration Hub uses to group applications into migration waves.","AWS Migration Evaluator builds the initial business case with TCO analysis and projected AWS costs to justify the migration. AWS Application Discovery Service deploys agents on-premises to collect server specifications, utilization data, and network dependency mappings between the 500 applications. AWS Migration Hub aggregates discovery data, enables grouping applications into migration waves based on dependencies, and tracks progress across all teams with a centralized dashboard. AWS Application Migration Service (MGN) executes the actual lift-and-shift rehosting with continuous block-level replication and minimal-downtime cutover."
"SAP-C02","A global SaaS company needs to design a multi-region active-active architecture for their customer-facing API. Each region must serve read and write traffic independently, data must be eventually consistent across regions within 1 second, and the system must automatically route users to the nearest healthy region with instant failover.","Amazon DynamoDB Global Tables|AWS Global Accelerator|Amazon API Gateway|Amazon Aurora Global Database|Amazon Route 53|Amazon CloudFront|Elastic Load Balancing (ALB)","AWS Global Accelerator|Amazon API Gateway|Amazon DynamoDB Global Tables","Global Accelerator provides static anycast IPs that route users to the nearest region with health-check-based failover in seconds — faster than DNS.","DynamoDB Global Tables provide multi-region active-active replication with sub-second consistency, supporting independent writes in each region.","AWS Global Accelerator provides static anycast IP addresses that automatically route users to the nearest healthy region with sub-second failover — no DNS TTL propagation delays. Amazon API Gateway in each region handles the REST API with regional endpoints, authentication, throttling, and Lambda/ECS backend integration. Amazon DynamoDB Global Tables provide multi-region active-active replication with sub-second eventual consistency, enabling independent read and write operations in each region with automatic conflict resolution using last-writer-wins."
"SAP-C02","A healthcare company needs to build a HIPAA-compliant data lake that ingests HL7/FHIR data from 200 hospital systems, de-identifies PHI for research datasets, enforces column-level access control so researchers only see approved data elements, and provides SQL query access without managing infrastructure.","AWS Lake Formation|Amazon S3|AWS Glue|Amazon Athena|Amazon Macie|Amazon Comprehend Medical|Amazon Redshift","Amazon S3|Amazon Comprehend Medical|AWS Glue|AWS Lake Formation|Amazon Athena","Raw HL7/FHIR data lands in S3 first, then a purpose-built NLP service extracts and de-identifies medical entities from unstructured clinical text.","Lake Formation provides column-level and cell-level security that controls exactly which data elements each researcher can query via Athena.","Amazon S3 ingests and stores raw HL7/FHIR data from 200 hospital systems as the central data lake storage layer. Amazon Comprehend Medical extracts medical entities (diagnoses, medications, procedures) and de-identifies PHI by detecting and redacting protected health information from clinical text. AWS Glue ETL jobs transform the de-identified data into optimized Parquet format with the Glue Data Catalog maintaining schema metadata. AWS Lake Formation enforces fine-grained column-level and cell-level access controls ensuring researchers only see approved data elements. Amazon Athena provides serverless SQL queries over the governed data lake without infrastructure management."
"SAP-C02","A financial services company needs to implement a landing zone for 300+ accounts with preventive and detective guardrails, automated account provisioning with customized networking blueprints, federated SSO access, and centralized governance — while allowing individual business units to manage their own workloads independently.","AWS Control Tower|AWS Organizations|AWS SSO (IAM Identity Center)|AWS CloudFormation StackSets|AWS Service Catalog|AWS Config|AWS Firewall Manager","AWS Control Tower|AWS Organizations|AWS CloudFormation StackSets|AWS SSO (IAM Identity Center)|AWS Config","Control Tower establishes the landing zone with pre-configured guardrails, centralized logging, and the foundational multi-account structure.","StackSets deploy customized networking blueprints (VPCs, Transit Gateway attachments, DNS) to new accounts via Control Tower lifecycle hooks.","AWS Control Tower establishes the landing zone with mandatory guardrails (SCPs for preventive, Config rules for detective), centralized logging (CloudTrail, Config), and the foundational OU structure. AWS Organizations provides the hierarchical account structure with SCPs enforcing permission boundaries at each OU level for business unit isolation. AWS CloudFormation StackSets deploy customized networking blueprints (VPCs, Transit Gateway attachments, Route 53 Resolver rules) to each new account via Control Tower Account Factory lifecycle hooks. AWS SSO (IAM Identity Center) provides federated access with permission sets mapped to OUs, enabling business units to manage their own workloads. AWS Config provides continuous compliance monitoring with organization-wide conformance packs."
"SAP-C02","A media streaming company needs to transcode uploaded videos into adaptive bitrate formats (HLS/DASH), generate thumbnails, extract metadata, detect inappropriate content, and deliver the processed content globally with sub-100ms latency — all triggered automatically when creators upload raw video files.","Amazon S3|AWS Lambda|AWS Step Functions|AWS Elemental MediaConvert|Amazon Rekognition|Amazon CloudFront|Amazon Elastic Transcoder","Amazon S3|AWS Step Functions|AWS Elemental MediaConvert|Amazon Rekognition|Amazon CloudFront","S3 event notifications trigger the workflow when a new video is uploaded to the raw content bucket.","Step Functions orchestrates the parallel processing branches — transcoding, thumbnail generation, content moderation — with error handling and retry logic.","Amazon S3 receives the raw video upload and triggers an S3 event notification. AWS Step Functions orchestrates the multi-step media processing workflow with parallel branches for transcoding, thumbnail generation, and content moderation — including error handling, retries, and conditional logic. AWS Elemental MediaConvert transcodes the video into adaptive bitrate HLS/DASH formats with multiple quality renditions. Amazon Rekognition Content Moderation analyzes video frames to detect inappropriate content, flagging videos that violate community guidelines before publication. Amazon CloudFront delivers the processed content globally from edge locations with sub-100ms latency."
"SAP-C02","A company is running a monolithic .NET application on a single large EC2 instance. They need to decompose it into microservices, containerize each service, implement service discovery, manage inter-service communication with mTLS, and deploy with canary releases — while minimizing operational overhead.","Amazon ECS Fargate|AWS App Mesh|AWS Cloud Map|Amazon ECR|AWS App Runner|Amazon EKS|Elastic Load Balancing (ALB)","Amazon ECR|Amazon ECS Fargate|AWS Cloud Map|AWS App Mesh|Elastic Load Balancing (ALB)","Container images must be stored in a registry before they can be deployed to any container orchestration service.","Cloud Map provides service discovery that App Mesh uses to dynamically locate and route traffic between microservices.","Amazon ECR stores the container images for each decomposed microservice with vulnerability scanning and lifecycle policies. Amazon ECS Fargate runs the containerized microservices without managing EC2 instances, providing the lowest operational overhead for container orchestration. AWS Cloud Map provides service discovery, automatically registering each Fargate task's endpoint so services can locate each other dynamically. AWS App Mesh deploys Envoy sidecar proxies alongside each task for mTLS encryption, traffic routing (canary releases with weighted targets), and observability — all without application code changes. Elastic Load Balancing (ALB) serves as the ingress point with path-based routing to the appropriate microservices."
"SAP-C02","A company needs to implement a hybrid DNS architecture where on-premises applications can resolve AWS private hosted zone records, AWS applications can resolve on-premises Active Directory DNS zones, and all DNS queries must be logged and analyzed for security threats.","Amazon Route 53 Resolver|Route 53 Resolver Inbound Endpoints|Route 53 Resolver Outbound Endpoints|Amazon Route 53|AWS Direct Connect|Amazon CloudWatch Logs|AWS Network Firewall","Route 53 Resolver Inbound Endpoints|Route 53 Resolver Outbound Endpoints|Amazon Route 53 Resolver|Amazon CloudWatch Logs","Inbound endpoints allow on-premises DNS resolvers to forward queries into AWS VPCs for private hosted zone resolution.","Outbound endpoints allow AWS resources to forward DNS queries to on-premises Active Directory DNS servers for corporate domain resolution.","Route 53 Resolver Inbound Endpoints create ENIs in the VPC that on-premises DNS servers forward queries to, enabling resolution of AWS private hosted zone records (e.g., internal.company.aws) from on-premises applications. Route 53 Resolver Outbound Endpoints forward DNS queries from AWS resources to on-premises Active Directory DNS servers via conditional forwarding rules for corporate domains (e.g., corp.company.com). Amazon Route 53 Resolver manages the forwarding rules that determine which queries go to which DNS servers based on domain name matching. Amazon CloudWatch Logs receives Route 53 Resolver query logs for all DNS queries, enabling security analysis and threat detection of DNS-based attacks."
"SAP-C02","A retail company processes 50,000 orders per minute during flash sales. They need to guarantee exactly-once processing of each order, handle downstream service failures gracefully with automatic retries, maintain order processing sequence per customer, and scale to handle 10x traffic spikes without data loss.","Amazon SQS FIFO|Amazon SNS|AWS Lambda|Amazon DynamoDB|Amazon Kinesis Data Streams|Amazon MQ|AWS Step Functions","Amazon SNS|Amazon SQS FIFO|AWS Lambda|Amazon DynamoDB","SNS fans out the order event to multiple SQS FIFO queues — one per downstream processing domain (inventory, payment, fulfillment).","SQS FIFO queues with MessageGroupId set to customer ID guarantee per-customer ordering with exactly-once processing via deduplication.","Amazon SNS receives the order event and fans it out to multiple Amazon SQS FIFO queue subscriptions for independent downstream processing (inventory, payment, fulfillment). Amazon SQS FIFO queues guarantee exactly-once processing via content-based deduplication and maintain per-customer ordering using MessageGroupId set to the customer ID — with built-in retry and dead-letter queue handling for downstream failures. AWS Lambda processes messages from each FIFO queue with reserved concurrency matching the number of message groups, scaling to handle traffic spikes while maintaining ordering guarantees. Amazon DynamoDB stores the processed order state with conditional writes preventing duplicate processing at the persistence layer."
"SAP-C02","A company needs to implement a centralized egress architecture for 100 VPCs. All internet-bound traffic must be inspected by a next-generation firewall, NAT'd through a shared pool of Elastic IPs for partner allowlisting, and logged for compliance — while minimizing the number of NAT gateways and firewall instances.","AWS Transit Gateway|AWS Network Firewall|NAT Gateway|Amazon VPC|AWS Firewall Manager|AWS PrivateLink|Internet Gateway","AWS Transit Gateway|AWS Network Firewall|NAT Gateway|Internet Gateway","Transit Gateway centralizes routing from 100 spoke VPCs to a shared inspection VPC, eliminating the need for per-VPC firewalls and NAT gateways.","Network Firewall inspects traffic before it reaches the NAT Gateway, enabling deep packet inspection and domain filtering on egress traffic.","AWS Transit Gateway acts as the central hub, routing all internet-bound traffic from 100 spoke VPCs to a shared centralized egress/inspection VPC — eliminating the need for per-VPC NAT gateways and firewalls. AWS Network Firewall in the inspection VPC performs stateful deep packet inspection, domain filtering, and IPS/IDS on all egress traffic before it reaches the internet. NAT Gateway translates private IPs to a shared pool of Elastic IPs (for partner allowlisting) in the egress VPC. The Internet Gateway provides the final hop to the internet, with VPC Flow Logs and Network Firewall logs providing the compliance audit trail."
"SAP-C02","A company needs to migrate a 100 TB Oracle Data Warehouse to Amazon Redshift. The migration must convert Oracle-specific SQL and stored procedures, transfer the data with minimal downtime, validate data integrity post-migration, and optimize the Redshift schema for columnar storage performance.","AWS Schema Conversion Tool (SCT)|AWS Database Migration Service (DMS)|Amazon Redshift|AWS Snowball Edge|Amazon S3|AWS Glue|AWS DataSync","AWS Schema Conversion Tool (SCT)|AWS Snowball Edge|Amazon S3|AWS Database Migration Service (DMS)|Amazon Redshift","SCT converts Oracle-specific SQL, stored procedures, and schema definitions to Redshift-compatible syntax before any data moves.","For 100 TB, Snowball Edge provides faster bulk transfer than network-based migration, with DMS handling ongoing CDC replication for minimal downtime.","AWS Schema Conversion Tool (SCT) converts the Oracle Data Warehouse schema — including Oracle-specific SQL, PL/SQL stored procedures, and data types — to Amazon Redshift-compatible syntax with optimization recommendations for columnar storage (sort keys, distribution keys). AWS Snowball Edge performs the initial bulk transfer of 100 TB (faster than network transfer at this scale), loading data to Amazon S3 as a staging area. AWS Database Migration Service (DMS) handles ongoing Change Data Capture (CDC) replication from the live Oracle source to keep Redshift synchronized during the migration window. Amazon Redshift receives the migrated data with the SCT-optimized schema, and post-migration validation compares row counts, checksums, and query results between source and target."
